country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Kenya,113,0.95,10.5,6.9,4.9,-6.5,67.3,-5.1,50.6,2023-11-23
Kenya,113,0.95,10.5,6.9,4.9,-6.5,67.3,-5.1,50.6,2023-11-24
Kenya,113,0.95,10.5,6.9,4.9,-6.5,67.3,-5.1,50.6,2023-11-25
Kenya,113,0.95,10.5,6.9,4.9,-6.5,67.3,-5.1,50.6,2023-11-26
Kenya,113,0.95,10.5,6.9,4.9,-6.5,67.3,-5.1,50.6,2023-11-27
Kenya,113,0.95,10.5,6.9,4.9,-6.5,67.3,-5.1,50.6,2023-11-28
Kenya,113,0.95,10.5,6.9,4.9,-6.5,67.3,-5.1,50.6,2023-11-29
Kenya,113,0.95,10.5,6.8,4.9,-6.5,67.3,-5.1,50.6,2023-11-30
Kenya,113,0.95,10.5,6.8,4.9,-6.5,67.3,-5.1,50.6,2023-12-01
Kenya,113,0.95,10.5,6.8,4.9,-6.5,67.3,-5.1,50.6,2023-12-02
Kenya,113,0.95,10.5,6.8,4.9,-6.5,67.3,-5.1,50.6,2023-12-03
Kenya,113,0.95,10.5,6.8,4.9,-6.5,67.3,-5.1,50.6,2023-12-04
Kenya,113,0.95,12.5,6.8,4.9,-6.5,67.3,-5.1,50.6,2023-12-05
