country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Kosovo,9,,,3.3,12.6,-0.1,19.95,-10.5,1.77,2023-11-23
Kosovo,9,,,3.3,12.6,-0.1,19.95,-10.5,1.77,2023-11-24
Kosovo,9,,,3.3,12.6,-0.1,19.95,-10.5,1.77,2023-11-25
Kosovo,9,,,3.3,12.6,-0.1,19.95,-10.5,1.77,2023-11-26
Kosovo,9,,,3.3,12.6,-0.1,19.95,-10.5,1.77,2023-11-27
Kosovo,9,,,3.3,12.6,-0.1,19.95,-10.5,1.77,2023-11-28
Kosovo,9,,,3.3,12.6,-0.1,19.95,-10.5,1.77,2023-11-29
Kosovo,9,,,3.3,12.6,-0.1,19.95,-10.5,1.77,2023-11-30
Kosovo,9,,,3.3,12.6,-0.1,19.95,-10.5,1.77,2023-12-01
Kosovo,9,,,3.3,12.6,-0.1,19.95,-10.5,1.77,2023-12-02
Kosovo,9,,,3.3,12.6,-0.1,19.95,-10.5,1.77,2023-12-03
Kosovo,9,,,3.3,12.6,-0.1,19.95,-10.5,1.77,2023-12-04
Kosovo,9,,,3.3,12.6,-0.1,19.95,-10.5,1.77,2023-12-05
Kosovo,9,,,3.3,12.6,-0.1,19.95,-10.5,1.77,2023-12-06
Kosovo,9,,,3.3,12.6,-0.1,19.95,-10.5,1.77,2023-12-07
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2023-12-08
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2023-12-09
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2023-12-10
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2023-12-11
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2023-12-12
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2023-12-13
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2023-12-14
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2023-12-15
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2023-12-16
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2023-12-17
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2023-12-18
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2023-12-19
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2023-12-20
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2023-12-21
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2023-12-22
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2023-12-23
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2023-12-24
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2023-12-25
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2023-12-26
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2023-12-27
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2023-12-28
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2023-12-29
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2023-12-30
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2023-12-31
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2024-01-01
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2024-01-02
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2024-01-03
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2024-01-04
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2024-01-05
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2024-01-06
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2024-01-07
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2024-01-08
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2024-01-09
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2024-01-10
Kosovo,9,,,2.9,12.6,-0.1,19.95,-10.5,1.77,2024-01-11
Kosovo,9,,,2.3,12.6,-0.1,19.95,-10.5,1.77,2024-01-12
