country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-11-23
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-11-24
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-11-25
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-11-26
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-11-27
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-11-28
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-11-29
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-11-30
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-12-01
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-12-02
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-12-03
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-12-04
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-12-05
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-12-06
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-12-07
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-12-08
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-12-09
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-12-10
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-12-11
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-12-12
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-12-13
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-12-14
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-12-15
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-12-16
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-12-17
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-12-18
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-12-19
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-12-20
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-12-21
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-12-22
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-12-23
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-12-24
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-12-25
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-12-26
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-12-27
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-12-28
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-12-29
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-12-30
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2023-12-31
Kuwait,185,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2024-01-01
Kuwait,175,4.7,4.25,3.8,2.5,11.6,2.9,28.5,4.22,2024-01-02
Kuwait,175,4.7,4.25,3.8,2.5,11.6,2.9,36.0,4.22,2024-01-03
Kuwait,175,4.7,4.25,3.8,2.5,11.6,2.9,36.0,4.22,2024-01-04
Kuwait,175,4.7,4.25,3.8,2.5,11.6,2.9,36.0,4.22,2024-01-05
Kuwait,175,4.7,4.25,3.8,2.5,11.6,2.9,36.0,4.22,2024-01-06
Kuwait,175,4.7,4.25,3.8,2.5,11.6,2.9,36.0,4.22,2024-01-07
Kuwait,175,4.7,4.25,3.8,2.5,11.6,2.9,36.0,4.22,2024-01-08
Kuwait,175,4.7,4.25,3.8,2.5,11.6,2.9,36.0,4.22,2024-01-09
Kuwait,175,4.7,4.25,3.8,2.5,11.6,2.9,36.0,4.22,2024-01-10
Kuwait,175,4.7,4.25,3.8,2.5,11.6,2.9,36.0,4.22,2024-01-11
Kuwait,175,4.7,4.25,3.8,2.5,11.6,2.9,36.0,4.22,2024-01-12
