country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Laos,16,,7.5,25.83,2.6,-0.3,68.01,-0.07,7.44,2023-11-23
Laos,16,,7.5,25.83,2.6,-0.3,68.01,-0.07,7.44,2023-11-24
Laos,16,,7.5,25.83,2.6,-0.3,68.01,-0.07,7.44,2023-11-25
Laos,16,,7.5,25.83,2.6,-0.3,68.01,-0.07,7.44,2023-11-26
Laos,16,,7.5,25.83,2.6,-0.3,68.01,-0.07,7.44,2023-11-27
Laos,16,,7.5,25.83,2.6,-0.3,68.01,-0.07,7.44,2023-11-28
Laos,16,,7.5,25.83,2.6,-0.3,68.01,-0.07,7.44,2023-11-29
Laos,16,,7.5,25.83,2.6,-0.3,68.01,-0.07,7.44,2023-11-30
Laos,16,,7.5,25.83,2.6,-0.3,68.01,-0.07,7.44,2023-12-01
Laos,16,,7.5,25.83,2.6,-0.3,68.01,-0.07,7.44,2023-12-02
Laos,16,,7.5,25.83,2.6,-0.3,68.01,-0.07,7.44,2023-12-03
Laos,16,,7.5,25.24,2.6,-0.3,68.01,-0.07,7.44,2023-12-04
Laos,16,,7.5,25.24,2.6,-0.3,68.01,-0.07,7.44,2023-12-05
Laos,16,,7.5,25.24,2.6,-0.3,68.01,-0.07,7.44,2023-12-06
Laos,16,,7.5,25.24,2.6,-0.3,68.01,-0.07,7.44,2023-12-07
