country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Latvia,41,0.6,4.5,2.1,6.5,-4.6,41.0,-4.7,1.88,2023-11-23
Latvia,41,0.6,4.5,2.1,6.5,-4.6,41.0,-4.7,1.88,2023-11-24
Latvia,41,0.6,4.5,2.1,6.5,-4.6,41.0,-4.7,1.88,2023-11-25
Latvia,41,0.6,4.5,2.1,6.5,-4.6,41.0,-4.7,1.88,2023-11-26
Latvia,41,0.6,4.5,2.1,6.5,-4.6,41.0,-4.7,1.88,2023-11-27
Latvia,41,0.6,4.5,2.1,6.5,-4.6,41.0,-4.7,1.88,2023-11-28
Latvia,41,0.6,4.5,2.1,6.5,-4.6,41.0,-4.7,1.88,2023-11-29
Latvia,41,0.2,4.5,2.1,6.5,-4.6,41.0,-4.7,1.88,2023-11-30
Latvia,41,0.2,4.5,2.1,6.5,-4.6,41.0,-4.7,1.88,2023-12-01
Latvia,41,0.2,4.5,2.1,6.5,-4.6,41.0,-4.7,1.88,2023-12-02
Latvia,41,0.2,4.5,2.1,6.5,-4.6,41.0,-4.7,1.88,2023-12-03
Latvia,41,0.2,4.5,2.1,6.5,-4.6,41.0,-4.7,1.88,2023-12-04
Latvia,41,0.2,4.5,2.1,6.5,-4.6,41.0,-4.7,1.88,2023-12-05
Latvia,41,0.2,4.5,2.1,6.5,-4.6,41.0,-4.7,1.88,2023-12-06
Latvia,41,0.2,4.5,2.1,6.5,-4.6,41.0,-4.7,1.88,2023-12-07
Latvia,41,0.2,4.5,1.0,6.5,-4.6,41.0,-4.7,1.88,2023-12-08
Latvia,41,0.2,4.5,1.0,6.5,-4.6,41.0,-4.7,1.88,2023-12-09
Latvia,41,0.2,4.5,1.0,6.5,-4.6,41.0,-4.7,1.88,2023-12-10
Latvia,41,0.2,4.5,1.0,6.5,-4.6,41.0,-4.7,1.88,2023-12-11
Latvia,41,0.2,4.5,1.0,6.5,-4.6,41.0,-4.7,1.88,2023-12-12
