country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Lebanon,23,,7.75,215.4,12.6,-4.91,150.6,-12.9,5.5,2023-11-23
Lebanon,23,,7.75,215.4,12.6,-4.91,150.6,-12.9,5.5,2023-11-24
Lebanon,23,,7.75,215.4,12.6,-4.91,150.6,-12.9,5.5,2023-11-25
Lebanon,23,,7.75,215.4,12.6,-4.91,150.6,-12.9,5.5,2023-11-26
Lebanon,23,,7.75,215.43,12.6,-4.91,150.6,-12.9,5.5,2023-11-27
Lebanon,23,,7.75,215.43,12.6,-4.91,150.6,-12.9,5.5,2023-11-28
Lebanon,23,,7.75,215.43,12.6,-4.91,150.6,-12.9,5.5,2023-11-29
Lebanon,23,,7.75,215.43,12.6,-4.91,150.6,-12.9,5.5,2023-11-30
Lebanon,23,,7.75,215.43,12.6,-4.91,150.6,-12.9,5.5,2023-12-01
Lebanon,23,,7.75,215.43,12.6,-4.91,150.6,-12.9,5.5,2023-12-02
Lebanon,23,,7.75,215.43,12.6,-4.91,150.6,-12.9,5.5,2023-12-03
Lebanon,23,,7.75,215.43,12.6,-4.91,150.6,-12.9,5.5,2023-12-04
Lebanon,23,,7.75,215.43,12.6,-4.91,150.6,-12.9,5.5,2023-12-05
Lebanon,23,,7.75,215.43,12.6,-4.91,150.6,-12.9,5.5,2023-12-06
Lebanon,23,,7.75,215.43,12.6,-4.91,150.6,-12.9,5.5,2023-12-07
Lebanon,23,,7.75,215.43,12.6,-4.91,150.6,-12.9,5.5,2023-12-08
Lebanon,23,,7.75,215.43,12.6,-4.91,150.6,-12.9,5.5,2023-12-09
Lebanon,23,,7.75,215.43,12.6,-4.91,150.6,-12.9,5.5,2023-12-10
Lebanon,23,,7.75,215.43,12.6,-4.91,150.6,-12.9,5.5,2023-12-11
Lebanon,23,,7.75,215.43,12.6,-4.91,150.6,-12.9,5.5,2023-12-12
Lebanon,23,,7.75,215.43,12.6,-4.91,150.6,-12.9,5.5,2023-12-13
Lebanon,23,,7.75,215.43,12.6,-4.91,150.6,-12.9,5.5,2023-12-14
Lebanon,23,,7.75,215.43,12.6,-4.91,150.6,-12.9,5.5,2023-12-15
Lebanon,23,,7.75,215.43,12.6,-4.91,150.6,-12.9,5.5,2023-12-16
Lebanon,23,,7.75,215.43,12.6,-4.91,150.6,-12.9,5.5,2023-12-17
Lebanon,23,,7.75,215.43,12.6,-4.91,150.6,-12.9,5.5,2023-12-18
Lebanon,23,,7.75,215.43,12.6,-4.91,150.6,-12.9,5.5,2023-12-19
Lebanon,23,,7.75,215.43,12.6,-4.91,150.6,-12.9,5.5,2023-12-20
Lebanon,23,,7.75,211.9,12.6,-4.91,150.6,-12.9,5.5,2023-12-21
Lebanon,23,,7.75,211.9,12.6,-4.91,150.6,-12.9,5.5,2023-12-22
Lebanon,23,,7.75,211.9,12.6,-4.91,150.6,-12.9,5.5,2023-12-23
Lebanon,23,,7.75,211.9,12.6,-4.91,150.6,-12.9,5.5,2023-12-24
Lebanon,23,,7.75,211.86,12.6,-4.91,150.6,-12.9,5.5,2023-12-25
Lebanon,23,,7.75,211.86,12.6,-4.91,150.6,-12.9,5.5,2023-12-26
Lebanon,23,,7.75,211.86,12.6,-4.91,150.6,-12.9,5.5,2023-12-27
Lebanon,23,,7.75,211.86,12.6,-4.91,150.6,-12.9,5.5,2023-12-28
Lebanon,23,,7.75,211.86,12.6,-4.91,150.6,-12.9,5.5,2023-12-29
Lebanon,23,,7.75,211.86,12.6,-4.91,150.6,-12.9,5.5,2023-12-30
Lebanon,23,,7.75,211.86,12.6,-4.91,150.6,-12.9,5.5,2023-12-31
Lebanon,23,,7.75,211.86,12.6,-4.91,150.6,-12.9,5.5,2024-01-01
Lebanon,23,,7.75,211.86,12.6,-4.91,150.6,-12.9,5.5,2024-01-02
Lebanon,23,,7.75,211.86,12.6,-4.91,150.6,-12.9,5.5,2024-01-03
Lebanon,23,,7.75,211.86,12.6,-4.91,150.6,-12.9,5.5,2024-01-04
Lebanon,23,,7.75,211.86,12.6,-4.91,150.6,-12.9,5.5,2024-01-05
Lebanon,23,,7.75,211.86,12.6,-4.91,150.6,-12.9,5.5,2024-01-06
Lebanon,23,,7.75,211.86,12.6,-4.91,150.6,-12.9,5.5,2024-01-07
Lebanon,23,,7.75,211.86,12.6,-4.91,150.6,-12.9,5.5,2024-01-08
Lebanon,23,,7.75,211.86,12.6,-4.91,150.6,-12.9,5.5,2024-01-09
Lebanon,23,,7.75,211.86,12.6,-4.91,150.6,-12.9,5.5,2024-01-10
Lebanon,23,,7.75,211.86,12.6,-4.91,150.6,-12.9,5.5,2024-01-11
Lebanon,23,,7.75,211.86,12.6,-4.91,150.6,-12.9,5.5,2024-01-12
Lebanon,23,,7.75,211.86,12.6,-4.91,150.6,-12.9,5.5,2024-01-13
Lebanon,23,,7.75,211.86,12.6,-4.91,150.6,-12.9,5.5,2024-01-14
Lebanon,23,,7.75,211.86,12.6,-4.91,150.6,-12.9,5.5,2024-01-15
Lebanon,23,,7.75,211.86,12.6,-4.91,150.6,-12.9,5.5,2024-01-16
Lebanon,23,,7.75,211.86,12.6,-4.91,150.6,-12.9,5.5,2024-01-17
Lebanon,23,,7.75,211.86,12.6,-4.91,150.6,-12.9,5.5,2024-01-18
Lebanon,23,,7.75,211.86,12.6,-4.91,150.6,-12.9,5.5,2024-01-19
Lebanon,23,,7.75,211.86,12.6,-4.91,150.6,-12.9,5.5,2024-01-20
Lebanon,23,,7.75,211.86,12.6,-4.91,150.6,-12.9,5.5,2024-01-21
Lebanon,23,,7.75,192.3,12.6,-4.91,150.6,-12.9,5.5,2024-01-22
Lebanon,23,,7.75,192.3,12.6,-4.91,150.6,-12.9,5.5,2024-01-23
Lebanon,23,,7.75,192.3,12.6,-4.91,150.6,-30.9,5.5,2024-01-24
Lebanon,23,,7.75,192.3,12.6,-4.91,150.6,-30.9,5.5,2024-01-25
Lebanon,23,,7.75,192.3,12.6,-4.91,150.6,-30.9,5.5,2024-01-26
Lebanon,23,,7.75,192.3,12.6,-4.91,150.6,-30.9,5.5,2024-01-27
Lebanon,23,,7.75,192.3,12.6,-4.91,150.6,-30.9,5.5,2024-01-28
Lebanon,23,,7.75,192.26,12.6,-4.91,150.6,-30.9,5.5,2024-01-29
Lebanon,23,,7.75,192.26,12.6,-4.91,150.6,-30.9,5.5,2024-01-30
Lebanon,23,,7.75,192.26,12.6,-4.91,150.6,-30.9,5.5,2024-01-31
Lebanon,23,,7.75,192.26,12.6,-4.91,150.6,-30.9,5.5,2024-02-01
Lebanon,23,,7.75,192.26,12.6,-4.91,150.6,-30.9,5.5,2024-02-02
Lebanon,23,,7.75,192.26,12.6,-4.91,150.6,-30.9,5.5,2024-02-03
Lebanon,23,,7.75,192.26,12.6,-4.91,150.6,-30.9,5.5,2024-02-04
Lebanon,23,,7.75,192.26,12.6,-4.91,150.6,-30.9,5.5,2024-02-05
Lebanon,23,,7.75,192.26,12.6,-4.91,150.6,-30.9,5.5,2024-02-06
Lebanon,23,,7.75,192.26,11.7,-4.91,150.6,-30.9,5.5,2024-02-07
Lebanon,23,,7.75,192.26,11.7,-4.91,150.6,-30.9,5.5,2024-02-08
Lebanon,23,,7.75,192.26,11.7,-4.91,150.6,-30.9,5.5,2024-02-09
Lebanon,23,,7.75,192.26,11.7,-4.91,150.6,-30.9,5.5,2024-02-10
Lebanon,23,,7.75,192.26,11.7,-4.91,150.6,-30.9,5.5,2024-02-11
Lebanon,23,,7.75,192.26,11.7,-4.91,150.6,-30.9,5.5,2024-02-12
Lebanon,23,,7.75,192.26,11.7,-4.91,150.6,-30.9,5.5,2024-02-13
Lebanon,23,,7.75,192.26,11.7,-4.91,150.6,-30.9,5.5,2024-02-14
Lebanon,23,,7.75,192.26,11.7,-4.91,150.6,-30.9,5.5,2024-02-15
Lebanon,23,,7.75,192.26,11.7,-4.91,150.6,-30.9,5.5,2024-02-16
Lebanon,23,,7.75,192.26,11.7,-4.91,150.6,-30.9,5.5,2024-02-17
Lebanon,23,,7.75,192.26,11.7,-4.91,150.6,-30.9,5.5,2024-02-18
Lebanon,23,,7.75,192.26,11.7,-4.91,150.6,-30.9,5.5,2024-02-19
Lebanon,23,,7.75,192.26,11.7,-4.91,150.6,-30.9,5.5,2024-02-20
Lebanon,23,,7.75,192.26,11.7,-4.91,150.6,-30.9,5.5,2024-02-21
