country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Libya,46,,3.0,2.1,20.7,3.1,83.0,23.3,6.81,2023-11-23
Libya,46,,3.0,2.1,20.7,3.1,83.0,23.3,6.81,2023-11-24
Libya,46,,3.0,2.1,20.7,3.1,83.0,23.3,6.81,2023-11-25
Libya,46,,3.0,2.1,20.7,3.1,83.0,23.3,6.81,2023-11-26
Libya,46,,3.0,2.1,20.7,3.1,83.0,23.3,6.81,2023-11-27
Libya,46,,3.0,2.1,20.7,3.1,83.0,23.3,6.81,2023-11-28
Libya,46,,3.0,2.1,20.7,3.1,83.0,23.3,6.81,2023-11-29
Libya,46,,3.0,2.1,20.7,3.1,83.0,23.3,6.81,2023-11-30
Libya,46,,3.0,2.1,20.7,3.1,83.0,23.3,6.81,2023-12-01
Libya,46,,3.0,2.1,20.7,3.1,83.0,23.3,6.81,2023-12-02
Libya,46,,3.0,2.1,20.7,3.1,83.0,23.3,6.81,2023-12-03
Libya,46,,3.0,2.1,20.7,3.1,83.0,23.3,6.81,2023-12-04
Libya,46,,3.0,2.1,20.7,3.1,83.0,23.3,6.81,2023-12-05
