country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Lithuania,70,-0.1,4.5,2.8,8.2,-0.7,38.1,-5.5,2.81,2023-11-23
Lithuania,70,-0.1,4.5,2.8,8.2,-0.7,38.1,-5.5,2.81,2023-11-24
Lithuania,70,-0.1,4.5,2.8,8.2,-0.7,38.1,-5.5,2.81,2023-11-25
Lithuania,70,-0.1,4.5,2.8,8.2,-0.7,38.1,-5.5,2.81,2023-11-26
Lithuania,70,-0.1,4.5,2.8,8.2,-0.7,38.1,-5.5,2.81,2023-11-27
Lithuania,70,-0.1,4.5,2.8,8.2,-0.7,38.1,-5.5,2.81,2023-11-28
Lithuania,70,-0.1,4.5,2.8,8.2,-0.7,38.1,-5.5,2.81,2023-11-29
Lithuania,70,-0.02,4.5,2.8,8.2,-0.7,38.1,-5.5,2.81,2023-11-30
Lithuania,70,-0.02,4.5,2.8,8.2,-0.7,38.1,-5.5,2.81,2023-12-01
Lithuania,70,-0.02,4.5,2.8,8.2,-0.7,38.1,-5.5,2.81,2023-12-02
Lithuania,70,-0.02,4.5,2.8,8.2,-0.7,38.1,-5.5,2.81,2023-12-03
Lithuania,70,-0.02,4.5,2.8,8.2,-0.7,38.1,-5.5,2.81,2023-12-04
Lithuania,70,-0.02,4.5,2.8,8.2,-0.7,38.1,-5.5,2.81,2023-12-05
Lithuania,70,-0.02,4.5,2.8,8.2,-0.7,38.1,-5.5,2.81,2023-12-06
Lithuania,70,-0.02,4.5,2.8,8.2,-0.7,38.1,-5.5,2.81,2023-12-07
Lithuania,70,-0.02,4.5,2.0,8.2,-0.7,38.1,-5.5,2.81,2023-12-08
Lithuania,70,-0.02,4.5,2.0,8.2,-0.7,38.1,-5.5,2.81,2023-12-09
Lithuania,70,-0.02,4.5,2.0,8.2,-0.7,38.1,-5.5,2.81,2023-12-10
Lithuania,70,-0.02,4.5,2.0,8.2,-0.7,38.1,-5.5,2.81,2023-12-11
Lithuania,70,-0.02,4.5,2.0,8.2,-0.7,38.1,-5.5,2.81,2023-12-12
Lithuania,70,-0.02,4.5,2.0,8.2,-0.7,38.1,-5.5,2.81,2023-12-13
Lithuania,70,-0.02,4.5,2.0,8.2,-0.7,38.1,-5.5,2.81,2023-12-14
Lithuania,70,-0.02,4.5,2.0,8.2,-0.7,38.1,-5.5,2.81,2023-12-15
Lithuania,70,-0.02,4.5,2.0,8.2,-0.7,38.1,-5.5,2.81,2023-12-16
Lithuania,70,-0.02,4.5,2.0,8.2,-0.7,38.1,-5.5,2.81,2023-12-17
Lithuania,70,-0.02,4.5,2.0,8.4,-0.7,38.1,-5.5,2.81,2023-12-18
Lithuania,70,-0.02,4.5,2.0,8.4,-0.7,38.1,-5.5,2.81,2023-12-19
Lithuania,70,-0.02,4.5,2.0,8.4,-0.7,38.1,-5.5,2.81,2023-12-20
Lithuania,70,-0.02,4.5,2.0,8.4,-0.7,38.1,-5.5,2.81,2023-12-21
Lithuania,70,-0.02,4.5,2.0,8.4,-0.7,38.1,-5.5,2.81,2023-12-22
Lithuania,70,-0.02,4.5,2.0,8.4,-0.7,38.1,-5.5,2.81,2023-12-23
Lithuania,70,-0.02,4.5,2.0,8.4,-0.7,38.1,-5.5,2.81,2023-12-24
Lithuania,70,-0.02,4.5,2.0,8.4,-0.7,38.1,-5.5,2.81,2023-12-25
Lithuania,70,-0.02,4.5,2.0,8.4,-0.7,38.1,-5.5,2.81,2023-12-26
Lithuania,70,-0.02,4.5,2.0,8.4,-0.7,38.1,-5.5,2.81,2023-12-27
Lithuania,70,-0.02,4.5,2.0,8.4,-0.7,38.1,-5.5,2.81,2023-12-28
Lithuania,70,-0.02,4.5,2.0,8.4,-0.7,38.1,-5.5,2.81,2023-12-29
Lithuania,70,-0.02,4.5,2.0,8.4,-0.7,38.1,-5.5,2.81,2023-12-30
Lithuania,70,-0.02,4.5,2.0,8.4,-0.7,38.1,-5.5,2.81,2023-12-31
Lithuania,70,-0.02,4.5,2.0,8.4,-0.7,38.1,-5.5,2.81,2024-01-01
Lithuania,71,-0.02,4.5,2.0,8.4,-0.7,38.1,-5.5,2.81,2024-01-02
Lithuania,71,-0.02,4.5,2.0,8.4,-0.7,38.1,-5.5,2.81,2024-01-03
