country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Macau,22,,5.75,0.86,2.4,,,-2.4,0.67,2023-11-23
Macau,22,,5.75,1.1,2.4,,,-2.4,0.67,2023-11-24
Macau,22,,5.75,1.1,2.4,,,-2.4,0.67,2023-11-25
Macau,22,,5.75,1.1,2.4,,,-2.4,0.67,2023-11-26
Macau,22,,5.75,1.1,2.4,,,-2.4,0.67,2023-11-27
Macau,22,,5.75,1.1,2.4,,,-2.4,0.67,2023-11-28
Macau,22,,5.75,1.1,2.4,,,-2.4,0.67,2023-11-29
Macau,22,,5.75,1.1,2.4,,,-2.4,0.67,2023-11-30
Macau,22,,5.75,1.1,2.4,,,-2.4,0.67,2023-12-01
Macau,22,,5.75,1.1,2.4,,,-2.4,0.67,2023-12-02
Macau,22,,5.75,1.1,2.4,,,-2.4,0.67,2023-12-03
Macau,22,,5.75,1.1,2.4,,,-2.4,0.67,2023-12-04
Macau,22,,5.75,1.1,2.4,,,-2.4,0.67,2023-12-05
Macau,22,,5.75,1.1,2.4,,,-2.4,0.67,2023-12-06
Macau,22,,5.75,1.1,2.4,,,-2.4,0.67,2023-12-07
Macau,22,,5.75,1.1,2.4,,,-2.4,0.67,2023-12-08
Macau,22,,5.75,1.1,2.4,,,-2.4,0.67,2023-12-09
Macau,22,,5.75,1.1,2.4,,,-2.4,0.67,2023-12-10
Macau,22,,5.75,1.1,2.4,,,-2.4,0.67,2023-12-11
Macau,22,,5.75,1.1,2.4,,,-2.4,0.67,2023-12-12
Macau,22,,5.75,1.1,2.4,,,-2.4,0.67,2023-12-13
Macau,22,,5.75,1.1,2.4,,,-2.4,0.67,2023-12-14
Macau,22,,5.75,1.1,2.4,,,-2.4,0.67,2023-12-15
Macau,22,,5.75,1.1,2.4,,,-2.4,0.67,2023-12-16
Macau,22,,5.75,1.1,2.4,,,-2.4,0.67,2023-12-17
Macau,22,,5.75,1.1,2.4,,,-2.4,0.67,2023-12-18
Macau,22,,5.75,1.1,2.4,,,-2.4,0.67,2023-12-19
Macau,22,,5.75,1.1,2.4,,,-2.4,0.67,2023-12-20
Macau,22,,5.75,1.1,2.4,,,-2.4,0.67,2023-12-21
Macau,22,,5.75,1.16,2.4,,,-2.4,0.67,2023-12-22
Macau,22,,5.75,1.16,2.4,,,-2.4,0.67,2023-12-23
Macau,22,,5.75,1.16,2.4,,,-2.4,0.67,2023-12-24
Macau,22,,5.75,1.16,2.4,,,-2.4,0.67,2023-12-25
Macau,22,,5.75,1.16,2.4,,,-2.4,0.67,2023-12-26
Macau,22,,5.75,1.16,2.4,,,-2.4,0.67,2023-12-27
Macau,22,,5.75,1.16,2.4,,,-2.4,0.67,2023-12-28
Macau,22,,5.75,1.16,2.3,,,-2.4,0.67,2023-12-29
Macau,22,,5.75,1.16,2.3,,,-2.4,0.67,2023-12-30
Macau,22,,5.75,1.16,2.3,,,-2.4,0.67,2023-12-31
Macau,22,,5.75,1.16,2.3,,,-2.4,0.67,2024-01-01
Macau,24,,5.75,1.16,2.3,,,-2.4,0.67,2024-01-02
Macau,24,,5.75,1.16,2.3,,,-2.4,0.67,2024-01-03
Macau,24,,5.75,1.16,2.3,,,5.6,0.67,2024-01-04
Macau,24,,5.75,1.16,2.3,,,5.6,0.67,2024-01-05
Macau,24,,5.75,1.16,2.3,,,5.6,0.67,2024-01-06
Macau,24,,5.75,1.16,2.3,,,5.6,0.67,2024-01-07
