country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Macedonia,14,0.2,6.3,3.5,13.2,-4.5,51.0,-6.0,1.84,2023-11-23
Macedonia,14,0.2,6.3,3.5,13.2,-4.5,51.0,-6.0,1.84,2023-11-24
Macedonia,14,0.2,6.3,3.5,13.2,-4.5,51.0,-6.0,1.84,2023-11-25
Macedonia,14,0.2,6.3,3.5,13.2,-4.5,51.0,-6.0,1.84,2023-11-26
Macedonia,14,0.2,6.3,3.5,13.2,-4.5,51.0,-6.0,1.84,2023-11-27
Macedonia,14,0.2,6.3,3.5,13.2,-4.5,51.0,-6.0,1.84,2023-11-28
Macedonia,14,0.2,6.3,3.5,13.2,-4.5,51.0,-6.0,1.84,2023-11-29
Macedonia,14,0.2,6.3,3.5,13.2,-4.5,51.0,-6.0,1.84,2023-11-30
Macedonia,14,0.2,6.3,3.5,13.2,-4.5,51.0,-6.0,1.84,2023-12-01
Macedonia,14,0.2,6.3,3.5,13.2,-4.5,51.0,-6.0,1.84,2023-12-02
Macedonia,14,0.2,6.3,3.5,13.2,-4.5,51.0,-6.0,1.84,2023-12-03
Macedonia,14,0.2,6.3,3.5,13.2,-4.5,51.0,-6.0,1.84,2023-12-04
Macedonia,14,0.2,6.3,3.5,13.2,-4.5,51.0,-6.0,1.84,2023-12-05
Macedonia,14,0.2,6.3,3.5,13.2,-4.5,51.0,-6.0,1.84,2023-12-06
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2023-12-07
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2023-12-08
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2023-12-09
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2023-12-10
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2023-12-11
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2023-12-12
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2023-12-13
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2023-12-14
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2023-12-15
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2023-12-16
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2023-12-17
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2023-12-18
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2023-12-19
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2023-12-20
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2023-12-21
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2023-12-22
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2023-12-23
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2023-12-24
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2023-12-25
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2023-12-26
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2023-12-27
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2023-12-28
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2023-12-29
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2023-12-30
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2023-12-31
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2024-01-01
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2024-01-02
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2024-01-03
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2024-01-04
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2024-01-05
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2024-01-06
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2024-01-07
Macedonia,14,0.2,6.3,3.1,12.8,-4.5,51.0,-6.0,1.84,2024-01-08
Macedonia,14,0.2,6.3,3.6,12.8,-4.5,51.0,-6.0,1.84,2024-01-09
Macedonia,14,0.2,6.3,3.6,12.8,-4.5,51.0,-6.0,1.84,2024-01-10
Macedonia,14,0.2,6.3,3.6,12.8,-4.5,51.0,-1.4,1.84,2024-01-11
Macedonia,14,0.0,6.3,3.6,12.8,-4.5,51.0,-1.4,1.84,2024-01-12
Macedonia,14,0.0,6.3,3.6,12.8,-4.5,51.0,-1.4,1.84,2024-01-13
Macedonia,14,0.0,6.3,3.6,12.8,-4.5,51.0,-1.4,1.84,2024-01-14
Macedonia,14,0.0,6.3,3.6,12.8,-4.5,51.0,-1.4,1.84,2024-01-15
Macedonia,14,0.0,6.3,3.6,12.8,-4.5,51.0,-1.4,1.84,2024-01-16
Macedonia,14,0.0,6.3,3.6,12.8,-4.5,51.0,-1.4,1.84,2024-01-17
