country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.8,29.61,2023-11-23
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.8,29.61,2023-11-24
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.8,29.61,2023-11-25
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.8,29.61,2023-11-26
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.8,29.61,2023-11-27
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.8,29.61,2023-11-28
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.8,29.61,2023-11-29
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.8,29.61,2023-11-30
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2023-12-01
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2023-12-02
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2023-12-03
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2023-12-04
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2023-12-05
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2023-12-06
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2023-12-07
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2023-12-08
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2023-12-09
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2023-12-10
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2023-12-11
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2023-12-12
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2023-12-13
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2023-12-14
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2023-12-15
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2023-12-16
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2023-12-17
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2023-12-18
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2023-12-19
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2023-12-20
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2023-12-21
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2023-12-22
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2023-12-23
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2023-12-24
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2023-12-25
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2023-12-26
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2023-12-27
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2023-12-28
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2023-12-29
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2023-12-30
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2023-12-31
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2024-01-01
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2024-01-02
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2024-01-03
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2024-01-04
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2024-01-05
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2024-01-06
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2024-01-07
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2024-01-08
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2024-01-09
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2024-01-10
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2024-01-11
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2024-01-12
Madagascar,15,,9.5,8.2,2.1,-4.5,38.2,-5.4,29.61,2024-01-13
