country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Malawi,13,,24.0,26.9,5.6,-6.8,66.7,-2.8,20.41,2023-11-23
Malawi,13,,24.0,26.9,5.6,-6.8,66.7,-2.8,20.41,2023-11-24
Malawi,13,,24.0,26.9,5.6,-6.8,66.7,-2.8,20.41,2023-11-25
Malawi,13,,24.0,26.9,5.6,-6.8,66.7,-2.8,20.41,2023-11-26
Malawi,13,,24.0,26.9,5.6,-6.8,66.7,-2.8,20.41,2023-11-27
Malawi,13,,24.0,26.9,5.6,-6.8,66.7,-2.8,20.41,2023-11-28
Malawi,13,,24.0,26.9,5.6,-6.8,66.7,-2.8,20.41,2023-11-29
Malawi,13,,24.0,26.9,5.6,-6.8,66.7,-2.8,20.41,2023-11-30
Malawi,13,,24.0,26.9,5.6,-6.8,66.7,-2.8,20.41,2023-12-01
Malawi,13,,24.0,26.9,5.6,-6.8,66.7,-2.8,20.41,2023-12-02
Malawi,13,,24.0,26.9,5.6,-6.8,66.7,-2.8,20.41,2023-12-03
Malawi,13,,24.0,26.9,5.6,-6.8,66.7,-2.8,20.41,2023-12-04
Malawi,13,,24.0,26.9,5.6,-6.8,66.7,-2.8,20.41,2023-12-05
Malawi,13,,24.0,26.9,5.6,-6.8,66.7,-2.8,20.41,2023-12-06
Malawi,13,,24.0,26.9,5.6,-6.8,66.7,-2.8,20.41,2023-12-07
Malawi,13,,24.0,26.9,5.6,-6.8,66.7,-2.8,20.41,2023-12-08
