country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Malaysia,406,2.6,3.0,1.9,3.4,-5.6,60.4,2.6,33.0,2023-11-23
Malaysia,406,2.6,3.0,1.8,3.4,-5.6,60.4,2.6,33.0,2023-11-24
Malaysia,406,2.6,3.0,1.8,3.4,-5.6,60.4,2.6,33.0,2023-11-25
Malaysia,406,2.6,3.0,1.8,3.4,-5.6,60.4,2.6,33.0,2023-11-26
Malaysia,406,2.6,3.0,1.8,3.4,-5.6,60.4,2.6,33.0,2023-11-27
Malaysia,406,2.6,3.0,1.8,3.4,-5.6,60.4,2.6,33.0,2023-11-28
Malaysia,406,2.6,3.0,1.8,3.4,-5.6,60.4,2.6,33.0,2023-11-29
Malaysia,406,2.6,3.0,1.8,3.4,-5.6,60.4,2.6,33.0,2023-11-30
Malaysia,406,2.6,3.0,1.8,3.4,-5.6,60.4,2.6,33.0,2023-12-01
Malaysia,406,2.6,3.0,1.8,3.4,-5.6,60.4,2.6,33.0,2023-12-02
Malaysia,406,2.6,3.0,1.8,3.4,-5.6,60.4,2.6,33.0,2023-12-03
Malaysia,406,2.6,3.0,1.8,3.4,-5.6,60.4,2.6,33.0,2023-12-04
Malaysia,406,2.6,3.0,1.8,3.4,-5.6,60.4,2.6,33.0,2023-12-05
Malaysia,406,2.6,3.0,1.8,3.4,-5.6,60.4,2.6,33.0,2023-12-06
Malaysia,406,2.6,3.0,1.8,3.4,-5.6,60.4,2.6,33.0,2023-12-07
Malaysia,406,2.6,3.0,1.8,3.4,-5.6,60.4,2.6,33.0,2023-12-08
Malaysia,406,2.6,3.0,1.8,3.4,-5.6,60.4,2.6,33.0,2023-12-09
Malaysia,406,2.6,3.0,1.8,3.4,-5.6,60.4,2.6,33.0,2023-12-10
Malaysia,406,2.6,3.0,1.8,3.4,-5.6,60.4,2.6,33.0,2023-12-11
Malaysia,406,2.6,3.0,1.8,3.4,-5.6,60.4,2.6,33.0,2023-12-12
Malaysia,406,2.6,3.0,1.8,3.4,-5.6,60.4,2.6,33.0,2023-12-13
Malaysia,406,2.6,3.0,1.8,3.4,-5.6,60.4,2.6,33.0,2023-12-14
Malaysia,406,2.6,3.0,1.8,3.4,-5.6,60.4,2.6,33.0,2023-12-15
Malaysia,406,2.6,3.0,1.8,3.4,-5.6,60.4,2.6,33.0,2023-12-16
