country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Maldives,6,,7.0,2.6,4.9,-14.3,57.9,-16.6,0.58,2023-11-23
Maldives,6,,7.0,2.6,4.9,-14.3,57.9,-16.6,0.58,2023-11-24
Maldives,6,,7.0,2.6,4.9,-14.3,57.9,-16.6,0.58,2023-11-25
Maldives,6,,7.0,2.6,4.9,-14.3,57.9,-16.6,0.58,2023-11-26
Maldives,6,,7.0,2.6,4.9,-14.3,57.9,-16.6,0.58,2023-11-27
Maldives,6,,7.0,2.6,4.9,-14.3,57.9,-16.6,0.58,2023-11-28
Maldives,6,,7.0,2.64,4.9,-14.3,57.9,-16.6,0.58,2023-11-29
Maldives,6,,7.0,2.64,4.9,-14.3,57.9,-16.6,0.58,2023-11-30
Maldives,6,,7.0,2.64,4.9,-14.3,57.9,-16.6,0.58,2023-12-01
Maldives,6,,7.0,2.64,4.9,-14.3,57.9,-16.6,0.58,2023-12-02
Maldives,6,,7.0,2.64,4.9,-14.3,57.9,-16.6,0.58,2023-12-03
Maldives,6,,7.0,2.64,4.9,-14.3,57.9,-16.6,0.58,2023-12-04
Maldives,6,,7.0,2.64,4.9,-14.3,57.9,-16.6,0.58,2023-12-05
Maldives,6,,7.0,2.64,4.9,-14.3,57.9,-16.6,0.58,2023-12-06
Maldives,6,,7.0,2.64,4.9,-14.3,57.9,-16.6,0.58,2023-12-07
Maldives,6,,7.0,2.64,4.9,-14.3,57.9,-16.6,0.58,2023-12-08
Maldives,6,,7.0,2.64,4.9,-14.3,57.9,-16.6,0.58,2023-12-09
Maldives,6,,7.0,2.64,4.9,-14.3,57.9,-16.6,0.58,2023-12-10
Maldives,6,,7.0,2.64,4.9,-14.3,57.9,-16.6,0.58,2023-12-11
Maldives,6,,7.0,2.64,4.9,-14.3,57.9,-16.6,0.58,2023-12-12
Maldives,6,,7.0,2.64,4.9,-14.3,57.9,-16.6,0.58,2023-12-13
Maldives,6,,7.0,2.64,4.9,-14.3,57.9,-16.6,0.58,2023-12-14
