country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Mali,19,,5.25,-1.8,2.8,-4.4,,-7.2,22.59,2023-11-23
Mali,19,,5.25,-1.8,2.8,-4.4,,-7.2,22.59,2023-11-24
Mali,19,,5.25,-1.8,2.8,-4.4,,-7.2,22.59,2023-11-25
Mali,19,,5.25,-1.8,2.8,-4.4,,-7.2,22.59,2023-11-26
Mali,19,,5.25,-1.8,2.8,-4.4,,-7.2,22.59,2023-11-27
Mali,19,,5.25,-1.8,2.8,-4.4,,-7.2,22.59,2023-11-28
Mali,19,,5.25,-1.8,2.8,-4.4,,-7.2,22.59,2023-11-29
Mali,19,,5.25,-1.8,2.8,-4.4,,-7.2,22.59,2023-11-30
Mali,19,,5.25,-1.8,2.8,-4.4,,-7.2,22.59,2023-12-01
Mali,19,,5.25,-1.8,2.8,-4.4,,-7.2,22.59,2023-12-02
Mali,19,,5.25,-1.8,2.8,-4.4,,-7.2,22.59,2023-12-03
Mali,19,,5.25,-1.8,2.8,-4.4,,-7.2,22.59,2023-12-04
Mali,19,,5.25,-1.8,2.8,-4.4,,-7.2,22.59,2023-12-05
Mali,19,,5.25,-1.8,2.8,-4.4,,-7.2,22.59,2023-12-06
Mali,19,,5.25,-1.8,2.8,-4.4,,-7.2,22.59,2023-12-07
