country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Malta,18,1.1,4.5,4.2,2.5,-5.7,52.3,-3.0,0.52,2023-11-23
Malta,18,1.1,4.5,4.2,2.5,-5.7,52.3,-3.0,0.52,2023-11-24
Malta,18,1.1,4.5,4.2,2.5,-5.7,52.3,-3.0,0.52,2023-11-25
Malta,18,1.1,4.5,4.2,2.5,-5.7,52.3,-3.0,0.52,2023-11-26
Malta,18,1.1,4.5,4.2,2.5,-5.7,52.3,-3.0,0.52,2023-11-27
Malta,18,1.1,4.5,4.2,2.5,-5.7,52.3,-3.0,0.52,2023-11-28
Malta,18,1.1,4.5,4.2,2.5,-5.7,52.3,-3.0,0.52,2023-11-29
Malta,18,1.1,4.5,4.2,2.5,-5.7,52.3,-3.0,0.52,2023-11-30
Malta,18,1.1,4.5,4.2,2.5,-5.7,52.3,-3.0,0.52,2023-12-01
Malta,18,1.1,4.5,4.2,2.5,-5.7,52.3,-3.0,0.52,2023-12-02
Malta,18,1.1,4.5,4.2,2.5,-5.7,52.3,-3.0,0.52,2023-12-03
Malta,18,1.1,4.5,4.2,2.5,-5.7,52.3,-3.0,0.52,2023-12-04
Malta,18,1.1,4.5,4.2,2.5,-5.7,52.3,-3.0,0.52,2023-12-05
Malta,18,1.1,4.5,4.2,2.5,-5.7,52.3,-3.0,0.52,2023-12-06
Malta,18,2.4,4.5,4.2,2.5,-5.7,52.3,-3.0,0.52,2023-12-07
Malta,18,2.4,4.5,4.2,2.5,-5.7,52.3,-3.0,0.52,2023-12-08
Malta,18,2.4,4.5,4.2,2.5,-5.7,52.3,-3.0,0.52,2023-12-09
Malta,18,2.4,4.5,4.2,2.5,-5.7,52.3,-3.0,0.52,2023-12-10
Malta,18,2.4,4.5,4.2,2.5,-5.7,52.3,-3.0,0.52,2023-12-11
Malta,18,2.4,4.5,4.2,2.5,-5.7,52.3,-3.0,0.52,2023-12-12
Malta,18,2.4,4.5,4.2,2.5,-5.7,52.3,-3.0,0.52,2023-12-13
Malta,18,2.4,4.5,4.2,2.5,-5.7,52.3,-3.0,0.52,2023-12-14
Malta,18,2.4,4.5,4.2,2.5,-5.7,52.3,-3.0,0.52,2023-12-15
Malta,18,2.4,4.5,4.2,2.5,-5.7,52.3,-3.0,0.52,2023-12-16
Malta,18,2.4,4.5,4.2,2.5,-5.7,52.3,-3.0,0.52,2023-12-17
Malta,18,2.4,4.5,4.2,2.5,-5.7,52.3,-3.0,0.52,2023-12-18
Malta,18,2.4,4.5,3.9,2.5,-5.7,52.3,-3.0,0.52,2023-12-19
Malta,18,2.4,4.5,3.9,2.5,-5.7,52.3,-3.0,0.52,2023-12-20
Malta,18,2.4,4.5,3.9,2.5,-5.7,52.3,-3.0,0.52,2023-12-21
Malta,18,2.4,4.5,3.9,2.5,-5.7,52.3,-3.0,0.52,2023-12-22
Malta,18,2.4,4.5,3.9,2.5,-5.7,52.3,-3.0,0.52,2023-12-23
Malta,18,2.4,4.5,3.9,2.5,-5.7,52.3,-3.0,0.52,2023-12-24
Malta,18,2.4,4.5,3.9,2.5,-5.7,52.3,-3.0,0.52,2023-12-25
Malta,18,2.4,4.5,3.9,2.5,-5.7,52.3,-3.0,0.52,2023-12-26
Malta,18,2.4,4.5,3.9,2.5,-5.7,52.3,-3.0,0.52,2023-12-27
Malta,18,2.4,4.5,3.9,2.5,-5.7,52.3,-3.0,0.52,2023-12-28
Malta,18,2.4,4.5,3.9,2.5,-5.7,52.3,-3.0,0.52,2023-12-29
Malta,18,2.4,4.5,3.9,2.5,-5.7,52.3,-3.0,0.52,2023-12-30
Malta,18,2.4,4.5,3.9,2.5,-5.7,52.3,-3.0,0.52,2023-12-31
Malta,18,2.4,4.5,3.9,2.5,-5.7,52.3,-3.0,0.52,2024-01-01
Malta,18,2.4,4.5,3.9,2.5,-5.7,52.3,-3.0,0.52,2024-01-02
Malta,18,2.4,4.5,3.9,2.5,-5.7,52.3,-3.0,0.52,2024-01-03
Malta,18,2.4,4.5,3.9,2.5,-5.7,52.3,-3.0,0.52,2024-01-04
Malta,18,2.4,4.5,3.9,2.5,-5.7,52.3,-3.0,0.52,2024-01-05
Malta,18,2.4,4.5,3.9,2.5,-5.7,52.3,-3.0,0.52,2024-01-06
Malta,18,2.4,4.5,3.9,2.5,-5.7,52.3,-3.0,0.52,2024-01-07
Malta,18,2.4,4.5,3.9,2.5,-5.7,52.3,-3.0,0.52,2024-01-08
Malta,18,2.4,4.5,3.9,2.5,-5.7,52.3,-3.0,0.52,2024-01-09
Malta,18,2.4,4.5,3.9,2.5,-5.7,52.3,-3.0,0.52,2024-01-10
Malta,18,2.4,4.5,3.9,2.5,-5.7,52.3,-3.0,0.52,2024-01-11
Malta,18,2.4,4.5,3.9,2.5,-5.7,52.3,-3.0,0.52,2024-01-12
Malta,18,2.4,4.5,3.9,2.5,-5.7,52.3,-3.0,0.52,2024-01-13
Malta,18,2.4,4.5,3.9,2.5,-5.7,52.3,-3.0,0.52,2024-01-14
Malta,18,2.4,4.5,3.9,2.5,-5.7,52.3,-3.0,0.52,2024-01-15
Malta,18,2.4,4.5,3.9,2.5,-5.7,52.3,-3.0,0.52,2024-01-16
Malta,18,2.4,4.5,3.7,2.5,-5.7,52.3,-3.0,0.52,2024-01-17
Malta,18,2.4,4.5,3.7,2.5,-5.7,52.3,-3.0,0.52,2024-01-18
Malta,18,2.4,4.5,3.7,2.5,-5.7,52.3,-3.0,0.52,2024-01-19
Malta,18,2.4,4.5,3.7,2.5,-5.7,52.3,-3.0,0.52,2024-01-20
Malta,18,2.4,4.5,3.7,2.5,-5.7,52.3,-3.0,0.52,2024-01-21
Malta,18,2.4,4.5,3.7,2.5,-5.7,52.3,-3.0,0.52,2024-01-22
Malta,18,2.4,4.5,3.7,2.5,-5.7,52.3,-3.0,0.52,2024-01-23
Malta,18,2.4,4.5,3.7,2.5,-5.7,52.3,-3.0,0.52,2024-01-24
Malta,18,2.4,4.5,3.7,2.5,-5.7,52.3,-3.0,0.52,2024-01-25
Malta,18,2.4,4.5,3.7,2.5,-5.7,52.3,-3.0,0.52,2024-01-26
Malta,18,2.4,4.5,3.7,2.5,-5.7,52.3,-3.0,0.52,2024-01-27
Malta,18,2.4,4.5,3.7,2.5,-5.7,52.3,-3.0,0.52,2024-01-28
Malta,18,2.4,4.5,3.7,2.5,-5.7,52.3,-3.0,0.52,2024-01-29
Malta,18,2.4,4.5,3.7,2.5,-5.7,52.3,-3.0,0.52,2024-01-30
Malta,18,2.4,4.5,3.7,2.5,-5.7,52.3,-3.0,0.52,2024-01-31
Malta,18,2.4,4.5,3.7,2.5,-5.7,52.3,-3.0,0.52,2024-02-01
Malta,18,2.4,4.5,3.7,2.5,-5.7,52.3,-3.0,0.52,2024-02-02
Malta,18,2.4,4.5,3.7,2.5,-5.7,52.3,-3.0,0.52,2024-02-03
Malta,18,2.4,4.5,3.7,2.5,-5.7,52.3,-3.0,0.52,2024-02-04
Malta,18,2.4,4.5,3.7,2.5,-5.7,52.3,-3.0,0.52,2024-02-05
