country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Mauritania,10,,8.0,1.7,11.1,-1.3,41.9,-14.3,4.73,2023-11-23
Mauritania,10,,8.0,1.7,11.1,-1.3,41.9,-14.3,4.73,2023-11-24
Mauritania,10,,8.0,1.7,11.1,-1.3,41.9,-14.3,4.73,2023-11-25
Mauritania,10,,8.0,1.7,11.1,-1.3,41.9,-14.3,4.73,2023-11-26
Mauritania,10,,8.0,1.7,11.1,-1.3,41.9,-14.3,4.73,2023-11-27
Mauritania,10,,8.0,1.7,11.1,-1.3,41.9,-14.3,4.73,2023-11-28
Mauritania,10,,8.0,1.7,11.1,-1.3,41.9,-14.3,4.73,2023-11-29
Mauritania,10,,8.0,1.7,11.1,-1.3,41.9,-14.3,4.73,2023-11-30
Mauritania,10,,8.0,1.7,11.1,-1.3,41.9,-14.3,4.73,2023-12-01
Mauritania,10,,8.0,1.7,11.1,-1.3,41.9,-14.3,4.73,2023-12-02
Mauritania,10,,8.0,1.7,11.1,-1.3,41.9,-14.3,4.73,2023-12-03
Mauritania,10,,8.0,1.7,11.1,-1.3,41.9,-14.3,4.73,2023-12-04
Mauritania,10,,8.0,1.7,11.1,-1.3,41.9,-14.3,4.73,2023-12-05
Mauritania,10,,8.0,1.7,11.1,-1.3,41.9,-14.3,4.73,2023-12-06
Mauritania,10,,8.0,1.7,11.1,-1.3,41.9,-14.3,4.73,2023-12-07
Mauritania,10,,8.0,1.7,11.1,-1.3,41.9,-14.3,4.73,2023-12-08
Mauritania,10,,8.0,1.7,11.1,-1.3,41.9,-14.3,4.73,2023-12-09
Mauritania,10,,8.0,1.7,11.1,-1.3,41.9,-14.3,4.73,2023-12-10
Mauritania,10,,8.0,1.7,11.1,-1.3,41.9,-14.3,4.73,2023-12-11
Mauritania,10,,8.0,1.7,11.1,-1.3,41.9,-14.3,4.73,2023-12-12
Mauritania,10,,8.0,1.3,11.1,-1.3,41.9,-14.3,4.73,2023-12-13
Mauritania,10,,8.0,1.3,11.1,-1.3,41.9,-14.3,4.73,2023-12-14
Mauritania,10,,8.0,1.3,11.1,-1.3,41.9,-14.3,4.73,2023-12-15
Mauritania,10,,8.0,1.3,11.1,-1.3,41.9,-14.3,4.73,2023-12-16
Mauritania,10,,8.0,1.3,11.1,-1.3,41.9,-14.3,4.73,2023-12-17
Mauritania,10,,8.0,1.3,11.1,-1.3,41.9,-14.3,4.73,2023-12-18
Mauritania,10,,8.0,1.3,11.1,-1.3,41.9,-14.3,4.73,2023-12-19
Mauritania,10,,8.0,1.3,11.1,-1.3,41.9,-14.3,4.73,2023-12-20
Mauritania,10,,8.0,1.3,11.1,-1.3,41.9,-14.3,4.73,2023-12-21
Mauritania,10,,8.0,1.3,11.1,-1.3,41.9,-14.3,4.73,2023-12-22
Mauritania,10,,8.0,1.3,11.1,-1.3,41.9,-14.3,4.73,2023-12-23
Mauritania,10,,8.0,1.3,11.1,-1.3,41.9,-14.3,4.73,2023-12-24
Mauritania,10,,8.0,1.3,11.1,-1.3,41.9,-14.3,4.73,2023-12-25
Mauritania,10,,8.0,1.3,11.1,-1.3,41.9,-14.3,4.73,2023-12-26
Mauritania,10,,8.0,1.3,11.1,-1.3,41.9,-14.3,4.73,2023-12-27
Mauritania,10,,8.0,1.3,11.1,-1.3,41.9,-14.3,4.73,2023-12-28
Mauritania,10,,8.0,1.3,11.1,-1.3,41.9,-14.3,4.73,2023-12-29
Mauritania,10,,8.0,1.3,11.1,-1.3,41.9,-14.3,4.73,2023-12-30
Mauritania,10,,8.0,1.3,11.1,-1.3,41.9,-14.3,4.73,2023-12-31
Mauritania,10,,8.0,1.3,11.1,-1.3,41.9,-14.3,4.73,2024-01-01
Mauritania,10,,8.0,1.3,11.1,-1.3,41.9,-14.3,4.73,2024-01-02
Mauritania,10,,8.0,1.3,11.1,-1.3,41.9,-14.3,4.73,2024-01-03
Mauritania,10,,8.0,1.3,11.1,-1.3,41.9,-14.3,4.73,2024-01-04
Mauritania,10,,8.0,1.3,11.1,-1.3,41.9,-14.3,4.73,2024-01-05
Mauritania,10,,8.0,1.3,11.1,-1.3,41.9,-14.3,4.73,2024-01-06
Mauritania,10,,8.0,1.3,11.1,-1.3,41.9,-14.3,4.73,2024-01-07
Mauritania,10,,8.0,1.3,11.1,-1.3,41.9,-14.3,4.73,2024-01-08
Mauritania,10,,8.0,1.3,11.1,-1.3,41.9,-14.3,4.73,2024-01-09
Mauritania,10,,8.0,1.3,11.1,-1.3,41.9,-14.3,4.73,2024-01-10
