country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Mauritius,13,0.7,4.5,4.6,6.4,-5.4,86.0,-13.8,1.26,2023-11-23
Mauritius,13,0.7,4.5,4.6,6.4,-5.4,86.0,-13.8,1.26,2023-11-24
Mauritius,13,0.7,4.5,4.6,6.4,-5.4,86.0,-13.8,1.26,2023-11-25
Mauritius,13,0.7,4.5,4.6,6.4,-5.4,86.0,-13.8,1.26,2023-11-26
Mauritius,13,0.7,4.5,4.6,6.4,-5.4,86.0,-13.8,1.26,2023-11-27
Mauritius,13,0.7,4.5,4.6,6.4,-5.4,86.0,-11.5,1.26,2023-11-28
Mauritius,13,0.7,4.5,4.6,6.4,-5.4,86.0,-11.5,1.26,2023-11-29
Mauritius,13,0.7,4.5,4.6,6.4,-5.4,86.0,-11.5,1.26,2023-11-30
Mauritius,13,0.7,4.5,4.6,6.4,-5.4,86.0,-11.5,1.26,2023-12-01
Mauritius,13,0.7,4.5,4.6,6.4,-5.4,86.0,-11.5,1.26,2023-12-02
Mauritius,13,0.7,4.5,4.6,6.4,-5.4,86.0,-11.5,1.26,2023-12-03
Mauritius,13,0.7,4.5,4.6,6.4,-5.4,86.0,-11.5,1.26,2023-12-04
Mauritius,13,0.7,4.5,4.6,6.4,-5.4,86.0,-11.5,1.26,2023-12-05
Mauritius,13,0.7,4.5,4.6,6.4,-5.4,86.0,-11.5,1.26,2023-12-06
Mauritius,13,0.7,4.5,4.0,6.4,-5.4,86.0,-11.5,1.26,2023-12-07
