country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Moldova,14,-0.5,4.75,6.3,3.8,-3.3,32.1,-15.8,2.6,2023-11-23
Moldova,14,-0.5,4.75,6.3,3.8,-3.3,32.1,-15.8,2.6,2023-11-24
Moldova,14,-0.5,4.75,6.3,3.8,-3.3,32.1,-15.8,2.6,2023-11-25
Moldova,14,-0.5,4.75,6.3,3.8,-3.3,32.1,-15.8,2.6,2023-11-26
Moldova,14,-0.5,4.75,6.3,3.8,-3.3,32.1,-15.8,2.6,2023-11-27
Moldova,14,-0.5,4.75,6.3,3.8,-3.3,32.1,-15.8,2.6,2023-11-28
Moldova,14,-0.5,4.75,6.3,3.8,-3.3,32.1,-15.8,2.6,2023-11-29
Moldova,14,-0.5,4.75,6.3,3.8,-3.3,32.1,-15.8,2.6,2023-11-30
Moldova,14,-0.5,4.75,6.3,3.8,-3.3,32.1,-15.8,2.6,2023-12-01
Moldova,14,-0.5,4.75,6.3,3.8,-3.3,32.1,-15.8,2.6,2023-12-02
Moldova,14,-0.5,4.75,6.3,3.8,-3.3,32.1,-15.8,2.6,2023-12-03
Moldova,14,-0.5,4.75,6.3,4.1,-3.3,32.1,-15.8,2.6,2023-12-04
Moldova,14,-0.5,4.75,6.3,4.1,-3.3,32.1,-15.8,2.6,2023-12-05
Moldova,14,-0.5,4.75,6.3,4.1,-3.3,32.1,-15.8,2.6,2023-12-06
Moldova,14,-0.5,4.75,6.3,4.1,-3.3,32.1,-15.8,2.6,2023-12-07
Moldova,14,-0.5,4.75,6.3,4.1,-3.3,32.1,-15.8,2.6,2023-12-08
Moldova,14,-0.5,4.75,6.3,4.1,-3.3,32.1,-15.8,2.6,2023-12-09
Moldova,14,-0.5,4.75,6.3,4.1,-3.3,32.1,-15.8,2.6,2023-12-10
Moldova,14,-0.5,4.75,5.5,4.1,-3.3,32.1,-15.8,2.6,2023-12-11
Moldova,14,-0.5,4.75,5.5,4.1,-3.3,32.1,-15.8,2.6,2023-12-12
Moldova,14,-0.5,4.75,5.5,4.1,-3.3,32.1,-15.8,2.6,2023-12-13
Moldova,14,-0.5,4.75,5.5,4.1,-3.3,32.1,-15.8,2.6,2023-12-14
Moldova,14,-0.8,4.75,5.5,4.1,-3.3,32.1,-15.8,2.6,2023-12-15
Moldova,14,-0.8,4.75,5.5,4.1,-3.3,32.1,-15.8,2.6,2023-12-16
Moldova,14,-0.8,4.75,5.5,4.1,-3.3,32.1,-15.8,2.6,2023-12-17
Moldova,14,-0.8,4.75,5.5,4.1,-3.3,32.1,-15.8,2.6,2023-12-18
Moldova,14,-0.8,4.75,5.5,4.1,-3.3,32.1,-15.8,2.6,2023-12-19
Moldova,14,-0.8,4.75,5.5,4.1,-3.3,32.1,-15.8,2.6,2023-12-20
Moldova,14,-0.8,4.75,5.5,4.1,-3.3,32.1,-15.8,2.6,2023-12-21
Moldova,14,-0.8,4.75,5.5,4.1,-3.3,32.1,-15.8,2.6,2023-12-22
Moldova,14,-0.8,4.75,5.5,4.1,-3.3,32.1,-15.8,2.6,2023-12-23
Moldova,14,-0.8,4.75,5.5,4.1,-3.3,32.1,-15.8,2.6,2023-12-24
Moldova,14,-0.8,4.75,5.5,4.1,-3.3,32.1,-15.8,2.6,2023-12-25
Moldova,14,-0.8,4.75,5.5,4.1,-3.3,32.1,-15.8,2.6,2023-12-26
Moldova,14,-0.8,4.75,5.5,4.1,-3.3,32.1,-15.8,2.6,2023-12-27
Moldova,14,-0.8,4.75,5.5,4.1,-3.3,32.1,-15.8,2.6,2023-12-28
Moldova,14,-0.8,4.75,5.5,4.1,-3.3,32.1,-15.8,2.6,2023-12-29
Moldova,14,-0.8,4.75,5.5,4.1,-3.3,32.1,-15.8,2.6,2023-12-30
Moldova,14,-0.8,4.75,5.5,4.1,-3.3,32.1,-15.8,2.6,2023-12-31
Moldova,14,-0.8,4.75,5.5,4.1,-3.3,32.1,-15.8,2.6,2024-01-01
Moldova,15,-0.8,4.75,5.5,4.1,-3.3,32.1,-15.8,2.6,2024-01-02
Moldova,15,-0.8,4.75,5.5,4.1,-3.3,32.1,-15.8,2.6,2024-01-03
Moldova,15,-0.8,4.75,5.5,4.1,-3.3,32.1,-15.8,2.6,2024-01-04
Moldova,15,-0.8,4.75,5.5,4.1,-3.3,32.1,-15.8,2.6,2024-01-05
Moldova,15,-0.8,4.75,5.5,4.1,-3.3,32.1,-15.8,2.6,2024-01-06
Moldova,15,-0.8,4.75,5.5,4.1,-3.3,32.1,-15.8,2.6,2024-01-07
Moldova,15,-0.8,4.75,5.5,4.1,-3.3,32.1,-15.8,2.6,2024-01-08
