country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Monaco,9,,,,,,,,0.04,2023-11-23
Monaco,9,,,,,,,,0.04,2023-11-24
Monaco,9,,,,,,,,0.04,2023-11-25
Monaco,9,,,,,,,,0.04,2023-11-26
Monaco,9,,,,,,,,0.04,2023-11-27
Monaco,9,,,,,,,,0.04,2023-11-28
Monaco,9,,,,,,,,0.04,2023-11-29
Monaco,9,,,,,,,,0.04,2023-11-30
Monaco,9,,,,,,,,0.04,2023-12-01
Monaco,9,,,,,,,,0.04,2023-12-02
Monaco,9,,,,,,,,0.04,2023-12-03
Monaco,9,,,,,,,,0.04,2023-12-04
Monaco,9,,,,,,,,0.04,2023-12-05
Monaco,9,,,,,,,,0.04,2023-12-06
Monaco,9,,,,,,,,0.04,2023-12-07
Monaco,9,,,,,,,,0.04,2023-12-08
Monaco,9,,,,,,,,0.04,2023-12-09
Monaco,9,,,,,,,,0.04,2023-12-10
Monaco,9,,,,,,,,0.04,2023-12-11
Monaco,9,,,,,,,,0.04,2023-12-12
Monaco,9,,,,,,,,0.04,2023-12-13
Monaco,9,,,,,,,,0.04,2023-12-14
Monaco,9,,,,,,,,0.04,2023-12-15
Monaco,9,,,,,,,,0.04,2023-12-16
Monaco,9,,,,,,,,0.04,2023-12-17
Monaco,9,,,,,,,,0.04,2023-12-18
Monaco,9,,,,,,,,0.04,2023-12-19
Monaco,9,,,,,,,,0.04,2023-12-20
Monaco,9,,,,,,,,0.04,2023-12-21
Monaco,9,,,,,,,,0.04,2023-12-22
Monaco,9,,,,,,,,0.04,2023-12-23
Monaco,9,,,,,,,,0.04,2023-12-24
Monaco,9,,,,,,,,0.04,2023-12-25
Monaco,9,,,,,,,,0.04,2023-12-26
Monaco,9,,,,,,,,0.04,2023-12-27
Monaco,9,,,,,,,,0.04,2023-12-28
Monaco,9,,,,,,,,0.04,2023-12-29
Monaco,9,,,,,,,,0.04,2023-12-30
Monaco,9,,,,,,,,0.04,2023-12-31
Monaco,9,,,,,,,,0.04,2024-01-01
Monaco,9,,,,,,,,0.04,2024-01-02
Monaco,9,,,,,,,,0.04,2024-01-03
Monaco,9,,,,,,,,0.04,2024-01-04
Monaco,9,,,,,,,,0.04,2024-01-05
Monaco,9,,,,,,,,0.04,2024-01-06
Monaco,9,,,,,,,,0.04,2024-01-07
Monaco,9,,,,,,,,0.04,2024-01-08
Monaco,9,,,,,,,,0.04,2024-01-09
Monaco,9,,,,,,,,0.04,2024-01-10
Monaco,9,,,,,,,,0.04,2024-01-11
Monaco,9,,,,,,,,0.04,2024-01-12
Monaco,9,,,,,,,,0.04,2024-01-13
Monaco,9,,,,,,,,0.04,2024-01-14
Monaco,9,,,,,,,,0.04,2024-01-15
