country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Mongolia,17,6.1,13.0,9.0,5.2,-1.9,48.0,-15.8,3.45,2023-11-23
Mongolia,17,6.1,13.0,9.0,5.2,-1.9,48.0,-15.8,3.45,2023-11-24
Mongolia,17,6.1,13.0,9.0,5.2,-1.9,48.0,-15.8,3.45,2023-11-25
Mongolia,17,6.1,13.0,9.0,5.2,-1.9,48.0,-15.8,3.45,2023-11-26
Mongolia,17,6.1,13.0,9.0,5.2,-1.9,48.0,-15.8,3.45,2023-11-27
Mongolia,17,6.1,13.0,9.0,5.2,-1.9,48.0,-15.8,3.45,2023-11-28
Mongolia,17,6.1,13.0,9.0,5.2,-1.9,48.0,-15.8,3.45,2023-11-29
Mongolia,17,6.1,13.0,9.0,5.2,-1.9,48.0,-15.8,3.45,2023-11-30
Mongolia,17,6.1,13.0,9.0,5.2,-1.9,48.0,-15.8,3.45,2023-12-01
Mongolia,17,6.1,13.0,9.0,5.2,-1.9,48.0,-15.8,3.45,2023-12-02
Mongolia,17,6.1,13.0,9.0,5.2,-1.9,48.0,-15.8,3.45,2023-12-03
Mongolia,17,6.1,13.0,9.0,5.2,-1.9,48.0,-15.8,3.45,2023-12-04
Mongolia,17,6.1,13.0,9.0,5.2,-1.9,48.0,-15.8,3.45,2023-12-05
