country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Morocco,134,1.1,3.0,4.3,13.5,-5.3,71.6,-3.5,36.67,2023-11-23
Morocco,134,1.1,3.0,4.3,13.5,-5.3,71.6,-3.5,36.67,2023-11-24
Morocco,134,1.1,3.0,4.3,13.5,-5.3,71.6,-3.5,36.67,2023-11-25
Morocco,134,1.1,3.0,4.3,13.5,-5.3,71.6,-3.5,36.67,2023-11-26
Morocco,134,1.1,3.0,4.3,13.5,-5.3,71.6,-3.5,36.67,2023-11-27
Morocco,134,1.1,3.0,4.3,13.5,-5.3,71.6,-3.5,36.67,2023-11-28
Morocco,134,1.1,3.0,4.3,13.5,-5.3,71.6,-3.5,36.67,2023-11-29
Morocco,134,1.1,3.0,4.3,13.5,-5.3,71.6,-3.5,36.67,2023-11-30
Morocco,134,1.1,3.0,4.3,13.5,-5.3,71.6,-3.5,36.67,2023-12-01
Morocco,134,1.1,3.0,4.3,13.5,-5.3,71.6,-3.5,36.67,2023-12-02
Morocco,134,1.1,3.0,4.3,13.5,-5.3,71.6,-3.5,36.67,2023-12-03
Morocco,134,1.1,3.0,4.3,13.5,-5.3,71.6,-3.5,36.67,2023-12-04
Morocco,134,1.1,3.0,4.3,13.5,-5.3,71.6,-3.5,36.67,2023-12-05
Morocco,134,1.1,3.0,4.3,13.5,-5.3,71.6,-3.5,36.67,2023-12-06
Morocco,134,1.1,3.0,4.3,13.5,-5.3,71.6,-3.5,36.67,2023-12-07
Morocco,134,1.1,3.0,4.3,13.5,-5.3,71.6,-3.5,36.67,2023-12-08
Morocco,134,1.1,3.0,4.3,13.5,-5.3,71.6,-3.5,36.67,2023-12-09
Morocco,134,1.1,3.0,4.3,13.5,-5.3,71.6,-3.5,36.67,2023-12-10
Morocco,134,1.1,3.0,4.3,13.5,-5.3,71.6,-3.5,36.67,2023-12-11
Morocco,134,1.1,3.0,4.3,13.5,-5.3,71.6,-3.5,36.67,2023-12-12
Morocco,134,1.1,3.0,4.3,13.5,-5.3,71.6,-3.5,36.67,2023-12-13
Morocco,134,1.1,3.0,4.3,13.5,-5.3,71.6,-3.5,36.67,2023-12-14
Morocco,134,1.1,3.0,4.3,13.5,-5.3,71.6,-3.5,36.67,2023-12-15
Morocco,134,1.1,3.0,4.3,13.5,-5.3,71.6,-3.5,36.67,2023-12-16
Morocco,134,1.1,3.0,4.3,13.5,-5.3,71.6,-3.5,36.67,2023-12-17
Morocco,134,1.1,3.0,4.3,13.5,-5.3,71.6,-3.5,36.67,2023-12-18
Morocco,134,1.1,3.0,4.3,13.5,-5.3,71.6,-3.5,36.67,2023-12-19
Morocco,134,1.1,3.0,3.6,13.5,-5.3,71.6,-3.5,36.67,2023-12-20
Morocco,134,1.1,3.0,3.6,13.5,-5.3,71.6,-3.5,36.67,2023-12-21
Morocco,134,1.1,3.0,3.6,13.5,-5.3,71.6,-3.5,36.67,2023-12-22
Morocco,134,1.1,3.0,3.6,13.5,-5.3,71.6,-3.5,36.67,2023-12-23
Morocco,134,1.1,3.0,3.6,13.5,-5.3,71.6,-3.5,36.67,2023-12-24
Morocco,134,1.1,3.0,3.6,13.5,-5.3,71.6,-3.5,36.67,2023-12-25
Morocco,134,1.1,3.0,3.6,13.5,-5.3,71.6,-3.5,36.67,2023-12-26
Morocco,134,1.1,3.0,3.6,13.5,-5.3,71.6,-3.5,36.67,2023-12-27
Morocco,134,1.1,3.0,3.6,13.5,-5.3,71.6,-3.5,36.67,2023-12-28
Morocco,134,1.1,3.0,3.6,13.5,-5.3,71.6,-3.5,36.67,2023-12-29
Morocco,134,1.1,3.0,3.6,13.5,-5.3,71.6,-3.5,36.67,2023-12-30
Morocco,134,1.1,3.0,3.6,13.5,-5.3,71.6,-3.5,36.67,2023-12-31
Morocco,134,1.1,3.0,3.6,13.5,-5.3,71.6,-3.5,36.67,2024-01-01
Morocco,131,1.1,3.0,3.6,13.5,-5.3,71.6,-3.5,36.67,2024-01-02
Morocco,131,1.1,3.0,3.6,13.5,-5.3,71.6,-3.5,36.67,2024-01-03
Morocco,131,1.1,3.0,3.6,13.5,-5.3,71.6,-3.5,36.67,2024-01-04
Morocco,131,1.1,3.0,3.6,13.5,-5.3,71.6,-3.5,36.67,2024-01-05
Morocco,131,1.1,3.0,3.6,13.5,-5.3,71.6,-3.5,36.67,2024-01-06
Morocco,131,1.1,3.0,3.6,13.5,-5.3,71.6,-3.5,36.67,2024-01-07
Morocco,131,1.1,3.0,3.6,13.5,-5.3,71.6,-3.5,36.67,2024-01-08
Morocco,131,1.1,3.0,3.6,13.5,-5.3,71.6,-3.5,36.67,2024-01-09
Morocco,131,1.1,3.0,3.6,13.5,-5.3,71.6,-3.5,36.67,2024-01-10
Morocco,131,1.1,3.0,3.6,13.5,-5.3,71.6,-3.5,36.67,2024-01-11
Morocco,131,1.1,3.0,3.6,13.5,-5.3,71.6,-3.5,36.67,2024-01-12
Morocco,131,1.1,3.0,3.6,13.5,-5.3,71.6,-3.5,36.67,2024-01-13
Morocco,131,1.1,3.0,3.6,13.5,-5.3,71.6,-3.5,36.67,2024-01-14
Morocco,131,1.1,3.0,3.6,13.5,-5.3,71.6,-3.5,36.67,2024-01-15
Morocco,131,1.1,3.0,3.6,13.5,-5.3,71.6,-3.5,36.67,2024-01-16
