country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-11-23
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-11-24
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-11-25
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-11-26
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-11-27
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-11-28
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-11-29
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-11-30
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-12-01
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-12-02
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-12-03
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-12-04
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-12-05
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-12-06
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-12-07
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-12-08
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-12-09
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-12-10
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-12-11
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-12-12
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-12-13
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-12-14
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-12-15
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-12-16
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-12-17
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-12-18
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-12-19
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-12-20
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-12-21
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-12-22
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-12-23
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-12-24
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-12-25
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-12-26
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-12-27
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-12-28
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-12-29
Myanmar,59,,7.0,28.58,2.2,-5.2,62.5,-1.8,54.18,2023-12-30
