country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Namibia,13,0.36,7.75,6.03,20.8,-5.2,68.9,-12.3,2.6,2023-11-23
Namibia,13,0.36,7.75,6.03,20.8,-5.2,68.9,-12.3,2.6,2023-11-24
Namibia,13,0.36,7.75,6.03,20.8,-5.2,68.9,-12.3,2.6,2023-11-25
Namibia,13,0.36,7.75,6.03,20.8,-5.2,68.9,-12.3,2.6,2023-11-26
Namibia,13,0.36,7.75,6.03,20.8,-5.2,68.9,-12.3,2.6,2023-11-27
Namibia,13,0.36,7.75,6.03,20.8,-5.2,68.9,-12.3,2.6,2023-11-28
Namibia,13,0.36,7.75,6.03,20.8,-5.2,68.9,-12.3,2.6,2023-11-29
Namibia,13,0.36,7.75,6.03,20.8,-5.2,68.9,-12.3,2.6,2023-11-30
Namibia,13,0.36,7.75,6.03,20.8,-5.2,68.9,-12.3,2.6,2023-12-01
Namibia,13,0.36,7.75,6.03,20.8,-5.2,68.9,-12.3,2.6,2023-12-02
Namibia,13,0.36,7.75,6.03,20.8,-5.2,68.9,-12.3,2.6,2023-12-03
Namibia,13,0.36,7.75,6.03,20.8,-5.2,68.9,-12.3,2.6,2023-12-04
Namibia,13,0.36,7.75,6.03,20.8,-5.2,68.9,-12.3,2.6,2023-12-05
Namibia,13,0.36,7.75,6.03,20.8,-5.2,68.9,-12.3,2.6,2023-12-06
Namibia,13,0.36,7.75,5.7,20.8,-5.2,68.9,-12.3,2.6,2023-12-07
Namibia,13,0.36,7.75,5.7,20.8,-5.2,68.9,-12.3,2.6,2023-12-08
