country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Nepal,41,,7.5,7.5,5.1,-5.4,41.4,-12.8,30.55,2023-11-23
Nepal,41,,7.5,7.5,5.1,-5.4,41.4,-12.8,30.55,2023-11-24
Nepal,41,,7.5,7.5,5.1,-5.4,41.4,-12.8,30.55,2023-11-25
Nepal,41,,7.5,7.5,5.1,-5.4,41.4,-12.8,30.55,2023-11-26
Nepal,41,,7.5,7.5,5.1,-5.4,41.4,-12.8,30.55,2023-11-27
Nepal,41,,7.5,7.5,5.1,-5.4,41.4,-12.8,30.55,2023-11-28
Nepal,41,,7.5,7.5,5.1,-5.4,41.4,-12.8,30.55,2023-11-29
Nepal,41,,7.5,7.5,5.1,-5.4,41.4,-12.8,30.55,2023-11-30
Nepal,41,,7.5,7.5,5.1,-5.4,41.4,-12.8,30.55,2023-12-01
Nepal,41,,7.5,7.5,5.1,-5.4,41.4,-12.8,30.55,2023-12-02
Nepal,41,,7.5,7.5,5.1,-5.4,41.4,-12.8,30.55,2023-12-03
Nepal,41,,7.5,7.5,5.1,-5.4,41.4,-12.8,30.55,2023-12-04
Nepal,41,,7.5,7.5,5.1,-5.4,41.4,-12.8,30.55,2023-12-05
Nepal,41,,7.5,7.5,5.1,-5.4,41.4,-12.8,30.55,2023-12-06
Nepal,41,,7.5,7.5,5.1,-5.4,41.4,-12.8,30.55,2023-12-07
Nepal,41,,7.5,7.5,5.1,-5.4,41.4,-12.8,30.55,2023-12-08
Nepal,41,,7.5,7.5,5.1,-5.4,41.4,-12.8,30.55,2023-12-09
Nepal,41,,7.5,7.5,5.1,-5.4,41.4,-12.8,30.55,2023-12-10
Nepal,41,,7.5,7.5,5.1,-5.4,41.4,-12.8,30.55,2023-12-11
Nepal,41,,7.5,7.5,5.1,-5.4,41.4,-12.8,30.55,2023-12-12
Nepal,41,,7.5,7.5,5.1,-5.4,41.4,-12.8,30.55,2023-12-13
Nepal,41,,7.5,7.5,5.1,-5.4,41.4,-12.8,30.55,2023-12-14
Nepal,41,,7.5,7.5,5.1,-5.4,41.4,-12.8,30.55,2023-12-15
Nepal,41,,7.5,7.5,5.1,-5.4,41.4,-12.8,30.55,2023-12-16
Nepal,41,,7.5,7.5,5.1,-5.4,41.4,-12.8,30.55,2023-12-17
Nepal,41,,7.5,5.38,5.1,-5.4,41.4,-12.8,30.55,2023-12-18
Nepal,41,,7.5,5.38,5.1,-5.4,41.4,-12.8,30.55,2023-12-19
Nepal,41,,7.5,5.38,5.1,-5.4,41.4,-12.8,30.55,2023-12-20
Nepal,41,,7.5,5.38,5.1,-5.4,41.4,-12.8,30.55,2023-12-21
Nepal,41,,7.5,5.38,5.1,-5.4,41.4,-12.8,30.55,2023-12-22
Nepal,41,,7.5,5.38,5.1,-5.4,41.4,-12.8,30.55,2023-12-23
Nepal,41,,7.5,5.38,5.1,-5.4,41.4,-12.8,30.55,2023-12-24
Nepal,41,,7.5,5.38,5.1,-5.4,41.4,-12.8,30.55,2023-12-25
Nepal,41,,7.5,5.38,5.1,-5.4,41.4,-12.8,30.55,2023-12-26
Nepal,41,,7.5,5.38,5.1,-5.4,41.4,-12.8,30.55,2023-12-27
Nepal,41,,7.5,5.38,5.1,-5.4,41.4,-12.8,30.55,2023-12-28
Nepal,41,,7.0,5.38,5.1,-5.4,41.4,-12.8,30.55,2023-12-29
Nepal,41,,7.0,5.38,5.1,-5.4,41.4,-12.8,30.55,2023-12-30
Nepal,41,,7.0,5.38,5.1,-5.4,41.4,-12.8,30.55,2023-12-31
Nepal,41,,7.0,5.38,5.1,-5.4,41.4,-12.8,30.55,2024-01-01
Nepal,41,,7.0,5.38,5.1,-5.4,41.4,-12.8,30.55,2024-01-02
Nepal,41,,7.0,5.38,5.1,-5.4,41.4,-12.8,30.55,2024-01-03
Nepal,41,,7.0,5.38,5.1,-5.4,41.4,-12.8,30.55,2024-01-04
Nepal,41,,7.0,5.38,5.1,-5.4,41.4,-12.8,30.55,2024-01-05
Nepal,41,,7.0,5.38,5.1,-5.4,41.4,-12.8,30.55,2024-01-06
Nepal,41,,7.0,5.38,5.1,-5.4,41.4,-12.8,30.55,2024-01-07
Nepal,41,,7.0,5.38,5.1,-5.4,41.4,-12.8,30.55,2024-01-08
Nepal,41,,7.0,5.38,5.1,-5.4,41.4,-12.8,30.55,2024-01-09
Nepal,41,,7.0,5.38,5.1,-5.4,41.4,-12.8,30.55,2024-01-10
Nepal,41,,7.0,5.38,5.1,-5.4,41.4,-12.8,30.55,2024-01-11
Nepal,41,,7.0,5.38,5.1,-5.4,41.4,-12.8,30.55,2024-01-12
Nepal,41,,7.0,5.38,5.1,-5.4,41.4,-12.8,30.55,2024-01-13
Nepal,41,,7.0,5.38,5.1,-5.4,41.4,-12.8,30.55,2024-01-14
Nepal,41,,7.0,4.95,5.1,-5.4,41.4,-12.8,30.55,2024-01-15
Nepal,41,,7.0,4.95,5.1,-5.4,41.4,-12.8,30.55,2024-01-16
Nepal,41,,7.0,4.95,5.1,-5.4,41.4,-12.8,30.55,2024-01-17
Nepal,41,,7.0,4.95,5.1,-5.4,41.4,-12.8,30.55,2024-01-18
Nepal,41,,7.0,4.95,5.1,-5.4,41.4,-12.8,30.55,2024-01-19
Nepal,41,,7.0,4.95,5.1,-5.4,41.4,-12.8,30.55,2024-01-20
Nepal,41,,7.0,4.95,5.1,-5.4,41.4,-12.8,30.55,2024-01-21
Nepal,41,,7.0,4.95,5.1,-5.4,41.4,-12.8,30.55,2024-01-22
Nepal,41,,7.0,4.95,5.1,-5.4,41.4,-12.8,30.55,2024-01-23
Nepal,41,,7.0,4.95,5.1,-5.4,41.4,-12.8,30.55,2024-01-24
Nepal,41,,7.0,4.95,5.1,-5.4,41.4,-12.8,30.55,2024-01-25
Nepal,41,,7.0,4.95,5.1,-5.4,41.4,-12.8,30.55,2024-01-26
Nepal,41,,7.0,4.95,5.1,-5.4,41.4,-12.8,30.55,2024-01-27
Nepal,41,,7.0,4.95,5.1,-5.4,41.4,-12.8,30.55,2024-01-28
Nepal,41,,7.0,4.95,5.1,-5.4,41.4,-12.8,30.55,2024-01-29
Nepal,41,,7.0,4.95,5.1,-5.4,41.4,-12.8,30.55,2024-01-30
Nepal,41,,7.0,4.95,5.1,-5.4,41.4,-12.8,30.55,2024-01-31
Nepal,41,,7.0,4.95,5.1,-5.4,41.4,-12.8,30.55,2024-02-01
Nepal,41,,7.0,4.95,5.1,-5.4,41.4,-12.8,30.55,2024-02-02
Nepal,41,,7.0,4.95,5.1,-5.4,41.4,-12.8,30.55,2024-02-03
