country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Netherlands,991,-0.2,4.5,-0.4,3.6,-0.1,50.1,9.3,17.59,2023-11-23
Netherlands,991,-0.2,4.5,-0.4,3.6,-0.1,50.1,9.3,17.59,2023-11-24
Netherlands,991,-0.2,4.5,-0.4,3.6,-0.1,50.1,9.3,17.59,2023-11-25
Netherlands,991,-0.2,4.5,-0.4,3.6,-0.1,50.1,9.3,17.59,2023-11-26
Netherlands,991,-0.2,4.5,-0.4,3.6,-0.1,50.1,9.3,17.59,2023-11-27
Netherlands,991,-0.2,4.5,-0.4,3.6,-0.1,50.1,9.3,17.59,2023-11-28
Netherlands,991,-0.2,4.5,-0.4,3.6,-0.1,50.1,9.3,17.59,2023-11-29
Netherlands,991,-0.2,4.5,1.6,3.6,-0.1,50.1,9.3,17.59,2023-11-30
Netherlands,991,-0.2,4.5,1.6,3.6,-0.1,50.1,9.3,17.59,2023-12-01
Netherlands,991,-0.2,4.5,1.6,3.6,-0.1,50.1,9.3,17.59,2023-12-02
Netherlands,991,-0.2,4.5,1.6,3.6,-0.1,50.1,9.3,17.59,2023-12-03
Netherlands,991,-0.2,4.5,1.6,3.6,-0.1,50.1,9.3,17.59,2023-12-04
Netherlands,991,-0.2,4.5,1.6,3.6,-0.1,50.1,9.3,17.59,2023-12-05
Netherlands,991,-0.2,4.5,1.6,3.6,-0.1,50.1,9.3,17.59,2023-12-06
Netherlands,991,-0.2,4.5,1.6,3.6,-0.1,50.1,9.3,17.59,2023-12-07
Netherlands,991,-0.2,4.5,1.6,3.6,-0.1,50.1,9.3,17.59,2023-12-08
Netherlands,991,-0.2,4.5,1.6,3.6,-0.1,50.1,9.3,17.59,2023-12-09
Netherlands,991,-0.2,4.5,1.6,3.6,-0.1,50.1,9.3,17.59,2023-12-10
Netherlands,991,-0.2,4.5,1.6,3.6,-0.1,50.1,9.3,17.59,2023-12-11
Netherlands,991,-0.2,4.5,1.6,3.6,-0.1,50.1,9.3,17.59,2023-12-12
Netherlands,991,-0.2,4.5,1.6,3.6,-0.1,50.1,9.3,17.59,2023-12-13
Netherlands,991,-0.2,4.5,1.6,3.6,-0.1,50.1,9.3,17.59,2023-12-14
Netherlands,991,-0.2,4.5,1.6,3.6,-0.1,50.1,9.3,17.59,2023-12-15
Netherlands,991,-0.2,4.5,1.6,3.6,-0.1,50.1,9.3,17.59,2023-12-16
Netherlands,991,-0.2,4.5,1.6,3.6,-0.1,50.1,9.3,17.59,2023-12-17
Netherlands,991,-0.2,4.5,1.6,3.6,-0.1,50.1,9.3,17.59,2023-12-18
Netherlands,991,-0.2,4.5,1.6,3.6,-0.1,50.1,9.3,17.59,2023-12-19
Netherlands,991,-0.2,4.5,1.6,3.6,-0.1,50.1,9.3,17.59,2023-12-20
Netherlands,991,-0.2,4.5,1.6,3.5,-0.1,50.1,9.3,17.59,2023-12-21
Netherlands,991,-0.3,4.5,1.6,3.5,-0.1,50.1,9.3,17.59,2023-12-22
Netherlands,991,-0.3,4.5,1.6,3.5,-0.1,50.1,9.3,17.59,2023-12-23
Netherlands,991,-0.3,4.5,1.6,3.5,-0.1,50.1,9.3,17.59,2023-12-24
Netherlands,991,-0.3,4.5,1.6,3.5,-0.1,50.1,9.3,17.59,2023-12-25
Netherlands,991,-0.3,4.5,1.6,3.5,-0.1,50.1,9.3,17.59,2023-12-26
Netherlands,991,-0.3,4.5,1.6,3.5,-0.1,50.1,9.3,17.59,2023-12-27
Netherlands,991,-0.3,4.5,1.6,3.5,-0.1,50.1,9.3,17.59,2023-12-28
Netherlands,991,-0.3,4.5,1.6,3.5,-0.1,50.1,9.3,17.59,2023-12-29
