country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Niger,14,,5.25,7.8,0.5,-6.6,51.2,-15.1,26.21,2023-11-23
Niger,14,,5.25,7.8,0.5,-6.6,51.2,-15.1,26.21,2023-11-24
Niger,14,,5.25,7.8,0.5,-6.6,51.2,-15.1,26.21,2023-11-25
Niger,14,,5.25,7.8,0.5,-6.6,51.2,-15.1,26.21,2023-11-26
Niger,14,,5.25,7.8,0.5,-6.6,51.2,-15.1,26.21,2023-11-27
Niger,14,,5.25,7.8,0.5,-6.6,51.2,-15.1,26.21,2023-11-28
Niger,14,,5.25,7.8,0.5,-6.6,51.2,-15.1,26.21,2023-11-29
Niger,14,,5.25,7.8,0.5,-6.6,51.2,-15.1,26.21,2023-11-30
Niger,14,,5.25,7.8,0.5,-6.6,51.2,-15.1,26.21,2023-12-01
Niger,14,,5.25,7.8,0.5,-6.6,51.2,-15.1,26.21,2023-12-02
