country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Nigeria,477,-0.17,18.75,27.33,4.1,-5.0,38.0,-0.3,218.5,2023-11-23
Nigeria,477,9.7,18.75,27.33,4.1,-5.0,38.0,-0.3,218.5,2023-11-24
Nigeria,477,9.7,18.75,27.33,4.1,-5.0,38.0,-0.3,218.5,2023-11-25
Nigeria,477,9.7,18.75,27.33,4.1,-5.0,38.0,-0.3,218.5,2023-11-26
Nigeria,477,9.7,18.75,27.33,4.1,-5.0,38.0,-0.3,218.5,2023-11-27
Nigeria,477,9.7,18.75,27.33,4.1,-5.0,38.0,-0.3,218.5,2023-11-28
Nigeria,477,9.7,18.75,27.33,4.1,-5.0,38.0,-0.3,218.5,2023-11-29
Nigeria,477,9.7,18.75,27.33,4.1,-5.0,38.0,-0.3,218.5,2023-11-30
Nigeria,477,9.7,18.75,27.33,4.1,-5.0,38.0,-0.3,218.5,2023-12-01
Nigeria,477,9.7,18.75,27.33,4.1,-5.0,38.0,-0.3,218.5,2023-12-02
Nigeria,477,9.7,18.75,27.33,4.1,-5.0,38.0,-0.3,218.5,2023-12-03
Nigeria,477,9.7,18.75,27.33,4.1,-5.0,38.0,-0.3,218.5,2023-12-04
Nigeria,477,9.7,18.75,27.33,4.1,-5.0,38.0,-0.3,218.5,2023-12-05
Nigeria,477,9.7,18.75,27.33,4.1,-5.0,38.0,-0.3,218.5,2023-12-06
Nigeria,477,9.7,18.75,27.33,4.1,-5.0,38.0,-0.3,218.5,2023-12-07
Nigeria,477,9.7,18.75,27.33,4.1,-5.0,38.0,-0.3,218.5,2023-12-08
Nigeria,477,9.7,18.75,27.33,4.1,-5.0,38.0,-0.3,218.5,2023-12-09
Nigeria,477,9.7,18.75,27.33,4.1,-5.0,38.0,-0.3,218.5,2023-12-10
Nigeria,477,9.7,18.75,27.33,4.1,-5.0,38.0,-0.3,218.5,2023-12-11
Nigeria,477,9.7,18.75,27.33,4.1,-5.0,38.0,-0.3,218.5,2023-12-12
Nigeria,477,9.7,18.75,27.33,4.1,-5.0,38.0,-0.3,218.5,2023-12-13
Nigeria,477,9.7,18.75,27.33,4.1,-5.0,38.0,-0.3,218.5,2023-12-14
Nigeria,477,9.7,18.75,28.2,4.1,-5.0,38.0,-0.3,218.5,2023-12-15
Nigeria,477,9.7,18.75,28.2,4.1,-5.0,38.0,-0.3,218.5,2023-12-16
Nigeria,477,9.7,18.75,28.2,4.1,-5.0,38.0,-0.3,218.5,2023-12-17
Nigeria,477,9.7,18.75,28.2,4.1,-5.0,38.0,-0.3,218.5,2023-12-18
Nigeria,477,9.7,18.75,28.2,4.1,-5.0,38.0,-0.3,218.5,2023-12-19
Nigeria,477,9.7,18.75,28.2,4.1,-5.0,38.0,-0.3,218.5,2023-12-20
Nigeria,477,9.7,18.75,28.2,4.2,-5.0,38.0,-0.3,218.5,2023-12-21
Nigeria,477,9.7,18.75,28.2,4.2,-5.0,38.0,-0.3,218.5,2023-12-22
Nigeria,477,9.7,18.75,28.2,4.2,-5.0,38.0,-0.3,218.5,2023-12-23
Nigeria,477,9.7,18.75,28.2,4.2,-5.0,38.0,-0.3,218.5,2023-12-24
Nigeria,477,9.7,18.75,28.2,4.2,-5.0,38.0,-0.3,218.5,2023-12-25
Nigeria,477,9.7,18.75,28.2,4.2,-5.0,38.0,-0.3,218.5,2023-12-26
Nigeria,477,9.7,18.75,28.2,4.2,-5.0,38.0,-0.3,218.5,2023-12-27
Nigeria,477,9.7,18.75,28.2,4.2,-5.0,38.0,-0.3,218.5,2023-12-28
Nigeria,477,9.7,18.75,28.2,4.2,-5.0,38.0,-0.3,218.5,2023-12-29
Nigeria,477,9.7,18.75,28.2,4.2,-5.0,38.0,-0.3,218.5,2023-12-30
Nigeria,477,9.7,18.75,28.2,4.2,-5.0,38.0,-0.3,218.5,2023-12-31
Nigeria,477,9.7,18.75,28.2,4.2,-5.0,38.0,-0.3,218.5,2024-01-01
Nigeria,473,9.7,18.75,28.2,4.2,-5.0,38.0,-0.3,218.5,2024-01-02
Nigeria,473,9.7,18.75,28.2,4.2,-5.0,38.0,-0.3,218.5,2024-01-03
Nigeria,473,9.7,18.75,28.2,4.2,-5.0,38.0,-0.3,218.5,2024-01-04
Nigeria,473,9.7,18.75,28.2,4.2,-5.0,38.0,-0.3,218.5,2024-01-05
Nigeria,473,9.7,18.75,28.2,4.2,-5.0,38.0,-0.3,218.5,2024-01-06
Nigeria,473,9.7,18.75,28.2,4.2,-5.0,38.0,-0.3,218.5,2024-01-07
Nigeria,473,9.7,18.75,28.2,4.2,-5.0,38.0,-0.3,218.5,2024-01-08
Nigeria,473,9.7,18.75,28.2,4.2,-5.0,38.0,-0.3,218.5,2024-01-09
Nigeria,473,9.7,18.75,28.2,4.2,-5.0,38.0,-0.3,218.5,2024-01-10
