country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Norway,579,0.0,4.25,4.0,3.5,26.0,37.4,30.2,5.43,2023-11-23
Norway,579,-0.5,4.25,4.0,3.6,26.0,37.4,30.2,5.43,2023-11-23
Norway,579,-0.5,4.25,4.0,3.6,26.0,37.4,30.2,5.43,2023-11-24
Norway,579,-0.5,4.25,4.0,3.6,26.0,37.4,30.2,5.43,2023-11-25
Norway,579,-0.5,4.25,4.0,3.6,26.0,37.4,30.2,5.43,2023-11-26
Norway,579,-0.5,4.25,4.0,3.6,26.0,37.4,30.2,5.43,2023-11-27
Norway,579,-0.5,4.25,4.0,3.6,26.0,37.4,30.2,5.43,2023-11-28
Norway,579,-0.5,4.25,4.0,3.6,26.0,37.4,30.2,5.43,2023-11-29
Norway,579,-0.5,4.25,4.0,3.6,26.0,37.4,30.2,5.43,2023-11-30
Norway,579,-0.5,4.25,4.0,3.6,26.0,37.4,30.2,5.43,2023-12-01
Norway,579,-0.5,4.25,4.0,3.6,26.0,37.4,30.2,5.43,2023-12-02
Norway,579,-0.5,4.25,4.0,3.6,26.0,37.4,30.2,5.43,2023-12-03
Norway,579,-0.5,4.25,4.0,3.6,26.0,37.4,30.2,5.43,2023-12-04
Norway,579,-0.5,4.25,4.0,3.6,26.0,37.4,30.2,5.43,2023-12-05
Norway,579,-0.5,4.25,4.0,3.6,26.0,37.4,30.2,5.43,2023-12-06
Norway,579,-0.5,4.25,4.0,3.6,26.0,37.4,30.2,5.43,2023-12-07
Norway,579,-0.5,4.25,4.0,3.6,26.0,37.4,30.2,5.43,2023-12-08
Norway,579,-0.5,4.25,4.0,3.6,26.0,37.4,30.2,5.43,2023-12-09
Norway,579,-0.5,4.25,4.0,3.6,26.0,37.4,30.2,5.43,2023-12-10
Norway,579,-0.5,4.25,4.8,3.6,26.0,37.4,30.2,5.43,2023-12-11
Norway,579,-0.5,4.25,4.8,3.6,26.0,37.4,30.2,5.43,2023-12-12
Norway,579,-0.5,4.25,4.8,3.6,26.0,37.4,30.2,5.43,2023-12-13
Norway,579,-0.5,4.5,4.8,3.6,26.0,37.4,30.2,5.43,2023-12-14
Norway,579,-0.5,4.5,4.8,3.6,26.0,37.4,30.2,5.43,2023-12-15
Norway,579,-0.5,4.5,4.8,3.6,26.0,37.4,30.2,5.43,2023-12-16
Norway,579,-0.5,4.5,4.8,3.6,26.0,37.4,30.2,5.43,2023-12-17
Norway,579,-0.5,4.5,4.8,3.6,26.0,37.4,30.2,5.43,2023-12-18
Norway,579,-0.5,4.5,4.8,3.6,26.0,37.4,30.2,5.43,2023-12-19
