country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Oman,115,,6.0,0.3,2.3,2.6,40.2,5.0,4.93,2023-11-23
Oman,115,,6.0,0.3,2.3,2.6,40.2,5.0,4.93,2023-11-24
Oman,115,,6.0,0.3,2.3,2.6,40.2,5.0,4.93,2023-11-25
Oman,115,,6.0,0.3,2.3,2.6,40.2,5.0,4.93,2023-11-26
Oman,115,,6.0,0.3,2.3,2.6,40.2,5.0,4.93,2023-11-27
Oman,115,,6.0,0.3,2.3,2.6,40.2,5.0,4.93,2023-11-28
Oman,115,,6.0,0.3,2.3,2.6,40.2,5.0,4.93,2023-11-29
Oman,115,,6.0,0.3,2.3,2.6,40.2,5.0,4.93,2023-11-30
Oman,115,,6.0,0.3,2.3,2.6,40.2,5.0,4.93,2023-12-01
Oman,115,,6.0,0.3,2.3,2.6,40.2,5.0,4.93,2023-12-02
Oman,115,,6.0,0.3,2.3,2.6,40.2,5.0,4.93,2023-12-03
Oman,115,,6.0,0.3,2.3,2.6,40.2,5.0,4.93,2023-12-04
Oman,115,,6.0,0.3,2.3,2.6,40.2,5.0,4.93,2023-12-05
Oman,115,,6.0,0.3,2.3,2.6,40.2,5.0,4.93,2023-12-06
Oman,115,,6.0,0.3,2.3,2.6,40.2,5.0,4.93,2023-12-07
Oman,115,,6.0,0.3,2.3,2.6,40.2,5.0,4.93,2023-12-08
Oman,115,,6.0,0.3,2.3,2.6,40.2,5.0,4.93,2023-12-09
Oman,115,,6.0,0.3,2.3,2.6,40.2,5.0,4.93,2023-12-10
Oman,115,,6.0,0.3,2.3,2.6,40.2,5.0,4.93,2023-12-11
Oman,115,,6.0,0.3,2.3,2.6,40.2,5.0,4.93,2023-12-12
Oman,115,,6.0,0.3,2.3,2.6,40.2,5.0,4.93,2023-12-13
Oman,115,,6.0,0.3,2.3,2.6,40.2,5.0,4.93,2023-12-14
Oman,115,,6.0,0.3,2.3,2.6,40.2,5.0,4.93,2023-12-15
Oman,115,,6.0,0.3,2.3,2.6,40.2,5.0,4.93,2023-12-16
Oman,115,,6.0,0.3,2.3,2.6,40.2,5.0,4.93,2023-12-17
Oman,115,,6.0,0.3,2.3,2.6,40.2,5.0,4.93,2023-12-18
Oman,115,,6.0,0.3,2.3,2.6,40.2,5.0,4.93,2023-12-19
Oman,115,,6.0,0.6,2.3,2.6,40.2,5.0,4.93,2023-12-20
