country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Palestine,19,,,7.2,24.1,3.6,18.5,-15.0,5.4,2023-11-23
Palestine,19,,,7.2,24.1,3.6,18.5,-15.0,5.4,2023-11-24
Palestine,19,,,7.2,24.1,3.6,18.5,-15.0,5.4,2023-11-25
Palestine,19,,,7.2,24.1,3.6,18.5,-15.0,5.4,2023-11-26
Palestine,19,,,7.2,24.1,3.6,18.5,-15.0,5.4,2023-11-27
Palestine,19,,,7.2,24.1,3.6,18.5,-15.0,5.4,2023-11-28
Palestine,19,,,7.2,24.1,3.6,18.5,-15.0,5.4,2023-11-29
Palestine,19,,,7.2,24.1,3.6,18.5,-15.0,5.4,2023-11-30
Palestine,19,,,7.2,24.1,3.6,18.5,-15.0,5.4,2023-12-01
Palestine,19,,,7.2,24.1,3.6,18.5,-15.0,5.4,2023-12-02
Palestine,19,,,7.2,24.1,3.6,18.5,-15.0,5.4,2023-12-03
Palestine,19,,,7.2,24.1,3.6,18.5,-15.0,5.4,2023-12-04
Palestine,19,,,7.2,24.1,3.6,18.5,-15.0,5.4,2023-12-05
Palestine,19,,,7.2,24.1,3.6,18.5,-15.0,5.4,2023-12-06
Palestine,19,,,7.2,24.1,3.6,18.5,-15.0,5.4,2023-12-07
Palestine,19,,,7.2,24.1,3.6,18.5,-15.0,5.4,2023-12-08
Palestine,19,,,7.2,24.1,3.6,18.5,-15.0,5.4,2023-12-09
Palestine,19,,,7.2,24.1,3.6,18.5,-15.0,5.4,2023-12-10
Palestine,19,,,7.2,24.1,3.6,18.5,-15.0,5.4,2023-12-11
Palestine,19,,,7.2,24.1,3.6,18.5,-15.0,5.4,2023-12-12
Palestine,19,,,7.2,24.1,3.6,18.5,-15.0,5.4,2023-12-13
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2023-12-14
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2023-12-15
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2023-12-16
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2023-12-17
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2023-12-18
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2023-12-19
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2023-12-20
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2023-12-21
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2023-12-22
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2023-12-23
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2023-12-24
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2023-12-25
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2023-12-26
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2023-12-27
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2023-12-28
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2023-12-29
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2023-12-30
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2023-12-31
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2024-01-01
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2024-01-02
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2024-01-03
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2024-01-04
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2024-01-05
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2024-01-06
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2024-01-07
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2024-01-08
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2024-01-09
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2024-01-10
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2024-01-11
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2024-01-12
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2024-01-13
Palestine,19,,,11.4,24.1,3.6,18.5,-15.0,5.4,2024-01-14
Palestine,19,,,15.2,24.1,3.6,18.5,-15.0,5.4,2024-01-15
Palestine,19,,,15.2,24.1,3.6,18.5,-15.0,5.4,2024-01-16
Palestine,19,,,15.2,24.1,3.6,18.5,-15.0,5.4,2024-01-17
Palestine,19,,,15.2,24.1,3.6,18.5,-15.0,5.4,2024-01-18
Palestine,19,,,15.2,24.1,3.6,18.5,-15.0,5.4,2024-01-19
Palestine,19,,,15.2,24.1,3.6,18.5,-15.0,5.4,2024-01-20
Palestine,19,,,15.2,24.1,3.6,18.5,-15.0,5.4,2024-01-21
Palestine,19,,,15.2,24.1,3.6,18.5,-15.0,5.4,2024-01-22
Palestine,19,,,15.2,24.1,3.6,18.5,-15.0,5.4,2024-01-23
Palestine,19,,,15.2,24.1,3.6,18.5,-15.0,5.4,2024-01-24
Palestine,19,,,15.2,24.1,3.6,18.5,-15.0,5.4,2024-01-25
Palestine,19,,,15.2,24.1,3.6,18.5,-15.0,5.4,2024-01-26
Palestine,19,,,15.2,24.1,3.6,18.5,-15.0,5.4,2024-01-27
Palestine,19,,,15.2,24.1,3.6,18.5,-15.0,5.4,2024-01-28
Palestine,19,,,15.2,24.1,3.6,18.5,-15.0,5.4,2024-01-29
Palestine,19,,,15.2,24.1,3.6,18.5,-15.0,5.4,2024-01-30
Palestine,19,,,15.2,24.1,3.6,18.5,-15.0,5.4,2024-01-31
Palestine,19,,,15.2,24.1,3.6,18.5,-15.0,5.4,2024-02-01
Palestine,19,,,15.2,24.1,3.6,18.5,-15.0,5.4,2024-02-02
