country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Panama,77,,2.14,2.31,8.8,-4.06,63.66,-4.1,4.4,2023-11-23
Panama,77,,2.14,2.31,8.8,-4.06,63.66,-4.1,4.4,2023-11-24
Panama,77,,2.14,2.31,8.8,-4.06,63.66,-4.1,4.4,2023-11-25
Panama,77,,2.14,2.31,8.8,-4.06,63.66,-4.1,4.4,2023-11-26
Panama,77,,2.14,2.08,8.8,-4.06,63.66,-4.1,4.4,2023-11-27
Panama,77,,2.14,2.08,8.8,-4.06,63.66,-4.1,4.4,2023-11-28
Panama,77,,2.14,2.08,8.8,-4.06,63.66,-4.1,4.4,2023-11-29
Panama,77,,2.14,2.08,8.8,-4.06,63.66,-4.1,4.4,2023-11-30
Panama,77,,2.14,2.08,8.8,-4.06,63.66,-4.1,4.4,2023-12-01
Panama,77,,2.14,2.08,8.8,-4.06,63.66,-4.1,4.4,2023-12-02
Panama,77,,2.14,2.08,8.8,-4.06,63.66,-4.1,4.4,2023-12-03
Panama,77,,2.14,2.08,8.8,-4.06,63.66,-4.1,4.4,2023-12-04
Panama,77,,2.14,2.08,8.8,-4.06,63.66,-4.1,4.4,2023-12-05
Panama,77,,2.14,2.08,8.8,-4.06,63.66,-4.1,4.4,2023-12-06
Panama,77,,2.14,2.08,8.8,-4.06,63.66,-4.1,4.4,2023-12-07
Panama,77,,2.14,2.08,8.8,-4.06,63.66,-4.1,4.4,2023-12-08
Panama,77,,2.14,2.08,8.8,-4.06,63.66,-4.1,4.4,2023-12-09
Panama,77,,2.14,2.08,8.8,-4.06,63.66,-4.1,4.4,2023-12-10
Panama,77,,2.14,2.08,8.8,-4.06,63.66,-4.1,4.4,2023-12-11
Panama,77,,2.14,2.08,8.8,-4.06,63.66,-4.1,4.4,2023-12-12
Panama,77,,2.14,2.08,8.8,-4.06,63.66,-4.1,4.4,2023-12-13
Panama,77,,2.14,2.08,8.8,-4.06,63.66,-4.1,4.4,2023-12-14
Panama,77,,2.14,2.08,8.8,-4.06,63.66,-4.1,4.4,2023-12-15
Panama,77,,2.14,2.08,8.8,-4.06,63.66,-4.1,4.4,2023-12-16
Panama,77,,2.14,2.08,8.8,-4.06,63.66,-4.1,4.4,2023-12-17
Panama,77,,2.14,2.08,8.8,-4.06,63.66,-4.1,4.4,2023-12-18
Panama,77,,2.14,2.08,8.8,-4.06,63.66,-4.1,4.4,2023-12-19
Panama,77,,2.14,2.08,8.8,-4.06,63.66,-4.1,4.4,2023-12-20
Panama,77,,2.14,2.08,8.8,-4.06,63.66,-4.1,4.4,2023-12-21
Panama,77,,2.14,2.08,8.8,-4.06,63.66,-4.1,4.4,2023-12-22
Panama,77,,2.14,2.08,8.8,-4.06,63.66,-4.1,4.4,2023-12-23
Panama,77,,2.14,2.08,8.8,-4.06,63.66,-4.1,4.4,2023-12-24
Panama,77,,2.14,2.01,8.8,-4.06,63.66,-4.1,4.4,2023-12-25
Panama,77,,2.14,2.01,8.8,-4.06,63.66,-4.1,4.4,2023-12-26
Panama,77,,2.14,2.01,8.8,-4.06,63.66,-4.1,4.4,2023-12-27
Panama,77,,2.14,2.01,8.8,-4.06,63.66,-4.1,4.4,2023-12-28
