country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-11-23
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-11-24
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-11-25
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-11-26
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-11-27
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-11-28
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-11-29
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-11-30
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-12-01
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-12-02
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-12-03
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-12-04
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-12-05
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-12-06
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-12-07
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-12-08
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-12-09
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-12-10
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-12-11
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-12-12
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-12-13
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-12-14
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-12-15
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-12-16
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-12-17
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-12-18
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-12-19
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-12-20
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-12-21
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-12-22
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-12-23
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-12-24
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-12-25
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-12-26
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-12-27
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-12-28
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-12-29
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-12-30
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2023-12-31
Papua New Guinea,31,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2024-01-01
Papua New Guinea,32,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2024-01-02
Papua New Guinea,32,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2024-01-03
Papua New Guinea,32,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2024-01-04
Papua New Guinea,32,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2024-01-05
Papua New Guinea,32,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2024-01-06
Papua New Guinea,32,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2024-01-07
Papua New Guinea,32,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2024-01-08
Papua New Guinea,32,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2024-01-09
Papua New Guinea,32,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2024-01-10
Papua New Guinea,32,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2024-01-11
Papua New Guinea,32,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2024-01-12
Papua New Guinea,32,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2024-01-13
Papua New Guinea,32,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2024-01-14
Papua New Guinea,32,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2024-01-15
Papua New Guinea,32,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2024-01-16
Papua New Guinea,32,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2024-01-17
Papua New Guinea,32,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2024-01-18
Papua New Guinea,32,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2024-01-19
Papua New Guinea,32,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2024-01-20
Papua New Guinea,32,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2024-01-21
Papua New Guinea,32,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2024-01-22
Papua New Guinea,32,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2024-01-23
Papua New Guinea,32,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2024-01-24
Papua New Guinea,32,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2024-01-25
Papua New Guinea,32,,2.5,1.41,2.8,-5.6,49.8,22.1,10.14,2024-01-26
