country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Paraguay,42,-5.58,7.25,3.5,5.8,-4.0,32.7,-5.2,7.45,2023-11-23
Paraguay,42,-5.58,7.25,3.5,5.8,-4.0,32.7,-5.2,7.45,2023-11-24
Paraguay,42,-5.58,7.25,3.5,5.8,-4.0,32.7,-5.2,7.45,2023-11-25
Paraguay,42,-5.58,7.25,3.5,5.8,-4.0,32.7,-5.2,7.45,2023-11-26
Paraguay,42,-5.58,7.25,3.5,5.8,-4.0,32.7,-5.2,7.45,2023-11-27
Paraguay,42,-5.58,7.25,3.5,5.8,-4.0,32.7,-5.2,7.45,2023-11-28
Paraguay,42,-5.58,7.25,3.5,5.8,-4.0,32.7,-5.2,7.45,2023-11-29
Paraguay,42,-5.58,7.25,3.5,5.8,-4.0,32.7,-5.2,7.45,2023-11-30
Paraguay,42,-5.58,7.25,3.5,5.8,-4.0,32.7,-5.2,7.45,2023-12-01
Paraguay,42,-5.58,7.25,3.5,5.8,-4.0,32.7,-5.2,7.45,2023-12-02
Paraguay,42,-5.58,7.25,3.5,5.8,-4.0,32.7,-5.2,7.45,2023-12-03
Paraguay,42,-5.58,7.25,3.5,5.8,-4.0,32.7,-5.2,7.45,2023-12-04
Paraguay,42,-5.58,7.25,3.5,5.8,-4.0,32.7,-5.2,7.45,2023-12-05
Paraguay,42,-5.58,7.25,3.5,5.8,-4.0,32.7,-5.2,7.45,2023-12-06
Paraguay,42,-5.58,7.25,3.2,5.8,-4.0,32.7,-5.2,7.45,2023-12-07
Paraguay,42,-5.58,7.25,3.2,5.8,-4.0,32.7,-5.2,7.45,2023-12-08
Paraguay,42,-5.58,7.25,3.2,5.8,-4.0,32.7,-5.2,7.45,2023-12-09
Paraguay,42,-5.58,7.25,3.2,5.8,-4.0,32.7,-5.2,7.45,2023-12-10
Paraguay,42,-5.58,7.25,3.2,5.8,-4.0,32.7,-5.2,7.45,2023-12-11
Paraguay,42,-5.58,7.25,3.2,5.8,-4.0,32.7,-5.2,7.45,2023-12-12
Paraguay,42,-5.58,7.25,3.2,5.8,-4.0,32.7,-5.2,7.45,2023-12-13
Paraguay,42,-5.58,7.25,3.2,5.8,-4.0,32.7,-5.2,7.45,2023-12-14
Paraguay,42,-5.58,7.25,3.2,5.8,-4.0,32.7,-5.2,7.45,2023-12-15
Paraguay,42,-5.58,7.25,3.2,5.8,-4.0,32.7,-5.2,7.45,2023-12-16
Paraguay,42,-5.58,7.25,3.2,5.8,-4.0,32.7,-5.2,7.45,2023-12-17
Paraguay,42,-5.58,7.25,3.2,5.8,-4.0,32.7,-5.2,7.45,2023-12-18
Paraguay,42,-5.58,7.25,3.2,5.8,-4.0,32.7,-5.2,7.45,2023-12-19
Paraguay,42,-5.58,7.25,3.2,5.8,-4.0,32.7,-5.2,7.45,2023-12-20
Paraguay,42,-5.58,6.75,3.2,5.8,-4.0,32.7,-5.2,7.45,2023-12-21
Paraguay,42,0.75,6.75,3.2,5.8,-4.0,32.7,-5.2,7.45,2023-12-22
Paraguay,42,0.75,6.75,3.2,5.8,-4.0,32.7,-5.2,7.45,2023-12-23
Paraguay,42,0.75,6.75,3.2,5.8,-4.0,32.7,-5.2,7.45,2023-12-24
Paraguay,42,0.75,6.75,3.2,5.8,-4.0,32.7,-5.2,7.45,2023-12-25
Paraguay,42,0.75,6.75,3.2,5.8,-4.0,32.7,-5.2,7.45,2023-12-26
Paraguay,42,0.75,6.75,3.2,5.8,-4.0,32.7,-5.2,7.45,2023-12-27
Paraguay,42,0.75,6.75,3.2,5.8,-4.0,32.7,-5.2,7.45,2023-12-28
Paraguay,42,0.75,6.75,3.7,5.8,-4.0,32.7,-5.2,7.45,2023-12-29
Paraguay,42,0.75,6.75,3.7,5.8,-4.0,32.7,-5.2,7.45,2023-12-30
Paraguay,42,0.75,6.75,3.7,5.8,-4.0,32.7,-5.2,7.45,2023-12-31
