country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Philippines,404,3.3,6.5,4.9,4.5,-7.3,60.9,-4.4,111.6,2023-11-23
Philippines,404,3.3,6.5,4.9,4.5,-7.3,60.9,-4.4,111.6,2023-11-24
Philippines,404,3.3,6.5,4.9,4.5,-7.3,60.9,-4.4,111.6,2023-11-25
Philippines,404,3.3,6.5,4.9,4.5,-7.3,60.9,-4.4,111.6,2023-11-26
Philippines,404,3.3,6.5,4.9,4.5,-7.3,60.9,-4.4,111.6,2023-11-27
Philippines,404,3.3,6.5,4.9,4.5,-7.3,60.9,-4.4,111.6,2023-11-28
Philippines,404,3.3,6.5,4.9,4.5,-7.3,60.9,-4.4,111.6,2023-11-29
Philippines,404,3.3,6.5,4.9,4.5,-7.3,60.9,-4.4,111.6,2023-11-30
Philippines,404,3.3,6.5,4.9,4.5,-7.3,60.9,-4.4,111.6,2023-12-01
Philippines,404,3.3,6.5,4.9,4.5,-7.3,60.9,-4.4,111.6,2023-12-02
Philippines,404,3.3,6.5,4.9,4.5,-7.3,60.9,-4.4,111.6,2023-12-03
Philippines,404,3.3,6.5,4.9,4.5,-7.3,60.9,-4.4,111.6,2023-12-04
Philippines,404,3.3,6.5,4.1,4.5,-7.3,60.9,-4.4,111.6,2023-12-05
Philippines,404,3.3,6.5,4.1,4.5,-7.3,60.9,-4.4,111.6,2023-12-06
Philippines,404,3.3,6.5,4.1,4.2,-7.3,60.9,-4.4,111.6,2023-12-07
Philippines,404,3.3,6.5,4.1,4.2,-7.3,60.9,-4.4,111.6,2023-12-08
Philippines,404,3.3,6.5,4.1,4.2,-7.3,60.9,-4.4,111.6,2023-12-09
Philippines,404,3.3,6.5,4.1,4.2,-7.3,60.9,-4.4,111.6,2023-12-10
Philippines,404,3.3,6.5,4.1,4.2,-7.3,60.9,-4.4,111.6,2023-12-11
Philippines,404,3.3,6.5,4.1,4.2,-7.3,60.9,-4.4,111.6,2023-12-12
Philippines,404,3.3,6.5,4.1,4.2,-7.3,60.9,-4.4,111.6,2023-12-13
Philippines,404,3.3,6.5,4.1,4.2,-7.3,60.9,-4.4,111.6,2023-12-14
Philippines,404,3.3,6.5,4.1,4.2,-7.3,60.9,-4.4,111.6,2023-12-15
