country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Poland,688,1.4,5.75,6.6,5.0,-3.7,49.3,-2.4,37.65,2023-11-23
Poland,688,1.4,5.75,6.6,5.0,-3.7,49.3,-2.4,37.65,2023-11-24
Poland,688,1.4,5.75,6.6,5.0,-3.7,49.3,-2.4,37.65,2023-11-25
Poland,688,1.4,5.75,6.6,5.0,-3.7,49.3,-2.4,37.65,2023-11-26
Poland,688,1.4,5.75,6.6,5.0,-3.7,49.3,-2.4,37.65,2023-11-27
Poland,688,1.4,5.75,6.6,5.0,-3.7,49.3,-2.4,37.65,2023-11-28
Poland,688,1.4,5.75,6.6,5.0,-3.7,49.3,-2.4,37.65,2023-11-29
Poland,688,1.5,5.75,6.5,5.0,-3.7,49.3,-2.4,37.65,2023-11-30
Poland,688,1.5,5.75,6.5,5.0,-3.7,49.3,-2.4,37.65,2023-12-01
Poland,688,1.5,5.75,6.5,5.0,-3.7,49.3,-2.4,37.65,2023-12-02
Poland,688,1.5,5.75,6.5,5.0,-3.7,49.3,-2.4,37.65,2023-12-03
Poland,688,1.5,5.75,6.5,5.0,-3.7,49.3,-2.4,37.65,2023-12-04
Poland,688,1.5,5.75,6.5,5.0,-3.7,49.3,-2.4,37.65,2023-12-05
Poland,688,1.5,5.75,6.5,5.0,-3.7,49.3,-2.4,37.65,2023-12-06
Poland,688,1.5,5.75,6.5,5.0,-3.7,49.3,-2.4,37.65,2023-12-07
Poland,688,1.5,5.75,6.5,5.0,-3.7,49.3,-2.4,37.65,2023-12-08
Poland,688,1.5,5.75,6.5,5.0,-3.7,49.3,-2.4,37.65,2023-12-09
Poland,688,1.5,5.75,6.5,5.0,-3.7,49.3,-2.4,37.65,2023-12-10
Poland,688,1.5,5.75,6.5,5.0,-3.7,49.3,-2.4,37.65,2023-12-11
Poland,688,1.5,5.75,6.5,5.0,-3.7,49.3,-2.4,37.65,2023-12-12
Poland,688,1.5,5.75,6.5,5.0,-3.7,49.3,-2.4,37.65,2023-12-13
Poland,688,1.5,5.75,6.5,5.0,-3.7,49.3,-2.4,37.65,2023-12-14
Poland,688,1.5,5.75,6.6,5.0,-3.7,49.3,-2.4,37.65,2023-12-15
Poland,688,1.5,5.75,6.6,5.0,-3.7,49.3,-2.4,37.65,2023-12-16
Poland,688,1.5,5.75,6.6,5.0,-3.7,49.3,-2.4,37.65,2023-12-17
Poland,688,1.5,5.75,6.6,5.0,-3.7,49.3,-2.4,37.65,2023-12-18
Poland,688,1.5,5.75,6.6,5.0,-3.7,49.3,-2.4,37.65,2023-12-19
Poland,688,1.5,5.75,6.6,5.0,-3.7,49.3,-2.4,37.65,2023-12-20
Poland,688,1.5,5.75,6.6,5.0,-3.7,49.3,-2.4,37.65,2023-12-21
Poland,688,1.5,5.75,6.6,5.0,-3.7,49.3,-2.4,37.65,2023-12-22
Poland,688,1.5,5.75,6.6,5.0,-3.7,49.3,-2.4,37.65,2023-12-23
Poland,688,1.5,5.75,6.6,5.0,-3.7,49.3,-2.4,37.65,2023-12-24
Poland,688,1.5,5.75,6.6,5.0,-3.7,49.3,-2.4,37.65,2023-12-25
Poland,688,1.5,5.75,6.6,5.0,-3.7,49.3,-2.4,37.65,2023-12-26
Poland,688,1.5,5.75,6.6,5.0,-3.7,49.3,-2.4,37.65,2023-12-27
Poland,688,1.5,5.75,6.6,5.0,-3.7,49.3,-2.4,37.65,2023-12-28
Poland,688,1.5,5.75,6.6,5.0,-3.7,49.3,-2.4,37.65,2023-12-29
Poland,688,1.5,5.75,6.6,5.0,-3.7,49.3,-2.4,37.65,2023-12-30
Poland,688,1.5,5.75,6.6,5.0,-3.7,49.3,-2.4,37.65,2023-12-31
Poland,688,1.5,5.75,6.6,5.0,-3.7,49.3,-2.4,37.65,2024-01-01
Poland,688,1.5,5.75,6.6,5.0,-3.7,49.3,-2.4,37.65,2024-01-02
Poland,688,1.5,5.75,6.6,5.0,-3.7,49.3,-2.4,37.65,2024-01-03
Poland,688,1.5,5.75,6.6,5.0,-3.7,49.3,-2.4,37.65,2024-01-04
Poland,688,1.5,5.75,6.1,5.0,-3.7,49.3,-2.4,37.65,2024-01-05
Poland,688,1.5,5.75,6.1,5.0,-3.7,49.3,-2.4,37.65,2024-01-06
Poland,688,1.5,5.75,6.1,5.0,-3.7,49.3,-2.4,37.65,2024-01-07
Poland,688,1.5,5.75,6.1,5.0,-3.7,49.3,-2.4,37.65,2024-01-08
Poland,688,1.5,5.75,6.1,5.0,-3.7,49.3,-2.4,37.65,2024-01-09
Poland,688,1.5,5.75,6.1,5.0,-3.7,49.3,-2.4,37.65,2024-01-10
Poland,688,1.5,5.75,6.1,5.0,-3.7,49.3,-2.4,37.65,2024-01-11
