country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Portugal,252,-0.2,4.5,2.12,6.1,-0.3,112.4,-1.1,10.35,2023-11-23
Portugal,252,-0.2,4.5,2.12,6.1,-0.3,112.4,-1.1,10.35,2023-11-24
Portugal,252,-0.2,4.5,2.12,6.1,-0.3,112.4,-1.1,10.35,2023-11-25
Portugal,252,-0.2,4.5,2.12,6.1,-0.3,112.4,-1.1,10.35,2023-11-26
Portugal,252,-0.2,4.5,2.12,6.1,-0.3,112.4,-1.1,10.35,2023-11-27
Portugal,252,-0.2,4.5,2.12,6.1,-0.3,112.4,-1.1,10.35,2023-11-28
Portugal,252,-0.2,4.5,2.12,6.1,-0.3,112.4,-1.1,10.35,2023-11-29
Portugal,252,-0.2,4.5,1.6,6.1,-0.3,112.4,-1.1,10.35,2023-11-30
Portugal,252,-0.2,4.5,1.6,6.1,-0.3,112.4,-1.1,10.35,2023-12-01
Portugal,252,-0.2,4.5,1.6,6.1,-0.3,112.4,-1.1,10.35,2023-12-02
Portugal,252,-0.2,4.5,1.6,6.1,-0.3,112.4,-1.1,10.35,2023-12-03
Portugal,252,-0.2,4.5,1.6,6.1,-0.3,112.4,-1.1,10.35,2023-12-04
Portugal,252,-0.2,4.5,1.6,6.1,-0.3,112.4,-1.1,10.35,2023-12-05
Portugal,252,-0.2,4.5,1.6,6.1,-0.3,112.4,-1.1,10.35,2023-12-06
Portugal,252,-0.2,4.5,1.6,6.1,-0.3,112.4,-1.1,10.35,2023-12-07
Portugal,252,-0.2,4.5,1.6,6.1,-0.3,112.4,-1.1,10.35,2023-12-08
Portugal,252,-0.2,4.5,1.6,6.1,-0.3,112.4,-1.1,10.35,2023-12-09
Portugal,252,-0.2,4.5,1.6,6.1,-0.3,112.4,-1.1,10.35,2023-12-10
Portugal,252,-0.2,4.5,1.6,6.1,-0.3,112.4,-1.1,10.35,2023-12-11
Portugal,252,-0.2,4.5,1.6,6.1,-0.3,112.4,-1.1,10.35,2023-12-12
Portugal,252,-0.2,4.5,1.6,6.1,-0.3,112.4,-1.1,10.35,2023-12-13
Portugal,252,-0.2,4.5,1.54,6.1,-0.3,112.4,-1.1,10.35,2023-12-14
Portugal,252,-0.2,4.5,1.54,6.1,-0.3,112.4,-1.1,10.35,2023-12-15
Portugal,252,-0.2,4.5,1.54,6.1,-0.3,112.4,-1.1,10.35,2023-12-16
Portugal,252,-0.2,4.5,1.54,6.1,-0.3,112.4,-1.1,10.35,2023-12-17
Portugal,252,-0.2,4.5,1.54,6.1,-0.3,112.4,-1.1,10.35,2023-12-18
Portugal,252,-0.2,4.5,1.54,6.1,-0.3,112.4,-1.1,10.35,2023-12-19
Portugal,252,-0.2,4.5,1.54,6.1,-0.3,112.4,-1.1,10.35,2023-12-20
Portugal,252,-0.2,4.5,1.54,6.1,-0.3,112.4,-1.1,10.35,2023-12-21
Portugal,252,-0.2,4.5,1.54,6.1,-0.3,112.4,-1.1,10.35,2023-12-22
Portugal,252,-0.2,4.5,1.54,6.1,-0.3,112.4,-1.1,10.35,2023-12-23
Portugal,252,-0.2,4.5,1.54,6.1,-0.3,112.4,-1.1,10.35,2023-12-24
Portugal,252,-0.2,4.5,1.54,6.1,-0.3,112.4,-1.1,10.35,2023-12-25
Portugal,252,-0.2,4.5,1.54,6.1,-0.3,112.4,-1.1,10.35,2023-12-26
Portugal,252,-0.2,4.5,1.54,6.1,-0.3,112.4,-1.1,10.35,2023-12-27
Portugal,252,-0.2,4.5,1.54,6.1,-0.3,112.4,-1.1,10.35,2023-12-28
Portugal,252,-0.2,4.5,1.4,6.1,-0.3,112.4,-1.1,10.35,2023-12-29
Portugal,252,-0.2,4.5,1.4,6.1,-0.3,112.4,-1.1,10.35,2023-12-30
Portugal,252,-0.2,4.5,1.4,6.1,-0.3,112.4,-1.1,10.35,2023-12-31
Portugal,252,-0.2,4.5,1.4,6.1,-0.3,112.4,-1.1,10.35,2024-01-01
Portugal,255,-0.2,4.5,1.4,6.1,-0.3,112.4,-1.1,10.35,2024-01-02
Portugal,255,-0.2,4.5,1.4,6.1,-0.3,112.4,-1.1,10.35,2024-01-03
Portugal,255,-0.2,4.5,1.4,6.1,-0.3,112.4,-1.1,10.35,2024-01-04
Portugal,255,-0.2,4.5,1.4,6.1,-0.3,112.4,-1.1,10.35,2024-01-05
Portugal,255,-0.2,4.5,1.4,6.1,-0.3,112.4,-1.1,10.35,2024-01-06
Portugal,255,-0.2,4.5,1.4,6.1,-0.3,112.4,-1.1,10.35,2024-01-07
Portugal,255,-0.2,4.5,1.4,6.1,-0.3,112.4,-1.1,10.35,2024-01-08
Portugal,255,-0.2,4.5,1.4,6.1,-0.3,112.4,-1.1,10.35,2024-01-09
Portugal,255,-0.2,4.5,1.4,6.1,-0.3,112.4,-1.1,10.35,2024-01-10
Portugal,255,-0.2,4.5,1.42,6.1,-0.3,112.4,-1.1,10.35,2024-01-11
Portugal,255,-0.2,4.5,1.42,6.1,-0.3,112.4,-1.1,10.35,2024-01-12
Portugal,255,-0.2,4.5,1.42,6.1,-0.3,112.4,-1.1,10.35,2024-01-13
Portugal,255,-0.2,4.5,1.42,6.1,-0.3,112.4,-1.1,10.35,2024-01-14
Portugal,255,-0.2,4.5,1.42,6.1,-0.3,112.4,-1.1,10.35,2024-01-15
Portugal,255,-0.2,4.5,1.42,6.1,-0.3,112.4,-1.1,10.35,2024-01-16
