country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Qatar,237,-3.9,6.25,2.52,0.1,0.0,46.9,26.0,2.91,2023-11-23
Qatar,237,-3.9,6.25,2.52,0.1,0.0,46.9,26.0,2.91,2023-11-24
Qatar,237,-3.9,6.25,2.52,0.1,0.0,46.9,26.0,2.91,2023-11-25
Qatar,237,-3.9,6.25,2.52,0.1,0.0,46.9,26.0,2.91,2023-11-26
Qatar,237,-3.9,6.25,2.52,0.1,0.0,46.9,26.0,2.91,2023-11-27
Qatar,237,0.5,6.25,2.52,0.1,0.0,46.9,26.0,2.91,2023-11-28
Qatar,237,0.5,6.25,2.52,0.1,0.0,46.9,26.0,2.91,2023-11-29
Qatar,237,0.5,6.25,2.52,0.1,0.0,46.9,26.0,2.91,2023-11-30
Qatar,237,0.5,6.25,2.52,0.1,0.0,46.9,26.0,2.91,2023-12-01
Qatar,237,0.5,6.25,2.52,0.1,0.0,46.9,26.0,2.91,2023-12-02
Qatar,237,0.5,6.25,2.52,0.1,0.0,46.9,26.0,2.91,2023-12-03
Qatar,237,0.5,6.25,2.52,0.1,0.0,46.9,26.0,2.91,2023-12-04
Qatar,237,0.5,6.25,2.52,0.1,0.0,46.9,26.0,2.91,2023-12-05
Qatar,237,0.5,6.25,2.52,0.1,0.0,46.9,26.0,2.91,2023-12-06
Qatar,237,0.5,6.25,2.52,0.1,0.0,46.9,26.0,2.91,2023-12-07
Qatar,237,0.5,6.25,2.52,0.1,0.0,46.9,26.0,2.91,2023-12-08
Qatar,237,0.5,6.25,2.52,0.1,0.0,46.9,26.0,2.91,2023-12-09
Qatar,237,0.5,6.25,2.52,0.1,0.0,46.9,26.0,2.91,2023-12-10
Qatar,237,0.5,6.25,2.52,0.1,0.0,46.9,26.0,2.91,2023-12-11
Qatar,237,0.5,6.25,2.52,0.1,0.0,46.9,26.0,2.91,2023-12-12
Qatar,237,0.5,6.25,2.52,0.1,0.0,46.9,26.0,2.91,2023-12-13
Qatar,237,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2023-12-14
Qatar,237,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2023-12-15
Qatar,237,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2023-12-16
Qatar,237,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2023-12-17
Qatar,237,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2023-12-18
Qatar,237,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2023-12-19
Qatar,237,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2023-12-20
Qatar,237,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2023-12-21
Qatar,237,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2023-12-22
Qatar,237,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2023-12-23
Qatar,237,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2023-12-24
Qatar,237,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2023-12-25
Qatar,237,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2023-12-26
Qatar,237,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2023-12-27
Qatar,237,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2023-12-28
Qatar,237,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2023-12-29
Qatar,237,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2023-12-30
Qatar,237,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2023-12-31
Qatar,237,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2024-01-01
Qatar,236,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2024-01-02
Qatar,236,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2024-01-03
Qatar,236,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2024-01-04
Qatar,236,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2024-01-05
Qatar,236,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2024-01-06
Qatar,236,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2024-01-07
Qatar,236,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2024-01-08
Qatar,236,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2024-01-09
Qatar,236,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2024-01-10
Qatar,236,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2024-01-11
Qatar,236,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2024-01-12
Qatar,236,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2024-01-13
Qatar,236,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2024-01-14
Qatar,236,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2024-01-15
Qatar,236,0.5,6.25,1.29,0.1,0.0,46.9,26.0,2.91,2024-01-16
Qatar,236,0.5,6.25,1.65,0.1,0.0,46.9,26.0,2.91,2024-01-17
Qatar,236,0.5,6.25,1.65,0.1,0.0,46.9,26.0,2.91,2024-01-18
Qatar,236,0.5,6.25,1.65,0.1,0.0,46.9,26.0,2.91,2024-01-19
Qatar,236,0.5,6.25,1.65,0.1,0.0,46.9,26.0,2.91,2024-01-20
Qatar,236,0.5,6.25,1.65,0.1,0.0,46.9,26.0,2.91,2024-01-21
Qatar,236,0.5,6.25,1.65,0.1,0.0,46.9,26.0,2.91,2024-01-22
Qatar,236,0.5,6.25,1.65,0.1,0.0,46.9,26.0,2.91,2024-01-23
Qatar,236,0.5,6.25,1.65,0.1,0.0,46.9,26.0,2.91,2024-01-24
Qatar,236,0.5,6.25,1.65,0.1,0.0,46.9,26.0,2.91,2024-01-25
Qatar,236,0.5,6.25,1.65,0.1,0.0,46.9,26.0,2.91,2024-01-26
Qatar,236,0.5,6.25,1.65,0.1,0.0,46.9,26.0,2.91,2024-01-27
Qatar,236,0.5,6.25,1.65,0.1,0.0,46.9,26.0,2.91,2024-01-28
Qatar,236,0.5,6.25,1.65,0.1,0.0,46.9,26.0,2.91,2024-01-29
Qatar,236,0.5,6.25,1.65,0.1,0.0,46.9,26.0,2.91,2024-01-30
Qatar,236,0.5,6.25,1.65,0.1,0.0,46.9,26.0,2.91,2024-01-31
Qatar,236,0.5,6.25,1.65,0.1,0.0,46.9,26.0,2.91,2024-02-01
Qatar,236,0.5,6.25,1.65,0.1,0.0,46.9,26.0,2.91,2024-02-02
Qatar,236,0.5,6.25,1.65,0.1,0.0,46.9,26.0,2.91,2024-02-03
Qatar,236,0.5,6.25,1.65,0.1,0.0,46.9,26.0,2.91,2024-02-04
Qatar,236,0.5,6.25,1.65,0.1,0.0,46.9,26.0,2.91,2024-02-05
Qatar,236,0.5,6.25,1.65,0.1,0.0,46.9,26.0,2.91,2024-02-06
