country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Republic of the Congo,15,,5.0,4.7,21.8,6.5,99.57,19.2,5.97,2023-11-23
Republic of the Congo,15,,5.0,4.7,21.8,6.5,99.57,19.2,5.97,2023-11-24
Republic of the Congo,15,,5.0,4.7,21.8,6.5,99.57,19.2,5.97,2023-11-25
Republic of the Congo,15,,5.0,4.7,21.8,6.5,99.57,19.2,5.97,2023-11-26
Republic of the Congo,15,,5.0,4.7,21.8,6.5,99.57,19.2,5.97,2023-11-27
Republic of the Congo,15,,5.0,4.7,21.8,6.5,99.57,19.2,5.97,2023-11-28
Republic of the Congo,15,,5.0,4.7,21.8,6.5,99.57,19.2,5.97,2023-11-29
Republic of the Congo,15,,5.0,4.7,21.8,6.5,99.57,19.2,5.97,2023-11-30
Republic of the Congo,15,,5.0,4.7,21.8,6.5,99.57,19.2,5.97,2023-12-01
Republic of the Congo,15,,5.0,4.7,21.8,6.5,99.57,19.2,5.97,2023-12-02
Republic of the Congo,15,,5.0,4.7,21.8,6.5,99.57,19.2,5.97,2023-12-03
Republic of the Congo,15,,5.0,4.7,21.8,6.5,99.57,19.2,5.97,2023-12-04
Republic of the Congo,15,,5.0,4.7,21.8,6.5,99.57,19.2,5.97,2023-12-05
Republic of the Congo,15,,5.0,4.7,21.8,6.5,99.57,19.2,5.97,2023-12-06
Republic of the Congo,15,,5.0,4.7,21.8,6.5,99.57,19.2,5.97,2023-12-07
Republic of the Congo,15,,5.0,4.7,21.8,6.5,99.57,19.2,5.97,2023-12-08
