country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Romania,301,0.4,7.0,8.07,5.4,-6.3,47.2,-9.1,19.04,2023-11-23
Romania,301,0.4,7.0,8.07,5.4,-6.3,47.2,-9.1,19.04,2023-11-24
Romania,301,0.4,7.0,8.07,5.4,-6.3,47.2,-9.1,19.04,2023-11-25
Romania,301,0.4,7.0,8.07,5.4,-6.3,47.2,-9.1,19.04,2023-11-26
Romania,301,0.4,7.0,8.07,5.4,-6.3,47.2,-9.1,19.04,2023-11-27
Romania,301,0.4,7.0,8.07,5.4,-6.3,47.2,-9.1,19.04,2023-11-28
Romania,301,0.4,7.0,8.07,5.4,-6.3,47.2,-9.1,19.04,2023-11-29
Romania,301,0.4,7.0,8.07,5.4,-6.3,47.2,-9.1,19.04,2023-11-30
Romania,301,0.4,7.0,8.07,5.4,-6.3,47.2,-9.1,19.04,2023-12-01
Romania,301,0.4,7.0,8.07,5.4,-6.3,47.2,-9.1,19.04,2023-12-02
Romania,301,0.4,7.0,8.07,5.4,-6.3,47.2,-9.1,19.04,2023-12-03
Romania,301,0.4,7.0,8.07,5.4,-6.3,47.2,-9.1,19.04,2023-12-04
Romania,301,0.4,7.0,8.07,5.4,-6.3,47.2,-9.1,19.04,2023-12-05
Romania,301,0.4,7.0,8.07,5.4,-6.3,47.2,-9.1,19.04,2023-12-06
Romania,301,0.9,7.0,8.07,5.4,-6.3,47.2,-9.1,19.04,2023-12-07
Romania,301,0.9,7.0,8.07,5.4,-6.3,47.2,-9.1,19.04,2023-12-08
Romania,301,0.9,7.0,8.07,5.4,-6.3,47.2,-9.1,19.04,2023-12-09
Romania,301,0.9,7.0,8.07,5.4,-6.3,47.2,-9.1,19.04,2023-12-10
Romania,301,0.9,7.0,8.07,5.4,-6.3,47.2,-9.1,19.04,2023-12-11
Romania,301,0.9,7.0,8.07,5.4,-6.3,47.2,-9.1,19.04,2023-12-12
Romania,301,0.9,7.0,6.72,5.4,-6.3,47.2,-9.1,19.04,2023-12-13
Romania,301,0.9,7.0,6.72,5.4,-6.3,47.2,-9.1,19.04,2023-12-14
Romania,301,0.9,7.0,6.72,5.4,-6.3,47.2,-9.1,19.04,2023-12-15
Romania,301,0.9,7.0,6.72,5.4,-6.3,47.2,-9.1,19.04,2023-12-16
Romania,301,0.9,7.0,6.72,5.4,-6.3,47.2,-9.1,19.04,2023-12-17
Romania,301,0.9,7.0,6.72,5.4,-6.3,47.2,-9.1,19.04,2023-12-18
Romania,301,0.9,7.0,6.72,5.4,-6.3,47.2,-9.1,19.04,2023-12-19
Romania,301,0.9,7.0,6.72,5.4,-6.3,47.2,-9.1,19.04,2023-12-20
Romania,301,0.9,7.0,6.72,5.4,-6.3,47.2,-9.1,19.04,2023-12-21
Romania,301,0.9,7.0,6.72,5.4,-6.3,47.2,-9.1,19.04,2023-12-22
Romania,301,0.9,7.0,6.72,5.4,-6.3,47.2,-9.1,19.04,2023-12-23
Romania,301,0.9,7.0,6.72,5.4,-6.3,47.2,-9.1,19.04,2023-12-24
Romania,301,0.9,7.0,6.72,5.4,-6.3,47.2,-9.1,19.04,2023-12-25
Romania,301,0.9,7.0,6.72,5.4,-6.3,47.2,-9.1,19.04,2023-12-26
Romania,301,0.9,7.0,6.72,5.4,-6.3,47.2,-9.1,19.04,2023-12-27
Romania,301,0.9,7.0,6.72,5.4,-6.3,47.2,-9.1,19.04,2023-12-28
