country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Russia,2240,-0.8,15.0,6.7,3.0,-2.3,17.2,10.3,145.6,2023-11-23
Russia,2240,-0.8,15.0,6.7,3.0,-2.3,17.2,10.3,145.6,2023-11-24
Russia,2240,-0.8,15.0,6.7,3.0,-2.3,17.2,10.3,145.6,2023-11-25
Russia,2240,-0.8,15.0,6.7,3.0,-2.3,17.2,10.3,145.6,2023-11-26
Russia,2240,-0.8,15.0,6.7,3.0,-2.3,17.2,10.3,145.6,2023-11-27
Russia,2240,-0.8,15.0,6.7,3.0,-2.3,17.2,10.3,145.6,2023-11-28
Russia,2240,-0.8,15.0,6.7,2.9,-2.3,17.2,10.3,145.6,2023-11-29
Russia,2240,-0.8,15.0,6.7,2.9,-2.3,17.2,10.3,145.6,2023-11-30
Russia,2240,-0.8,15.0,6.7,2.9,-2.3,17.2,10.3,145.6,2023-12-01
Russia,2240,-0.8,15.0,6.7,2.9,-2.3,17.2,10.3,145.6,2023-12-02
Russia,2240,-0.8,15.0,6.7,2.9,-2.3,17.2,10.3,145.6,2023-12-03
Russia,2240,-0.8,15.0,6.7,3.0,-2.3,17.2,10.3,145.6,2023-12-04
Russia,2240,-0.8,15.0,6.7,3.0,-2.3,17.2,10.3,145.6,2023-12-05
Russia,2240,-0.8,15.0,6.7,3.0,-2.3,17.2,10.3,145.6,2023-12-06
Russia,2240,-0.8,15.0,6.7,3.0,-2.3,17.2,10.3,145.6,2023-12-07
Russia,2240,-0.8,15.0,7.5,3.0,-2.3,17.2,10.3,145.6,2023-12-08
Russia,2240,-0.8,15.0,7.5,3.0,-2.3,17.2,10.3,145.6,2023-12-09
Russia,2240,-0.8,15.0,7.5,3.0,-2.3,17.2,10.3,145.6,2023-12-10
Russia,2240,-0.8,15.0,7.5,3.0,-2.3,17.2,10.3,145.6,2023-12-11
Russia,2240,-0.8,15.0,7.5,3.0,-2.3,17.2,10.3,145.6,2023-12-12
Russia,2240,-0.8,15.0,7.5,3.0,-2.3,17.2,10.3,145.6,2023-12-13
Russia,2240,-0.8,15.0,7.5,3.0,-2.3,17.2,10.3,145.6,2023-12-14
Russia,2240,-0.8,16.0,7.5,3.0,-2.3,17.2,10.3,145.6,2023-12-15
Russia,2240,-0.8,16.0,7.5,3.0,-2.3,17.2,10.3,145.6,2023-12-16
Russia,2240,-0.8,16.0,7.5,3.0,-2.3,17.2,10.3,145.6,2023-12-17
Russia,2240,-0.8,16.0,7.5,2.9,-2.3,17.2,10.3,145.6,2023-12-18
Russia,2240,-0.8,16.0,7.5,2.9,-2.3,17.2,10.3,145.6,2023-12-19
Russia,2240,-0.8,16.0,7.5,2.9,-2.3,17.2,10.3,145.6,2023-12-20
Russia,2240,-0.8,16.0,7.5,2.9,-2.3,17.2,10.3,145.6,2023-12-21
Russia,2240,-0.8,16.0,7.5,2.9,-2.3,17.2,10.3,145.6,2023-12-22
Russia,2240,-0.8,16.0,7.5,2.9,-2.3,17.2,10.3,145.6,2023-12-23
Russia,2240,-0.8,16.0,7.5,2.9,-2.3,17.2,10.3,145.6,2023-12-24
Russia,2240,-0.8,16.0,7.5,3.0,-2.3,17.2,10.3,145.6,2023-12-25
Russia,2240,-0.8,16.0,7.5,3.0,-1.5,17.2,10.3,145.6,2023-12-26
Russia,2240,-0.8,16.0,7.5,2.9,-1.5,17.2,10.3,145.6,2023-12-27
Russia,2240,-0.8,16.0,7.5,2.9,-1.5,17.2,10.3,145.6,2023-12-28
Russia,2240,-0.8,16.0,7.5,2.9,-1.5,17.2,10.3,145.6,2023-12-29
Russia,2240,-0.8,16.0,7.5,2.9,-1.5,17.2,10.3,145.6,2023-12-30
Russia,2240,-0.8,16.0,7.5,2.9,-1.5,17.2,10.3,145.6,2023-12-31
Russia,2240,-0.8,16.0,7.5,3.0,-1.5,17.2,10.3,145.6,2024-01-01
Russia,2240,-0.8,16.0,7.5,3.0,-1.5,17.2,10.3,145.6,2024-01-02
Russia,2240,-0.8,16.0,7.5,3.0,-1.5,17.2,10.3,145.6,2024-01-03
Russia,2240,-0.8,16.0,7.5,3.0,-1.5,17.2,10.3,145.6,2024-01-04
Russia,2240,-0.8,16.0,7.5,3.0,-1.5,17.2,10.3,145.6,2024-01-05
Russia,2240,-0.8,16.0,7.5,3.0,-1.5,17.2,10.3,145.6,2024-01-06
Russia,2240,-0.8,16.0,7.5,3.0,-1.5,17.2,10.3,145.6,2024-01-07
Russia,2240,-0.8,16.0,7.5,3.0,-1.5,17.2,10.3,145.6,2024-01-08
Russia,2240,-0.8,16.0,7.5,3.0,-1.5,17.2,10.3,145.6,2024-01-09
Russia,2240,-0.8,16.0,7.5,3.0,-1.5,17.2,10.3,145.6,2024-01-10
Russia,2240,-0.8,16.0,7.5,3.0,-1.9,17.2,10.3,145.6,2024-01-11
Russia,2240,-0.8,16.0,7.4,3.0,-1.9,17.2,10.3,145.6,2024-01-12
Russia,2240,-0.8,16.0,7.4,3.0,-1.9,17.2,10.3,145.6,2024-01-13
Russia,2240,-0.8,16.0,7.4,3.0,-1.9,17.2,10.3,145.6,2024-01-14
Russia,2240,-0.8,16.0,7.4,3.0,-1.9,17.2,10.3,145.6,2024-01-15
Russia,2240,-0.8,16.0,7.4,3.0,-1.9,17.2,10.3,145.6,2024-01-16
Russia,2240,-0.8,16.0,7.4,3.0,-1.9,17.2,10.3,145.6,2024-01-17
Russia,2240,-0.8,16.0,7.4,3.0,-1.9,17.2,10.3,145.6,2024-01-18
Russia,2240,-0.8,16.0,7.4,3.0,-1.9,17.2,10.3,145.6,2024-01-19
Russia,2240,-0.8,16.0,7.4,3.0,-1.9,17.2,10.3,145.6,2024-01-20
