country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Rwanda,13,1.4,7.5,12.9,18.0,-7.9,64.4,-11.6,13.25,2023-11-23
Rwanda,13,1.4,7.5,12.9,18.0,-7.9,64.4,-11.6,13.25,2023-11-24
Rwanda,13,1.4,7.5,12.9,18.0,-7.9,64.4,-11.6,13.25,2023-11-25
Rwanda,13,1.4,7.5,12.9,18.0,-7.9,64.4,-11.6,13.25,2023-11-26
Rwanda,13,1.4,7.5,12.9,18.0,-7.9,64.4,-11.6,13.25,2023-11-27
Rwanda,13,1.4,7.5,12.9,18.0,-7.9,64.4,-11.6,13.25,2023-11-28
Rwanda,13,1.4,7.5,12.9,18.0,-7.9,64.4,-11.6,13.25,2023-11-29
Rwanda,13,1.4,7.5,12.9,18.0,-7.9,64.4,-11.6,13.25,2023-11-30
Rwanda,13,1.4,7.5,12.9,18.0,-7.9,64.4,-11.6,13.25,2023-12-01
Rwanda,13,1.4,7.5,12.9,18.0,-7.9,64.4,-11.6,13.25,2023-12-02
Rwanda,13,1.4,7.5,12.9,18.0,-7.9,64.4,-11.6,13.25,2023-12-03
Rwanda,13,1.4,7.5,12.9,18.0,-7.9,64.4,-11.6,13.25,2023-12-04
Rwanda,13,1.4,7.5,12.9,18.0,-7.9,64.4,-11.6,13.25,2023-12-05
Rwanda,13,1.4,7.5,12.9,18.0,-7.9,64.4,-11.6,13.25,2023-12-06
Rwanda,13,1.4,7.5,12.9,18.0,-7.9,64.4,-11.6,13.25,2023-12-07
Rwanda,13,1.4,7.5,12.9,18.0,-7.9,64.4,-11.6,13.25,2023-12-08
Rwanda,13,1.4,7.5,12.9,18.0,-7.9,64.4,-11.6,13.25,2023-12-09
Rwanda,13,1.4,7.5,12.9,18.0,-7.9,64.4,-11.6,13.25,2023-12-10
Rwanda,13,1.4,7.5,9.4,18.0,-7.9,64.4,-11.6,13.25,2023-12-11
Rwanda,13,1.4,7.5,9.4,18.0,-7.9,64.4,-11.6,13.25,2023-12-12
Rwanda,13,1.4,7.5,9.4,18.0,-7.9,64.4,-11.6,13.25,2023-12-13
Rwanda,13,1.4,7.5,9.4,18.0,-7.9,64.4,-11.6,13.25,2023-12-14
Rwanda,13,1.4,7.5,9.4,18.0,-7.9,64.4,-11.6,13.25,2023-12-15
Rwanda,13,1.4,7.5,9.4,18.0,-7.9,64.4,-11.6,13.25,2023-12-16
Rwanda,13,1.4,7.5,9.4,18.0,-7.9,64.4,-11.6,13.25,2023-12-17
Rwanda,13,1.4,7.5,9.4,18.0,-7.9,64.4,-11.6,13.25,2023-12-18
Rwanda,13,1.4,7.5,9.4,18.0,-7.9,64.4,-11.6,13.25,2023-12-19
Rwanda,13,4.7,7.5,9.4,18.0,-7.9,64.4,-11.6,13.25,2023-12-20
Rwanda,13,4.7,7.5,9.4,18.0,-7.9,64.4,-11.6,13.25,2023-12-21
Rwanda,13,4.7,7.5,9.4,18.0,-7.9,64.4,-11.6,13.25,2023-12-22
Rwanda,13,4.7,7.5,9.4,18.0,-7.9,64.4,-11.6,13.25,2023-12-23
Rwanda,13,4.7,7.5,9.4,18.0,-7.9,64.4,-11.6,13.25,2023-12-24
Rwanda,13,4.7,7.5,9.4,18.0,-7.9,64.4,-11.6,13.25,2023-12-25
Rwanda,13,4.7,7.5,9.4,18.0,-7.9,64.4,-11.6,13.25,2023-12-26
Rwanda,13,4.7,7.5,9.4,18.0,-7.9,64.4,-11.6,13.25,2023-12-27
Rwanda,13,4.7,7.5,9.4,18.0,-7.9,64.4,-11.6,13.25,2023-12-28
Rwanda,13,4.7,7.5,9.4,18.0,-7.9,64.4,-11.6,13.25,2023-12-29
Rwanda,13,4.7,7.5,9.4,18.0,-7.9,64.4,-11.6,13.25,2023-12-30
Rwanda,13,4.7,7.5,9.4,18.0,-7.9,64.4,-11.6,13.25,2023-12-31
Rwanda,13,4.7,7.5,9.4,18.0,-7.9,64.4,-11.6,13.25,2024-01-01
Rwanda,13,4.7,7.5,9.4,18.0,-7.9,64.4,-11.6,13.25,2024-01-02
Rwanda,13,4.7,7.5,9.4,18.0,-7.9,64.4,-11.6,13.25,2024-01-03
Rwanda,13,4.7,7.5,9.4,18.0,-7.9,64.4,-11.6,13.25,2024-01-04
Rwanda,13,4.7,7.5,9.4,18.0,-7.9,64.4,-11.6,13.25,2024-01-05
Rwanda,13,4.7,7.5,9.4,18.0,-7.9,64.4,-11.6,13.25,2024-01-06
Rwanda,13,4.7,7.5,9.4,18.0,-7.9,64.4,-11.6,13.25,2024-01-07
Rwanda,13,4.7,7.5,9.4,18.0,-7.9,64.4,-11.6,13.25,2024-01-08
Rwanda,13,4.7,7.5,9.4,18.0,-7.9,64.4,-11.6,13.25,2024-01-09
Rwanda,13,4.7,7.5,6.4,18.0,-7.9,64.4,-11.6,13.25,2024-01-10
Rwanda,13,4.7,7.5,6.4,18.0,-7.9,64.4,-11.6,13.25,2024-01-11
Rwanda,13,4.7,7.5,6.4,18.0,-7.9,64.4,-11.6,13.25,2024-01-12
Rwanda,13,4.7,7.5,6.4,18.0,-7.9,64.4,-11.6,13.25,2024-01-13
Rwanda,13,4.7,7.5,6.4,18.0,-7.9,64.4,-11.6,13.25,2024-01-14
Rwanda,13,4.7,7.5,6.4,18.0,-7.9,64.4,-11.6,13.25,2024-01-15
