country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Saudi Arabia,1108,-3.9,6.0,1.6,4.9,2.5,30.0,13.8,32.18,2023-11-23
Saudi Arabia,1108,-3.9,6.0,1.6,4.9,2.5,30.0,13.8,32.18,2023-11-24
Saudi Arabia,1108,-3.9,6.0,1.6,4.9,2.5,30.0,13.8,32.18,2023-11-25
Saudi Arabia,1108,-3.9,6.0,1.6,4.9,2.5,30.0,13.8,32.18,2023-11-26
Saudi Arabia,1108,-3.9,6.0,1.6,4.9,2.5,30.0,13.8,32.18,2023-11-27
Saudi Arabia,1108,-3.9,6.0,1.6,4.9,2.5,30.0,13.8,32.18,2023-11-28
Saudi Arabia,1108,-3.9,6.0,1.6,4.9,2.5,30.0,13.8,32.18,2023-11-29
Saudi Arabia,1108,-3.9,6.0,1.6,4.9,2.5,30.0,13.8,32.18,2023-11-30
Saudi Arabia,1108,-3.9,6.0,1.6,4.9,2.5,30.0,13.8,32.18,2023-12-01
Saudi Arabia,1108,-3.9,6.0,1.6,4.9,2.5,30.0,13.8,32.18,2023-12-02
Saudi Arabia,1108,-3.9,6.0,1.6,4.9,2.5,30.0,13.8,32.18,2023-12-03
Saudi Arabia,1108,-3.9,6.0,1.6,4.9,2.5,30.0,13.8,32.18,2023-12-04
Saudi Arabia,1108,-3.9,6.0,1.6,4.9,2.5,30.0,13.8,32.18,2023-12-05
Saudi Arabia,1108,-3.9,6.0,1.6,4.9,2.5,30.0,13.8,32.18,2023-12-06
Saudi Arabia,1108,-3.2,6.0,1.6,4.9,2.5,30.0,13.8,32.18,2023-12-07
Saudi Arabia,1108,-3.2,6.0,1.6,4.9,2.5,30.0,13.8,32.18,2023-12-08
Saudi Arabia,1108,-3.2,6.0,1.6,4.9,2.5,30.0,13.8,32.18,2023-12-09
Saudi Arabia,1108,-3.2,6.0,1.6,4.9,2.5,30.0,13.8,32.18,2023-12-10
Saudi Arabia,1108,-3.2,6.0,1.6,4.9,2.5,30.0,13.8,32.18,2023-12-11
Saudi Arabia,1108,-3.2,6.0,1.6,4.9,2.5,30.0,13.8,32.18,2023-12-12
Saudi Arabia,1108,-3.2,6.0,1.6,4.9,2.5,30.0,13.8,32.18,2023-12-13
Saudi Arabia,1108,-3.2,6.0,1.7,4.9,2.5,30.0,13.8,32.18,2023-12-14
Saudi Arabia,1108,-3.2,6.0,1.7,4.9,2.5,30.0,13.8,32.18,2023-12-15
Saudi Arabia,1108,-3.2,6.0,1.7,4.9,2.5,30.0,13.8,32.18,2023-12-16
Saudi Arabia,1108,-3.2,6.0,1.7,4.9,2.5,30.0,13.8,32.18,2023-12-17
Saudi Arabia,1108,-3.2,6.0,1.7,4.9,2.5,30.0,13.8,32.18,2023-12-18
Saudi Arabia,1108,-3.2,6.0,1.7,4.9,2.5,30.0,13.8,32.18,2023-12-19
Saudi Arabia,1108,-3.2,6.0,1.7,4.9,2.5,30.0,13.8,32.18,2023-12-20
Saudi Arabia,1108,-3.2,6.0,1.7,4.9,2.5,30.0,13.8,32.18,2023-12-21
Saudi Arabia,1108,-3.2,6.0,1.7,4.9,2.5,30.0,13.8,32.18,2023-12-22
Saudi Arabia,1108,-3.2,6.0,1.7,4.9,2.5,30.0,13.8,32.18,2023-12-23
Saudi Arabia,1108,-3.2,6.0,1.7,4.9,2.5,30.0,13.8,32.18,2023-12-24
Saudi Arabia,1108,-3.2,6.0,1.7,4.9,2.5,30.0,13.8,32.18,2023-12-25
Saudi Arabia,1108,-3.2,6.0,1.7,4.9,2.5,30.0,13.8,32.18,2023-12-26
Saudi Arabia,1108,-3.2,6.0,1.7,4.9,2.5,30.0,13.8,32.18,2023-12-27
Saudi Arabia,1108,-3.2,6.0,1.7,5.1,2.5,30.0,13.8,32.18,2023-12-28
Saudi Arabia,1108,-3.2,6.0,1.7,5.1,2.5,30.0,13.8,32.18,2023-12-29
Saudi Arabia,1108,-3.2,6.0,1.7,5.1,2.5,30.0,13.8,32.18,2023-12-30
Saudi Arabia,1108,-3.2,6.0,1.7,5.1,2.5,30.0,13.8,32.18,2023-12-31
Saudi Arabia,1108,-3.2,6.0,1.7,5.1,2.5,30.0,13.8,32.18,2024-01-01
Saudi Arabia,1109,-3.2,6.0,1.7,5.1,2.5,30.0,13.8,32.18,2024-01-02
Saudi Arabia,1109,-3.2,6.0,1.7,5.1,2.5,30.0,13.8,32.18,2024-01-03
Saudi Arabia,1109,-3.2,6.0,1.7,5.1,2.5,30.0,13.8,32.18,2024-01-04
Saudi Arabia,1109,-3.2,6.0,1.7,5.1,2.5,30.0,13.8,32.18,2024-01-05
Saudi Arabia,1109,-3.2,6.0,1.7,5.1,2.5,30.0,13.8,32.18,2024-01-06
Saudi Arabia,1109,-3.2,6.0,1.7,5.1,2.5,30.0,13.8,32.18,2024-01-07
Saudi Arabia,1109,-3.2,6.0,1.7,5.1,2.5,30.0,13.8,32.18,2024-01-08
Saudi Arabia,1109,-3.2,6.0,1.7,5.1,2.5,30.0,13.8,32.18,2024-01-09
Saudi Arabia,1109,-3.2,6.0,1.7,5.1,2.5,30.0,13.8,32.18,2024-01-10
Saudi Arabia,1109,-3.2,6.0,1.7,5.1,2.5,30.0,13.8,32.18,2024-01-11
Saudi Arabia,1109,-3.2,6.0,1.7,5.1,2.5,30.0,13.8,32.18,2024-01-12
Saudi Arabia,1109,-3.2,6.0,1.7,5.1,2.5,30.0,13.8,32.18,2024-01-13
Saudi Arabia,1109,-3.2,6.0,1.7,5.1,2.5,30.0,13.8,32.18,2024-01-14
Saudi Arabia,1109,-3.2,6.0,1.5,5.1,2.5,30.0,13.8,32.18,2024-01-15
Saudi Arabia,1109,-3.2,6.0,1.5,5.1,2.5,30.0,13.8,32.18,2024-01-16
Saudi Arabia,1109,-3.2,6.0,1.5,5.1,2.5,30.0,13.8,32.18,2024-01-17
Saudi Arabia,1109,-3.2,6.0,1.5,5.1,2.5,30.0,13.8,32.18,2024-01-18
Saudi Arabia,1109,-3.2,6.0,1.5,5.1,2.5,30.0,13.8,32.18,2024-01-19
Saudi Arabia,1109,-3.2,6.0,1.5,5.1,2.5,30.0,13.8,32.18,2024-01-20
Saudi Arabia,1109,-3.2,6.0,1.5,5.1,2.5,30.0,13.8,32.18,2024-01-21
Saudi Arabia,1109,-3.2,6.0,1.5,5.1,2.5,30.0,13.8,32.18,2024-01-22
Saudi Arabia,1109,-3.2,6.0,1.5,5.1,2.5,30.0,13.8,32.18,2024-01-23
Saudi Arabia,1109,-3.2,6.0,1.5,5.1,2.5,30.0,13.8,32.18,2024-01-24
Saudi Arabia,1109,-3.2,6.0,1.5,5.1,2.5,30.0,13.8,32.18,2024-01-25
Saudi Arabia,1109,-3.2,6.0,1.5,5.1,2.5,30.0,13.8,32.18,2024-01-26
Saudi Arabia,1109,-3.2,6.0,1.5,5.1,2.5,30.0,13.8,32.18,2024-01-27
Saudi Arabia,1109,-3.2,6.0,1.5,5.1,2.5,30.0,13.8,32.18,2024-01-28
Saudi Arabia,1109,-3.2,6.0,1.5,5.1,2.5,30.0,13.8,32.18,2024-01-29
Saudi Arabia,1109,-3.2,6.0,1.5,5.1,2.5,30.0,13.8,32.18,2024-01-30
Saudi Arabia,1109,0.4,6.0,1.5,5.1,2.5,30.0,13.8,32.18,2024-01-31
Saudi Arabia,1109,0.4,6.0,1.5,5.1,2.5,30.0,13.8,32.18,2024-02-01
Saudi Arabia,1109,0.4,6.0,1.5,5.1,2.5,30.0,13.8,32.18,2024-02-02
Saudi Arabia,1109,0.4,6.0,1.5,5.1,2.5,30.0,13.8,32.18,2024-02-03
Saudi Arabia,1109,0.4,6.0,1.5,5.1,2.5,30.0,13.8,32.18,2024-02-04
Saudi Arabia,1109,0.4,6.0,1.5,5.1,2.5,30.0,13.8,32.18,2024-02-05
Saudi Arabia,1109,0.4,6.0,1.5,5.1,2.5,30.0,13.8,32.18,2024-02-06
Saudi Arabia,1109,0.4,6.0,1.5,5.1,2.5,30.0,13.8,32.18,2024-02-07
