country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Senegal,28,0.1,5.25,2.4,18.6,-6.1,75.0,-17.5,17.7,2023-11-23
Senegal,28,0.1,5.25,2.4,18.6,-6.1,75.0,-17.5,17.7,2023-11-24
Senegal,28,0.1,5.25,2.4,18.6,-6.1,75.0,-17.5,17.7,2023-11-25
Senegal,28,0.1,5.25,2.4,18.6,-6.1,75.0,-17.5,17.7,2023-11-26
Senegal,28,0.1,5.25,2.4,18.6,-6.1,75.0,-17.5,17.7,2023-11-27
Senegal,28,0.1,5.25,2.4,18.6,-6.1,75.0,-17.5,17.7,2023-11-28
Senegal,28,0.1,5.25,2.4,18.6,-6.1,75.0,-17.5,17.7,2023-11-29
Senegal,28,0.1,5.25,2.4,18.6,-6.1,75.0,-17.5,17.7,2023-11-30
Senegal,28,0.1,5.25,2.4,18.6,-6.1,75.0,-17.5,17.7,2023-12-01
Senegal,28,0.1,5.25,2.4,18.6,-6.1,75.0,-17.5,17.7,2023-12-02
Senegal,28,0.1,5.25,2.4,18.6,-6.1,75.0,-17.5,17.7,2023-12-03
Senegal,28,0.1,5.25,2.4,18.6,-6.1,75.0,-17.5,17.7,2023-12-04
Senegal,28,0.1,5.25,2.4,18.6,-6.1,75.0,-17.5,17.7,2023-12-05
Senegal,28,0.1,5.25,2.4,18.6,-6.1,75.0,-17.5,17.7,2023-12-06
Senegal,28,0.1,5.25,2.4,18.6,-6.1,75.0,-17.5,17.7,2023-12-07
Senegal,28,0.1,5.25,2.4,18.6,-6.1,75.0,-17.5,17.7,2023-12-08
Senegal,28,0.1,5.25,2.4,18.6,-6.1,75.0,-17.5,17.7,2023-12-09
