country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Serbia,64,1.3,6.5,8.5,9.6,-3.3,55.1,-6.8,6.8,2023-11-23
Serbia,64,1.3,6.5,8.5,9.6,-3.3,55.1,-6.8,6.8,2023-11-24
Serbia,64,1.3,6.5,8.5,9.6,-3.3,55.1,-6.8,6.8,2023-11-25
Serbia,64,1.3,6.5,8.5,9.6,-3.3,55.1,-6.8,6.8,2023-11-26
Serbia,64,1.3,6.5,8.5,9.6,-3.3,55.1,-6.8,6.8,2023-11-27
Serbia,64,1.3,6.5,8.5,9.6,-3.3,55.1,-6.8,6.8,2023-11-28
Serbia,64,1.3,6.5,8.5,9.6,-3.3,55.1,-6.8,6.8,2023-11-29
Serbia,64,1.3,6.5,8.5,9.0,-3.3,55.1,-6.8,6.8,2023-11-30
Serbia,64,1.3,6.5,8.5,9.0,-3.3,55.1,-6.8,6.8,2023-12-01
Serbia,64,1.3,6.5,8.5,9.0,-3.3,55.1,-6.8,6.8,2023-12-02
Serbia,64,1.3,6.5,8.5,9.0,-3.3,55.1,-6.8,6.8,2023-12-03
Serbia,64,1.3,6.5,8.5,9.0,-3.3,55.1,-6.8,6.8,2023-12-04
Serbia,64,1.3,6.5,8.5,9.0,-3.3,55.1,-6.8,6.8,2023-12-05
Serbia,64,1.3,6.5,8.5,9.0,-3.3,55.1,-6.8,6.8,2023-12-06
Serbia,64,1.3,6.5,8.5,9.0,-3.3,55.1,-6.8,6.8,2023-12-07
Serbia,64,1.3,6.5,8.5,9.0,-3.3,55.1,-6.8,6.8,2023-12-08
Serbia,64,1.3,6.5,8.5,9.0,-3.3,55.1,-6.8,6.8,2023-12-09
Serbia,64,1.3,6.5,8.5,9.0,-3.3,55.1,-6.8,6.8,2023-12-10
Serbia,64,1.3,6.5,8.5,9.0,-3.3,55.1,-6.8,6.8,2023-12-11
Serbia,64,1.3,6.5,8.0,9.0,-3.3,55.1,-6.8,6.8,2023-12-12
Serbia,64,1.3,6.5,8.0,9.0,-3.3,55.1,-6.8,6.8,2023-12-13
Serbia,64,1.3,6.5,8.0,9.0,-3.3,55.1,-6.8,6.8,2023-12-14
Serbia,64,1.3,6.5,8.0,9.0,-3.3,55.1,-6.8,6.8,2023-12-15
Serbia,64,1.3,6.5,8.0,9.0,-3.3,55.1,-6.8,6.8,2023-12-16
Serbia,64,1.3,6.5,8.0,9.0,-3.3,55.1,-6.8,6.8,2023-12-17
Serbia,64,1.3,6.5,8.0,9.0,-3.3,55.1,-6.8,6.8,2023-12-18
Serbia,64,1.3,6.5,8.0,9.0,-3.3,55.1,-6.8,6.8,2023-12-19
Serbia,64,1.3,6.5,8.0,9.0,-3.3,55.1,-6.8,6.8,2023-12-20
Serbia,64,1.3,6.5,8.0,9.0,-3.3,55.1,-6.8,6.8,2023-12-21
Serbia,64,1.3,6.5,8.0,9.0,-3.3,55.1,-6.8,6.8,2023-12-22
Serbia,64,1.3,6.5,8.0,9.0,-3.3,55.1,-6.8,6.8,2023-12-23
Serbia,64,1.3,6.5,8.0,9.0,-3.3,55.1,-6.8,6.8,2023-12-24
Serbia,64,1.3,6.5,8.0,9.0,-3.3,55.1,-6.8,6.8,2023-12-25
Serbia,64,1.3,6.5,8.0,9.0,-3.3,55.1,-6.8,6.8,2023-12-26
Serbia,64,1.3,6.5,8.0,9.0,-3.3,55.1,-6.8,6.8,2023-12-27
Serbia,64,1.3,6.5,8.0,9.0,-3.3,55.1,-6.8,6.8,2023-12-28
Serbia,64,1.3,6.5,8.0,9.0,-3.3,55.1,-6.8,6.8,2023-12-29
Serbia,64,1.3,6.5,8.0,9.0,-3.3,55.1,-6.8,6.8,2023-12-30
Serbia,64,1.3,6.5,8.0,9.0,-3.3,55.1,-6.8,6.8,2023-12-31
Serbia,64,1.3,6.5,8.0,9.0,-3.3,55.1,-6.8,6.8,2024-01-01
Serbia,64,1.3,6.5,8.0,9.0,-3.3,55.1,-6.8,6.8,2024-01-02
Serbia,64,1.3,6.5,8.0,9.0,-3.3,55.1,-6.8,6.8,2024-01-03
Serbia,64,1.3,6.5,8.0,9.0,-3.3,55.1,-6.8,6.8,2024-01-04
Serbia,64,1.3,6.5,8.0,9.0,-3.3,55.1,-6.8,6.8,2024-01-05
Serbia,64,1.3,6.5,8.0,9.0,-3.3,55.1,-6.8,6.8,2024-01-06
Serbia,64,1.3,6.5,8.0,9.0,-3.3,55.1,-6.8,6.8,2024-01-07
Serbia,64,1.3,6.5,8.0,9.0,-3.3,55.1,-6.8,6.8,2024-01-08
Serbia,64,1.3,6.5,8.0,9.0,-3.3,55.1,-6.8,6.8,2024-01-09
Serbia,64,1.3,6.5,8.0,9.0,-3.3,55.1,-6.8,6.8,2024-01-10
Serbia,64,1.3,6.5,8.0,9.0,-3.3,55.1,-6.8,6.8,2024-01-11
