country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Seychelles,2,,2.0,-2.66,4.0,-1.7,65.0,-8.0,0.1,2023-11-23
Seychelles,2,,2.0,-2.66,4.0,-1.7,65.0,-8.0,0.1,2023-11-24
Seychelles,2,,2.0,-2.66,4.0,-1.7,65.0,-8.0,0.1,2023-11-25
Seychelles,2,,2.0,-2.66,4.0,-1.7,65.0,-8.0,0.1,2023-11-26
Seychelles,2,,2.0,-2.66,4.0,-1.7,65.0,-8.0,0.1,2023-11-27
Seychelles,2,,2.0,-2.66,4.0,-1.7,65.0,-8.0,0.1,2023-11-28
Seychelles,2,,2.0,-2.66,4.0,-1.7,65.0,-8.0,0.1,2023-11-29
Seychelles,2,,2.0,-2.66,4.0,-1.7,65.0,-8.0,0.1,2023-11-30
Seychelles,2,,2.0,-2.66,4.0,-1.7,65.0,-8.0,0.1,2023-12-01
Seychelles,2,,2.0,-2.66,4.0,-1.7,65.0,-8.0,0.1,2023-12-02
Seychelles,2,,2.0,-2.66,4.0,-1.7,65.0,-8.0,0.1,2023-12-03
Seychelles,2,,2.0,-2.66,4.0,-1.7,65.0,-8.0,0.1,2023-12-04
Seychelles,2,,2.0,-2.66,4.0,-1.7,65.0,-8.0,0.1,2023-12-05
Seychelles,2,,2.0,-2.66,4.0,-1.7,65.0,-8.0,0.1,2023-12-06
Seychelles,2,,2.0,-2.66,4.0,-1.7,65.0,-8.0,0.1,2023-12-07
Seychelles,2,,2.0,-2.66,4.0,-1.7,65.0,-8.0,0.1,2023-12-08
Seychelles,2,,2.0,-2.66,4.0,-1.7,65.0,-8.0,0.1,2023-12-09
Seychelles,2,,2.0,-2.66,4.0,-1.7,65.0,-8.0,0.1,2023-12-10
Seychelles,2,,2.0,-2.65,4.0,-1.7,65.0,-8.0,0.1,2023-12-11
Seychelles,2,,2.0,-2.65,4.0,-1.7,65.0,-8.0,0.1,2023-12-12
Seychelles,2,,2.0,-2.65,4.0,-1.7,65.0,-8.0,0.1,2023-12-13
Seychelles,2,,2.0,-2.65,4.0,-1.7,65.0,-8.0,0.1,2023-12-14
Seychelles,2,,2.0,-2.65,4.0,-1.7,65.0,-8.0,0.1,2023-12-15
Seychelles,2,,2.0,-2.65,4.0,-1.7,65.0,-8.0,0.1,2023-12-16
Seychelles,2,,2.0,-2.65,4.0,-1.7,65.0,-8.0,0.1,2023-12-17
Seychelles,2,,2.0,-2.65,4.0,-1.7,65.0,-8.0,0.1,2023-12-18
Seychelles,2,,2.0,-2.65,4.0,-1.7,65.0,-8.0,0.1,2023-12-19
Seychelles,2,,2.0,-2.65,4.0,-1.7,65.0,-8.0,0.1,2023-12-20
Seychelles,2,,2.0,-2.65,4.0,-1.7,65.0,-8.0,0.1,2023-12-21
