country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Sierra Leone,4,,21.25,54.48,3.6,-4.8,98.8,-10.3,8.61,2023-11-23
Sierra Leone,4,,21.25,54.48,3.6,-4.8,98.8,-10.3,8.61,2023-11-24
Sierra Leone,4,,21.25,54.48,3.6,-4.8,98.8,-10.3,8.61,2023-11-25
Sierra Leone,4,,21.25,54.48,3.6,-4.8,98.8,-10.3,8.61,2023-11-26
Sierra Leone,4,,21.25,54.48,3.6,-4.8,98.8,-10.3,8.61,2023-11-27
Sierra Leone,4,,21.25,54.48,3.6,-4.8,98.8,-10.3,8.61,2023-11-28
Sierra Leone,4,,21.25,54.48,3.6,-4.8,98.8,-10.3,8.61,2023-11-29
Sierra Leone,4,,21.25,54.48,3.6,-4.8,98.8,-10.3,8.61,2023-11-30
Sierra Leone,4,,21.25,54.48,3.6,-4.8,98.8,-10.3,8.61,2023-12-01
Sierra Leone,4,,21.25,54.48,3.6,-4.8,98.8,-10.3,8.61,2023-12-02
Sierra Leone,4,,21.25,54.48,3.6,-4.8,98.8,-10.3,8.61,2023-12-03
Sierra Leone,4,,21.25,54.59,3.6,-4.8,98.8,-10.3,8.61,2023-12-04
Sierra Leone,4,,21.25,54.59,3.6,-4.8,98.8,-10.3,8.61,2023-12-05
Sierra Leone,4,,21.25,54.59,3.6,-4.8,98.8,-10.3,8.61,2023-12-06
Sierra Leone,4,,21.25,54.59,3.6,-4.8,98.8,-10.3,8.61,2023-12-07
Sierra Leone,4,,21.25,54.59,3.6,-4.8,98.8,-10.3,8.61,2023-12-08
Sierra Leone,4,,21.25,54.59,3.6,-4.8,98.8,-10.3,8.61,2023-12-09
Sierra Leone,4,,21.25,54.59,3.6,-4.8,98.8,-10.3,8.61,2023-12-10
Sierra Leone,4,,21.25,54.59,3.6,-4.8,98.8,-10.3,8.61,2023-12-11
Sierra Leone,4,,21.25,54.59,3.6,-4.8,98.8,-10.3,8.61,2023-12-12
