country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Slovakia,115,0.2,4.5,7.07,5.11,-2.0,57.8,-7.3,5.43,2023-11-23
Slovakia,115,0.2,4.5,7.07,5.11,-2.0,57.8,-7.3,5.43,2023-11-24
Slovakia,115,0.2,4.5,7.07,5.11,-2.0,57.8,-7.3,5.43,2023-11-25
Slovakia,115,0.2,4.5,7.07,5.11,-2.0,57.8,-7.3,5.43,2023-11-26
Slovakia,115,0.2,4.5,7.07,5.11,-2.0,57.8,-7.3,5.43,2023-11-27
Slovakia,115,0.2,4.5,7.07,5.11,-2.0,57.8,-7.3,5.43,2023-11-28
Slovakia,115,0.2,4.5,7.07,5.11,-2.0,57.8,-7.3,5.43,2023-11-29
Slovakia,115,0.2,4.5,7.07,5.11,-2.0,57.8,-7.3,5.43,2023-11-30
Slovakia,115,0.2,4.5,7.07,5.11,-2.0,57.8,-7.3,5.43,2023-12-01
Slovakia,115,0.2,4.5,7.07,5.11,-2.0,57.8,-7.3,5.43,2023-12-02
Slovakia,115,0.2,4.5,7.07,5.11,-2.0,57.8,-7.3,5.43,2023-12-03
Slovakia,115,0.2,4.5,7.07,5.11,-2.0,57.8,-7.3,5.43,2023-12-04
Slovakia,115,0.2,4.5,7.07,5.11,-2.0,57.8,-7.3,5.43,2023-12-05
Slovakia,115,0.2,4.5,7.07,5.11,-2.0,57.8,-7.3,5.43,2023-12-06
Slovakia,115,0.2,4.5,7.07,5.11,-2.0,57.8,-7.3,5.43,2023-12-07
Slovakia,115,0.2,4.5,7.07,5.11,-2.0,57.8,-7.3,5.43,2023-12-08
Slovakia,115,0.2,4.5,7.07,5.11,-2.0,57.8,-7.3,5.43,2023-12-09
Slovakia,115,0.2,4.5,7.07,5.11,-2.0,57.8,-7.3,5.43,2023-12-10
Slovakia,115,0.2,4.5,7.07,5.11,-2.0,57.8,-7.3,5.43,2023-12-11
Slovakia,115,0.2,4.5,7.07,5.11,-2.0,57.8,-7.3,5.43,2023-12-12
Slovakia,115,0.2,4.5,7.07,5.11,-2.0,57.8,-7.3,5.43,2023-12-13
Slovakia,115,0.2,4.5,6.2,5.11,-2.0,57.8,-7.3,5.43,2023-12-14
Slovakia,115,0.2,4.5,6.2,5.11,-2.0,57.8,-7.3,5.43,2023-12-15
Slovakia,115,0.2,4.5,6.2,5.11,-2.0,57.8,-7.3,5.43,2023-12-16
Slovakia,115,0.2,4.5,6.2,5.11,-2.0,57.8,-7.3,5.43,2023-12-17
Slovakia,115,0.2,4.5,6.26,5.11,-2.0,57.8,-7.3,5.43,2023-12-18
Slovakia,115,0.2,4.5,6.26,5.11,-2.0,57.8,-7.3,5.43,2023-12-19
Slovakia,115,0.2,4.5,6.26,5.0,-2.0,57.8,-7.3,5.43,2023-12-20
Slovakia,115,0.2,4.5,6.26,5.0,-2.0,57.8,-7.3,5.43,2023-12-21
Slovakia,115,0.2,4.5,6.26,5.0,-2.0,57.8,-7.3,5.43,2023-12-22
Slovakia,115,0.2,4.5,6.26,5.0,-2.0,57.8,-7.3,5.43,2023-12-23
Slovakia,115,0.2,4.5,6.26,5.0,-2.0,57.8,-7.3,5.43,2023-12-24
Slovakia,115,0.2,4.5,6.26,5.02,-2.0,57.8,-7.3,5.43,2023-12-25
Slovakia,115,0.2,4.5,6.26,5.02,-2.0,57.8,-7.3,5.43,2023-12-26
Slovakia,115,0.2,4.5,6.26,5.02,-2.0,57.8,-7.3,5.43,2023-12-27
Slovakia,115,0.2,4.5,6.26,5.02,-2.0,57.8,-7.3,5.43,2023-12-28
Slovakia,115,0.2,4.5,6.26,5.02,-2.0,57.8,-7.3,5.43,2023-12-29
Slovakia,115,0.2,4.5,6.26,5.02,-2.0,57.8,-7.3,5.43,2023-12-30
Slovakia,115,0.2,4.5,6.26,5.02,-2.0,57.8,-7.3,5.43,2023-12-31
Slovakia,115,0.2,4.5,6.26,5.02,-2.0,57.8,-7.3,5.43,2024-01-01
Slovakia,115,0.2,4.5,6.26,5.02,-2.0,57.8,-7.3,5.43,2024-01-02
Slovakia,115,0.2,4.5,6.26,5.02,-2.0,57.8,-7.3,5.43,2024-01-03
Slovakia,115,0.2,4.5,6.26,5.02,-2.0,57.8,-7.3,5.43,2024-01-04
Slovakia,115,0.2,4.5,6.26,5.02,-2.0,57.8,-7.3,5.43,2024-01-05
Slovakia,115,0.2,4.5,6.26,5.02,-2.0,57.8,-7.3,5.43,2024-01-06
Slovakia,115,0.2,4.5,6.26,5.02,-2.0,57.8,-7.3,5.43,2024-01-07
Slovakia,115,0.2,4.5,6.26,5.02,-2.0,57.8,-7.3,5.43,2024-01-08
Slovakia,115,0.2,4.5,6.26,5.02,-2.0,57.8,-7.3,5.43,2024-01-09
Slovakia,115,0.2,4.5,6.26,5.02,-2.0,57.8,-7.3,5.43,2024-01-10
Slovakia,115,0.2,4.5,6.26,5.02,-2.0,57.8,-7.3,5.43,2024-01-11
Slovakia,115,0.2,4.5,6.26,5.02,-2.0,57.8,-7.3,5.43,2024-01-12
Slovakia,115,0.2,4.5,6.26,5.02,-2.0,57.8,-7.3,5.43,2024-01-13
Slovakia,115,0.2,4.5,6.26,5.02,-2.0,57.8,-7.3,5.43,2024-01-14
Slovakia,115,0.2,4.5,5.92,5.02,-2.0,57.8,-7.3,5.43,2024-01-15
Slovakia,115,0.2,4.5,5.92,5.02,-2.0,57.8,-7.3,5.43,2024-01-16
Slovakia,115,0.2,4.5,5.92,5.02,-2.0,57.8,-7.3,5.43,2024-01-17
Slovakia,115,0.2,4.5,5.92,5.02,-2.0,57.8,-7.3,5.43,2024-01-18
Slovakia,115,0.2,4.5,5.92,5.02,-2.0,57.8,-7.3,5.43,2024-01-19
Slovakia,115,0.2,4.5,5.92,5.02,-2.0,57.8,-7.3,5.43,2024-01-20
Slovakia,115,0.2,4.5,5.92,5.02,-2.0,57.8,-7.3,5.43,2024-01-21
Slovakia,115,0.2,4.5,5.92,5.1,-2.0,57.8,-7.3,5.43,2024-01-22
Slovakia,115,0.2,4.5,5.92,5.1,-2.0,57.8,-7.3,5.43,2024-01-23
Slovakia,115,0.2,4.5,5.92,5.1,-2.0,57.8,-7.3,5.43,2024-01-24
Slovakia,115,0.2,4.5,5.92,5.1,-2.0,57.8,-7.3,5.43,2024-01-25
Slovakia,115,0.2,4.5,5.92,5.1,-2.0,57.8,-7.3,5.43,2024-01-26
Slovakia,115,0.2,4.5,5.92,5.1,-2.0,57.8,-7.3,5.43,2024-01-27
Slovakia,115,0.2,4.5,5.92,5.1,-2.0,57.8,-7.3,5.43,2024-01-28
Slovakia,115,0.2,4.5,5.92,5.1,-2.0,57.8,-7.3,5.43,2024-01-29
Slovakia,115,0.2,4.5,5.92,5.1,-2.0,57.8,-7.3,5.43,2024-01-30
Slovakia,115,0.2,4.5,5.92,5.1,-2.0,57.8,-7.3,5.43,2024-01-31
Slovakia,115,0.2,4.5,5.92,5.1,-2.0,57.8,-7.3,5.43,2024-02-01
Slovakia,115,0.2,4.5,5.92,5.1,-2.0,57.8,-7.3,5.43,2024-02-02
Slovakia,115,0.2,4.5,5.92,5.1,-2.0,57.8,-7.3,5.43,2024-02-03
Slovakia,115,0.2,4.5,5.92,5.1,-2.0,57.8,-7.3,5.43,2024-02-04
Slovakia,115,0.2,4.5,5.92,5.1,-2.0,57.8,-7.3,5.43,2024-02-05
