country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Slovenia,62,-0.2,4.5,6.9,4.7,-3.0,72.3,-1.0,2.11,2023-11-23
Slovenia,62,-0.2,4.5,6.9,4.7,-3.0,72.3,-1.0,2.11,2023-11-24
Slovenia,62,-0.2,4.5,6.9,4.7,-3.0,72.3,-1.0,2.11,2023-11-25
Slovenia,62,-0.2,4.5,6.9,4.7,-3.0,72.3,-1.0,2.11,2023-11-26
Slovenia,62,-0.2,4.5,6.9,4.7,-3.0,72.3,-1.0,2.11,2023-11-27
Slovenia,62,-0.2,4.5,6.9,4.7,-3.0,72.3,-1.0,2.11,2023-11-28
Slovenia,62,-0.2,4.5,6.9,4.7,-3.0,72.3,-1.0,2.11,2023-11-29
Slovenia,62,-0.2,4.5,4.9,4.7,-3.0,72.3,-1.0,2.11,2023-11-30
Slovenia,62,-0.2,4.5,4.9,4.7,-3.0,72.3,-1.0,2.11,2023-12-01
Slovenia,62,-0.2,4.5,4.9,4.7,-3.0,72.3,-1.0,2.11,2023-12-02
Slovenia,62,-0.2,4.5,4.9,4.7,-3.0,72.3,-1.0,2.11,2023-12-03
Slovenia,62,-0.2,4.5,4.9,4.7,-3.0,72.3,-1.0,2.11,2023-12-04
Slovenia,62,-0.2,4.5,4.9,4.7,-3.0,72.3,-1.0,2.11,2023-12-05
Slovenia,62,-0.2,4.5,4.9,4.7,-3.0,72.3,-1.0,2.11,2023-12-06
Slovenia,62,-0.2,4.5,4.9,4.7,-3.0,72.3,-1.0,2.11,2023-12-07
Slovenia,62,-0.2,4.5,4.9,4.7,-3.0,72.3,-1.0,2.11,2023-12-08
Slovenia,62,-0.2,4.5,4.9,4.7,-3.0,72.3,-1.0,2.11,2023-12-09
Slovenia,62,-0.2,4.5,4.9,4.7,-3.0,72.3,-1.0,2.11,2023-12-10
Slovenia,62,-0.2,4.5,4.9,4.7,-3.0,72.3,-1.0,2.11,2023-12-11
Slovenia,62,-0.2,4.5,4.9,4.7,-3.0,72.3,-1.0,2.11,2023-12-12
Slovenia,62,-0.2,4.5,4.9,4.7,-3.0,72.3,-1.0,2.11,2023-12-13
Slovenia,62,-0.2,4.5,4.9,4.7,-3.0,72.3,-1.0,2.11,2023-12-14
Slovenia,62,-0.2,4.5,4.9,4.7,-3.0,72.3,-1.0,2.11,2023-12-15
Slovenia,62,-0.2,4.5,4.9,4.7,-3.0,72.3,-1.0,2.11,2023-12-16
Slovenia,62,-0.2,4.5,4.9,4.7,-3.0,72.3,-1.0,2.11,2023-12-17
Slovenia,62,-0.2,4.5,4.9,4.7,-3.0,72.3,-1.0,2.11,2023-12-18
Slovenia,62,-0.2,4.5,4.9,4.7,-3.0,72.3,-1.0,2.11,2023-12-19
Slovenia,62,-0.2,4.5,4.9,4.7,-3.0,72.3,-1.0,2.11,2023-12-20
Slovenia,62,-0.2,4.5,4.9,4.8,-3.0,72.3,-1.0,2.11,2023-12-21
Slovenia,62,-0.2,4.5,4.9,4.8,-3.0,72.3,-1.0,2.11,2023-12-22
Slovenia,62,-0.2,4.5,4.9,4.8,-3.0,72.3,-1.0,2.11,2023-12-23
Slovenia,62,-0.2,4.5,4.9,4.8,-3.0,72.3,-1.0,2.11,2023-12-24
Slovenia,62,-0.2,4.5,4.9,4.8,-3.0,72.3,-1.0,2.11,2023-12-25
Slovenia,62,-0.2,4.5,4.9,4.8,-3.0,72.3,-1.0,2.11,2023-12-26
Slovenia,62,-0.2,4.5,4.9,4.8,-3.0,72.3,-1.0,2.11,2023-12-27
Slovenia,62,-0.2,4.5,4.9,4.8,-3.0,72.3,-1.0,2.11,2023-12-28
Slovenia,62,-0.2,4.5,4.2,4.8,-3.0,72.3,-1.0,2.11,2023-12-29
Slovenia,62,-0.2,4.5,4.2,4.8,-3.0,72.3,-1.0,2.11,2023-12-30
Slovenia,62,-0.2,4.5,4.2,4.8,-3.0,72.3,-1.0,2.11,2023-12-31
Slovenia,62,-0.2,4.5,4.2,4.8,-3.0,72.3,-1.0,2.11,2024-01-01
Slovenia,60,-0.2,4.5,4.2,4.8,-3.0,72.3,-1.0,2.11,2024-01-02
Slovenia,60,-0.2,4.5,4.2,4.8,-3.0,72.3,-1.0,2.11,2024-01-03
Slovenia,60,-0.2,4.5,4.2,4.8,-3.0,72.3,-1.0,2.11,2024-01-04
Slovenia,60,-0.2,4.5,4.2,4.8,-3.0,72.3,-1.0,2.11,2024-01-05
Slovenia,60,-0.2,4.5,4.2,4.8,-3.0,72.3,-1.0,2.11,2024-01-06
Slovenia,60,-0.2,4.5,4.2,4.8,-3.0,72.3,-1.0,2.11,2024-01-07
Slovenia,60,-0.2,4.5,4.2,4.8,-3.7,72.3,-1.0,2.11,2024-01-08
