country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Somalia,8,,,6.21,,,,,17.6,2023-11-23
Somalia,8,,,6.21,,,,,17.6,2023-11-24
Somalia,8,,,6.21,,,,,17.6,2023-11-25
Somalia,8,,,6.21,,,,,17.6,2023-11-26
Somalia,8,,,6.21,,,,,17.6,2023-11-27
Somalia,8,,,6.21,,,,,17.6,2023-11-28
Somalia,8,,,6.21,,,,,17.6,2023-11-29
Somalia,8,,,6.21,,,,,17.6,2023-11-30
Somalia,8,,,6.21,,,,,17.6,2023-12-01
Somalia,8,,,6.21,,,,,17.6,2023-12-02
Somalia,8,,,6.21,,,,,17.6,2023-12-03
Somalia,8,,,6.21,,,,,17.6,2023-12-04
Somalia,8,,,6.21,,,,,17.6,2023-12-05
