country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
South Africa,406,0.6,8.25,5.9,31.9,-4.2,67.4,-0.5,62.03,2023-11-23
South Africa,406,0.6,8.25,5.9,31.9,-4.2,67.4,-0.5,62.03,2023-11-24
South Africa,406,0.6,8.25,5.9,31.9,-4.2,67.4,-0.5,62.03,2023-11-25
South Africa,406,0.6,8.25,5.9,31.9,-4.2,67.4,-0.5,62.03,2023-11-26
South Africa,406,0.6,8.25,5.9,31.9,-4.2,67.4,-0.5,62.03,2023-11-27
South Africa,406,0.6,8.25,5.9,31.9,-4.2,67.4,-0.5,62.03,2023-11-28
South Africa,406,0.6,8.25,5.9,31.9,-4.2,67.4,-0.5,62.03,2023-11-29
South Africa,406,0.6,8.25,5.9,31.9,-4.2,67.4,-0.5,62.03,2023-11-30
South Africa,406,0.6,8.25,5.9,31.9,-4.2,67.4,-0.5,62.03,2023-12-01
South Africa,406,0.6,8.25,5.9,31.9,-4.2,67.4,-0.5,62.03,2023-12-02
South Africa,406,0.6,8.25,5.9,31.9,-4.2,67.4,-0.5,62.03,2023-12-03
