country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
South Korea,1665,0.6,3.5,3.8,2.5,-7.0,49.6,3.2,51.69,2023-11-23
South Korea,1665,0.6,3.5,3.8,2.5,-7.0,49.6,3.2,51.69,2023-11-24
South Korea,1665,0.6,3.5,3.8,2.5,-7.0,49.6,3.2,51.69,2023-11-25
South Korea,1665,0.6,3.5,3.8,2.5,-7.0,49.6,3.2,51.69,2023-11-26
South Korea,1665,0.6,3.5,3.8,2.5,-7.0,49.6,3.2,51.69,2023-11-27
South Korea,1665,0.6,3.5,3.8,2.5,-7.0,49.6,3.2,51.69,2023-11-28
South Korea,1665,0.6,3.5,3.8,2.5,-7.0,49.6,3.2,51.69,2023-11-29
South Korea,1665,0.6,3.5,3.8,2.5,-7.0,49.6,3.2,51.69,2023-11-30
South Korea,1665,0.6,3.5,3.8,2.5,-7.0,49.6,3.2,51.69,2023-12-01
South Korea,1665,0.6,3.5,3.8,2.5,-7.0,49.6,3.2,51.69,2023-12-02
South Korea,1665,0.6,3.5,3.8,2.5,-7.0,49.6,3.2,51.69,2023-12-03
South Korea,1665,0.6,3.5,3.8,2.5,-7.0,49.6,3.2,51.69,2023-12-04
South Korea,1665,0.6,3.5,3.3,2.5,-7.0,49.6,3.2,51.69,2023-12-05
South Korea,1665,0.6,3.5,3.3,2.5,-7.0,49.6,3.2,51.69,2023-12-06
South Korea,1665,0.6,3.5,3.3,2.5,-7.0,49.6,3.2,51.69,2023-12-07
South Korea,1665,0.6,3.5,3.3,2.5,-7.0,49.6,3.2,51.69,2023-12-08
South Korea,1665,0.6,3.5,3.3,2.5,-7.0,49.6,3.2,51.69,2023-12-09
South Korea,1665,0.6,3.5,3.3,2.5,-7.0,49.6,3.2,51.69,2023-12-10
South Korea,1665,0.6,3.5,3.3,2.5,-7.0,49.6,3.2,51.69,2023-12-11
South Korea,1665,0.6,3.5,3.3,2.5,-7.0,49.6,3.2,51.69,2023-12-12
South Korea,1665,0.6,3.5,3.3,2.8,-7.0,49.6,3.2,51.69,2023-12-13
South Korea,1665,0.6,3.5,3.3,2.8,-7.0,49.6,3.2,51.69,2023-12-14
South Korea,1665,0.6,3.5,3.3,2.8,-7.0,49.6,3.2,51.69,2023-12-15
South Korea,1665,0.6,3.5,3.3,2.8,-7.0,49.6,3.2,51.69,2023-12-16
South Korea,1665,0.6,3.5,3.3,2.8,-7.0,49.6,3.2,51.69,2023-12-17
South Korea,1665,0.6,3.5,3.3,2.8,-7.0,49.6,3.2,51.69,2023-12-18
South Korea,1665,0.6,3.5,3.3,2.8,-7.0,49.6,3.2,51.69,2023-12-19
South Korea,1665,0.6,3.5,3.3,2.8,-7.0,49.6,3.2,51.69,2023-12-20
South Korea,1665,0.6,3.5,3.3,2.8,-7.0,49.6,3.2,51.69,2023-12-21
South Korea,1665,0.6,3.5,3.3,2.8,-7.0,49.6,3.2,51.69,2023-12-22
South Korea,1665,0.6,3.5,3.3,2.8,-7.0,49.6,3.2,51.69,2023-12-23
South Korea,1665,0.6,3.5,3.3,2.8,-7.0,49.6,3.2,51.69,2023-12-24
South Korea,1665,0.6,3.5,3.3,2.8,-7.0,49.6,3.2,51.69,2023-12-25
South Korea,1665,0.6,3.5,3.3,2.8,-7.0,49.6,3.2,51.69,2023-12-26
South Korea,1665,0.6,3.5,3.3,2.8,-7.0,49.6,3.2,51.69,2023-12-27
South Korea,1665,0.6,3.5,3.3,2.8,-7.0,49.6,3.2,51.69,2023-12-28
South Korea,1665,0.6,3.5,3.2,2.8,-7.0,49.6,3.2,51.69,2023-12-29
South Korea,1665,0.6,3.5,3.2,2.8,-7.0,49.6,3.2,51.69,2023-12-30
South Korea,1665,0.6,3.5,3.2,2.8,-7.0,49.6,3.2,51.69,2023-12-31
South Korea,1665,0.6,3.5,3.2,2.8,-7.0,49.6,3.2,51.69,2024-01-01
South Korea,1674,0.6,3.5,3.2,2.8,-7.0,49.6,3.2,51.69,2024-01-02
South Korea,1674,0.6,3.5,3.2,2.8,-7.0,49.6,1.8,51.69,2024-01-03
South Korea,1674,0.6,3.5,3.2,2.8,-7.0,49.6,1.8,51.69,2024-01-04
South Korea,1674,0.6,3.5,3.2,2.8,-7.0,49.6,1.8,51.69,2024-01-05
South Korea,1674,0.6,3.5,3.2,2.8,-7.0,49.6,1.8,51.69,2024-01-06
South Korea,1674,0.6,3.5,3.2,2.8,-7.0,49.6,1.8,51.69,2024-01-07
South Korea,1674,0.6,3.5,3.2,2.8,-7.0,49.6,1.8,51.69,2024-01-08
South Korea,1674,0.6,3.5,3.2,2.8,-7.0,49.6,1.8,51.69,2024-01-09
South Korea,1674,0.6,3.5,3.2,3.3,-7.0,49.6,1.8,51.69,2024-01-10
South Korea,1674,0.6,3.5,3.2,3.3,-7.0,49.6,1.8,51.69,2024-01-11
South Korea,1674,0.6,3.5,3.2,3.3,-7.0,49.6,1.8,51.69,2024-01-12
South Korea,1674,0.6,3.5,3.2,3.3,-7.0,49.6,1.8,51.69,2024-01-13
South Korea,1674,0.6,3.5,3.2,3.3,-7.0,49.6,1.8,51.69,2024-01-14
South Korea,1674,0.6,3.5,3.2,3.3,-7.0,49.6,1.8,51.69,2024-01-15
South Korea,1674,0.6,3.5,3.2,3.3,-7.0,49.6,1.8,51.69,2024-01-16
South Korea,1674,0.6,3.5,3.2,3.3,-7.0,49.6,1.8,51.69,2024-01-17
South Korea,1674,0.6,3.5,3.2,3.3,-7.0,49.6,1.8,51.69,2024-01-18
South Korea,1674,0.6,3.5,3.2,3.3,-7.0,49.6,1.8,51.69,2024-01-19
South Korea,1674,0.6,3.5,3.2,3.3,-7.0,49.6,1.8,51.69,2024-01-20
South Korea,1674,0.6,3.5,3.2,3.3,-7.0,49.6,1.8,51.69,2024-01-21
South Korea,1674,0.6,3.5,3.2,3.3,-7.0,49.6,1.8,51.69,2024-01-22
South Korea,1674,0.6,3.5,3.2,3.3,-7.0,49.6,1.8,51.69,2024-01-23
South Korea,1674,0.6,3.5,3.2,3.3,-7.0,49.6,1.8,51.69,2024-01-24
South Korea,1674,0.6,3.5,3.2,3.3,-7.0,49.6,1.8,51.69,2024-01-25
South Korea,1674,0.6,3.5,3.2,3.3,-7.0,49.6,1.8,51.69,2024-01-26
South Korea,1674,0.6,3.5,3.2,3.3,-7.0,49.6,1.8,51.69,2024-01-27
South Korea,1674,0.6,3.5,3.2,3.3,-7.0,49.6,1.8,51.69,2024-01-28
South Korea,1674,0.6,3.5,3.2,3.3,-7.0,49.6,1.8,51.69,2024-01-29
South Korea,1674,0.6,3.5,3.2,3.3,-7.0,49.6,1.8,51.69,2024-01-30
South Korea,1674,0.6,3.5,3.2,3.3,-7.0,49.6,1.8,51.69,2024-01-31
South Korea,1674,0.6,3.5,3.2,3.3,-7.0,49.6,1.8,51.69,2024-02-01
South Korea,1674,0.6,3.5,2.8,3.3,-7.0,49.6,1.8,51.69,2024-02-02
South Korea,1674,0.6,3.5,2.8,3.3,-7.0,49.6,1.8,51.69,2024-02-03
South Korea,1674,0.6,3.5,2.8,3.3,-7.0,49.6,1.8,51.69,2024-02-04
South Korea,1674,0.6,3.5,2.8,3.3,-7.0,49.6,1.8,51.69,2024-02-05
South Korea,1674,0.6,3.5,2.8,3.3,-7.0,49.6,1.8,51.69,2024-02-06
South Korea,1674,0.6,3.5,2.8,3.3,-7.0,49.6,1.8,51.69,2024-02-07
South Korea,1674,0.6,3.5,2.8,3.3,-7.0,49.6,1.8,51.69,2024-02-08
South Korea,1674,0.6,3.5,2.8,3.3,-7.0,49.6,1.8,51.69,2024-02-09
South Korea,1674,0.6,3.5,2.8,3.3,-7.0,49.6,1.8,51.69,2024-02-10
South Korea,1674,0.6,3.5,2.8,3.3,-7.0,49.6,1.8,51.69,2024-02-11
South Korea,1674,0.6,3.5,2.8,3.3,-7.0,49.6,1.8,51.69,2024-02-12
South Korea,1674,0.6,3.5,2.8,3.3,-7.0,49.6,1.8,51.69,2024-02-13
South Korea,1674,0.6,3.5,2.8,3.3,-7.0,49.6,1.8,51.69,2024-02-14
South Korea,1674,0.6,3.5,2.8,3.3,-7.0,49.6,1.8,51.69,2024-02-15
South Korea,1674,0.6,3.5,2.8,3.0,-7.0,49.6,1.8,51.69,2024-02-16
South Korea,1674,0.6,3.5,2.8,3.0,-7.0,49.6,1.8,51.69,2024-02-17
