country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Sri Lanka,74,1.4,10.0,1.5,5.2,-10.2,113.8,-1.9,22.18,2023-11-23
Sri Lanka,74,1.4,9.0,1.5,5.2,-10.2,113.8,-1.9,22.18,2023-11-24
Sri Lanka,74,1.4,9.0,1.5,5.2,-10.2,113.8,-1.9,22.18,2023-11-25
Sri Lanka,74,1.4,9.0,1.5,5.2,-10.2,113.8,-1.9,22.18,2023-11-26
Sri Lanka,74,1.4,9.0,1.5,5.2,-10.2,113.8,-1.9,22.18,2023-11-27
Sri Lanka,74,1.4,9.0,1.5,5.2,-10.2,113.8,-1.9,22.18,2023-11-28
Sri Lanka,74,1.4,9.0,1.5,5.2,-10.2,113.8,-1.9,22.18,2023-11-29
Sri Lanka,74,1.4,9.0,3.4,5.2,-10.2,113.8,-1.9,22.18,2023-11-30
Sri Lanka,74,1.4,9.0,3.4,5.2,-10.2,113.8,-1.9,22.18,2023-12-01
Sri Lanka,74,1.4,9.0,3.4,5.2,-10.2,113.8,-1.9,22.18,2023-12-02
Sri Lanka,74,1.4,9.0,3.4,5.2,-10.2,113.8,-1.9,22.18,2023-12-03
Sri Lanka,74,1.4,9.0,3.4,5.2,-10.2,113.8,-1.9,22.18,2023-12-04
Sri Lanka,74,1.4,9.0,3.4,5.2,-10.2,113.8,-1.9,22.18,2023-12-05
Sri Lanka,74,1.4,9.0,3.4,5.2,-10.2,113.8,-1.9,22.18,2023-12-06
Sri Lanka,74,1.4,9.0,3.4,5.2,-10.2,113.8,-1.9,22.18,2023-12-07
Sri Lanka,74,1.4,9.0,3.4,5.2,-10.2,113.8,-1.9,22.18,2023-12-08
Sri Lanka,74,1.4,9.0,3.4,5.2,-10.2,113.8,-1.9,22.18,2023-12-09
Sri Lanka,74,1.4,9.0,3.4,5.2,-10.2,113.8,-1.9,22.18,2023-12-10
Sri Lanka,74,1.4,9.0,3.4,5.2,-10.2,113.8,-1.9,22.18,2023-12-11
Sri Lanka,74,1.4,9.0,3.4,5.2,-10.2,113.8,-1.9,22.18,2023-12-12
Sri Lanka,74,1.4,9.0,3.4,5.2,-10.2,113.8,-1.9,22.18,2023-12-13
Sri Lanka,74,1.4,9.0,3.4,5.2,-10.2,113.8,-1.9,22.18,2023-12-14
Sri Lanka,74,1.4,9.0,3.4,5.2,-10.2,113.8,-1.9,22.18,2023-12-15
Sri Lanka,74,1.4,9.0,3.4,5.2,-10.2,113.8,-1.9,22.18,2023-12-16
Sri Lanka,74,1.4,9.0,3.4,5.2,-10.2,113.8,-1.9,22.18,2023-12-17
Sri Lanka,74,1.4,9.0,3.4,5.2,-10.2,113.8,-1.9,22.18,2023-12-18
Sri Lanka,74,1.4,9.0,3.4,5.2,-10.2,113.8,-1.9,22.18,2023-12-19
Sri Lanka,74,1.4,9.0,3.4,5.2,-10.2,113.8,-1.9,22.18,2023-12-20
Sri Lanka,74,1.4,9.0,3.4,5.2,-10.2,113.8,-1.9,22.18,2023-12-21
Sri Lanka,74,1.4,9.0,3.4,5.2,-10.2,113.8,-1.9,22.18,2023-12-22
Sri Lanka,74,1.4,9.0,3.4,5.2,-10.2,113.8,-1.9,22.18,2023-12-23
Sri Lanka,74,1.4,9.0,3.4,5.2,-10.2,113.8,-1.9,22.18,2023-12-24
Sri Lanka,74,1.4,9.0,3.4,5.2,-10.2,113.8,-1.9,22.18,2023-12-25
Sri Lanka,74,1.4,9.0,3.4,5.2,-10.2,113.8,-1.9,22.18,2023-12-26
Sri Lanka,74,1.4,9.0,3.4,5.2,-10.2,113.8,-1.9,22.18,2023-12-27
Sri Lanka,74,1.4,9.0,3.4,5.2,-10.2,113.8,-1.9,22.18,2023-12-28
Sri Lanka,74,1.4,9.0,4.0,4.7,-10.2,113.8,-1.9,22.18,2023-12-29
Sri Lanka,74,1.4,9.0,4.0,4.7,-10.2,113.8,-1.9,22.18,2023-12-30
Sri Lanka,74,1.4,9.0,4.0,4.7,-10.2,113.8,-1.9,22.18,2023-12-31
Sri Lanka,74,1.4,9.0,4.0,4.7,-10.2,113.8,-1.9,22.18,2024-01-01
Sri Lanka,74,1.4,9.0,4.0,4.7,-10.2,113.8,-1.9,22.18,2024-01-02
Sri Lanka,74,1.4,9.0,4.0,4.7,-10.2,113.8,-1.9,22.18,2024-01-03
Sri Lanka,74,1.4,9.0,4.0,4.7,-10.2,113.8,-1.9,22.18,2024-01-04
Sri Lanka,74,1.4,9.0,4.0,4.7,-10.2,113.8,-1.9,22.18,2024-01-05
Sri Lanka,74,1.4,9.0,4.0,4.7,-10.2,113.8,-1.9,22.18,2024-01-06
Sri Lanka,74,1.4,9.0,4.0,4.7,-10.2,113.8,-1.9,22.18,2024-01-07
Sri Lanka,74,1.4,9.0,4.0,4.7,-10.2,113.8,-1.9,22.18,2024-01-08
Sri Lanka,74,1.4,9.0,4.0,4.7,-10.2,113.8,-1.9,22.18,2024-01-09
Sri Lanka,74,1.4,9.0,4.0,4.7,-10.2,113.8,-1.9,22.18,2024-01-10
