country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-11-23
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-11-24
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-11-25
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-11-26
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-11-27
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-11-28
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-11-29
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-11-30
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-12-01
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-12-02
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-12-03
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-12-04
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-12-05
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-12-06
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-12-07
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-12-08
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-12-09
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-12-10
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-12-11
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-12-12
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-12-13
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-12-14
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-12-15
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-12-16
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-12-17
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-12-18
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-12-19
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-12-20
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-12-21
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-12-22
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-12-23
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-12-24
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-12-25
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-12-26
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-12-27
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-12-28
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-12-29
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-12-30
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2023-12-31
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2024-01-01
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2024-01-02
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2024-01-03
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2024-01-04
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2024-01-05
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2024-01-06
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2024-01-07
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2024-01-08
Sudan,52,,28.3,63.3,18.7,-1.5,186.2,-3.4,46.87,2024-01-09
