country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Switzerland,808,0.0,1.75,1.7,2.0,1.2,41.4,9.9,8.74,2023-11-23
Switzerland,808,0.0,1.75,1.7,2.0,1.2,41.4,9.9,8.74,2023-11-24
Switzerland,808,0.0,1.75,1.7,2.0,1.2,41.4,9.9,8.74,2023-11-25
Switzerland,808,0.0,1.75,1.7,2.0,1.2,41.4,9.9,8.74,2023-11-26
Switzerland,808,0.0,1.75,1.7,2.0,1.2,41.4,9.9,8.74,2023-11-27
Switzerland,808,0.0,1.75,1.7,2.0,1.2,41.4,9.9,8.74,2023-11-28
Switzerland,808,0.0,1.75,1.7,2.0,1.2,41.4,9.9,8.74,2023-11-29
Switzerland,808,0.0,1.75,1.7,2.0,1.2,41.4,9.9,8.74,2023-11-30
Switzerland,808,0.3,1.75,1.7,2.0,1.2,41.4,9.9,8.74,2023-12-01
Switzerland,808,0.3,1.75,1.7,2.0,1.2,41.4,9.9,8.74,2023-12-02
Switzerland,808,0.3,1.75,1.7,2.0,1.2,41.4,9.9,8.74,2023-12-03
Switzerland,808,0.3,1.75,1.4,2.0,1.2,41.4,9.9,8.74,2023-12-04
Switzerland,808,0.3,1.75,1.4,2.0,1.2,41.4,9.9,8.74,2023-12-05
Switzerland,808,0.3,1.75,1.4,2.0,1.2,41.4,9.9,8.74,2023-12-06
Switzerland,808,0.3,1.75,1.4,2.1,1.2,41.4,9.9,8.74,2023-12-07
Switzerland,808,0.3,1.75,1.4,2.1,1.2,41.4,9.9,8.74,2023-12-08
Switzerland,808,0.3,1.75,1.4,2.1,1.2,41.4,9.9,8.74,2023-12-09
Switzerland,808,0.3,1.75,1.4,2.1,1.2,41.4,9.9,8.74,2023-12-10
Switzerland,808,0.3,1.75,1.4,2.1,1.2,41.4,9.9,8.74,2023-12-11
