country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Syria,65,,,79.1,9.6,-11.4,30.01,-0.9,22.13,2023-11-23
Syria,65,,,79.1,9.6,-11.4,30.01,-0.9,22.13,2023-11-24
Syria,65,,,79.1,9.6,-11.4,30.01,-0.9,22.13,2023-11-25
Syria,65,,,79.1,9.6,-11.4,30.01,-0.9,22.13,2023-11-26
Syria,65,,,79.1,9.6,-11.4,30.01,-0.9,22.13,2023-11-27
Syria,65,,,79.1,9.6,-11.4,30.01,-0.9,22.13,2023-11-28
Syria,65,,,79.1,9.6,-11.4,30.01,-0.9,22.13,2023-11-29
Syria,65,,,79.1,9.6,-11.4,30.01,-0.9,22.13,2023-11-30
Syria,65,,,79.1,9.6,-11.4,30.01,-0.9,22.13,2023-12-01
Syria,65,,,79.1,9.6,-11.4,30.01,-0.9,22.13,2023-12-02
Syria,65,,,79.1,9.6,-11.4,30.01,-0.9,22.13,2023-12-03
Syria,65,,,79.1,9.6,-11.4,30.01,-0.9,22.13,2023-12-04
Syria,65,,,79.1,9.6,-11.4,30.01,-0.9,22.13,2023-12-05
Syria,65,,,79.1,9.6,-11.4,30.01,-0.9,22.13,2023-12-06
Syria,65,,,79.1,9.6,-11.4,30.01,-0.9,22.13,2023-12-07
Syria,65,,,79.1,9.6,-11.4,30.01,-0.9,22.13,2023-12-08
Syria,65,,,79.1,9.6,-11.4,30.01,-0.9,22.13,2023-12-09
Syria,65,,,79.1,9.6,-11.4,30.01,-0.9,22.13,2023-12-10
Syria,65,,,79.1,9.6,-11.4,30.01,-0.9,22.13,2023-12-11
Syria,65,,,79.1,9.6,-11.4,30.01,-0.9,22.13,2023-12-12
Syria,65,,,79.1,9.6,-11.4,30.01,-0.9,22.13,2023-12-13
Syria,65,,,79.1,9.6,-11.4,30.01,-0.9,22.13,2023-12-14
Syria,65,,,79.1,9.6,-11.4,30.01,-0.9,22.13,2023-12-15
Syria,65,,,79.1,9.6,-11.4,30.01,-0.9,22.13,2023-12-16
Syria,65,,,79.1,9.6,-11.4,30.01,-0.9,22.13,2023-12-17
Syria,65,,,79.1,9.6,-11.4,30.01,-0.9,22.13,2023-12-18
