country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Taiwan,775,1.38,1.88,3.05,3.41,-0.5,28.2,14.8,23.26,2023-11-23
Taiwan,775,1.38,1.88,3.05,3.41,-0.5,28.2,14.8,23.26,2023-11-24
Taiwan,775,1.38,1.88,3.05,3.41,-0.5,28.2,14.8,23.26,2023-11-25
Taiwan,775,1.38,1.88,3.05,3.41,-0.5,28.2,14.8,23.26,2023-11-26
Taiwan,775,1.38,1.88,3.05,3.41,-0.5,28.2,14.8,23.26,2023-11-27
Taiwan,775,1.9,1.88,3.05,3.41,-0.5,28.2,14.8,23.26,2023-11-28
Taiwan,775,1.9,1.88,3.05,3.41,-0.5,28.2,14.8,23.26,2023-11-29
Taiwan,775,1.9,1.88,3.05,3.41,-0.5,28.2,14.8,23.26,2023-11-30
Taiwan,775,1.9,1.88,3.05,3.41,-0.5,28.2,14.8,23.26,2023-12-01
Taiwan,775,1.9,1.88,3.05,3.41,-0.5,28.2,14.8,23.26,2023-12-02
Taiwan,775,1.9,1.88,3.05,3.41,-0.5,28.2,14.8,23.26,2023-12-03
Taiwan,775,1.9,1.88,3.05,3.41,-0.5,28.2,14.8,23.26,2023-12-04
Taiwan,775,1.9,1.88,3.05,3.41,-0.5,28.2,14.8,23.26,2023-12-05
Taiwan,775,1.9,1.88,2.9,3.41,-0.5,28.2,14.8,23.26,2023-12-06
Taiwan,775,1.9,1.88,2.9,3.41,-0.5,28.2,14.8,23.26,2023-12-07
