country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Tajikistan,10,,10.0,5.1,7.8,0.3,34.6,6.2,9.72,2023-11-23
Tajikistan,10,,10.0,5.1,7.8,0.3,34.6,6.2,9.72,2023-11-24
Tajikistan,10,,10.0,5.1,7.8,0.3,34.6,6.2,9.72,2023-11-25
Tajikistan,10,,10.0,5.1,7.8,0.3,34.6,6.2,9.72,2023-11-26
Tajikistan,10,,10.0,5.1,7.8,0.3,34.6,6.2,9.72,2023-11-27
Tajikistan,10,,10.0,5.1,7.8,0.3,34.6,6.2,9.72,2023-11-28
Tajikistan,10,,10.0,5.1,7.8,0.3,34.6,6.2,9.72,2023-11-29
Tajikistan,10,,10.0,5.1,7.8,0.3,34.6,6.2,9.72,2023-11-30
Tajikistan,10,,10.0,5.1,7.8,0.3,34.6,6.2,9.72,2023-12-01
Tajikistan,10,,10.0,5.1,7.8,0.3,34.6,6.2,9.72,2023-12-02
Tajikistan,10,,10.0,5.1,7.8,0.3,34.6,6.2,9.72,2023-12-03
Tajikistan,10,,10.0,4.4,7.8,0.3,34.6,6.2,9.72,2023-12-04
Tajikistan,10,,10.0,4.4,7.8,0.3,34.6,6.2,9.72,2023-12-05
Tajikistan,10,,10.0,4.4,7.8,0.3,34.6,6.2,9.72,2023-12-06
Tajikistan,10,,10.0,4.4,7.8,0.3,34.6,6.2,9.72,2023-12-07
