country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-11-23
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-11-24
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-11-25
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-11-26
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-11-27
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-11-28
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-11-29
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-11-30
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-12-01
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-12-02
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-12-03
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-12-04
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-12-05
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-12-06
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-12-07
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-12-08
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-12-09
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-12-10
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-12-11
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-12-12
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-12-13
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-12-14
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-12-15
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-12-16
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-12-17
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-12-18
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-12-19
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-12-20
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-12-21
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-12-22
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-12-23
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-12-24
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-12-25
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-12-26
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-12-27
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-12-28
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-12-29
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-12-30
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2023-12-31
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2024-01-01
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2024-01-02
Tanzania,76,1.5,5.0,3.2,8.9,-4.0,38.3,-7.1,61.74,2024-01-03
