country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Thailand,495,0.8,2.5,-0.31,1.06,-4.9,60.96,-0.5,66.09,2023-11-23
Thailand,495,0.8,2.5,-0.31,1.06,-4.9,60.96,-0.5,66.09,2023-11-24
Thailand,495,0.8,2.5,-0.31,1.06,-4.9,60.96,-0.5,66.09,2023-11-25
Thailand,495,0.8,2.5,-0.31,1.06,-4.9,60.96,-0.5,66.09,2023-11-26
Thailand,495,0.8,2.5,-0.31,0.99,-4.9,60.96,-0.5,66.09,2023-11-27
Thailand,495,0.8,2.5,-0.31,0.99,-4.9,60.96,-0.5,66.09,2023-11-28
Thailand,495,0.8,2.5,-0.31,0.99,-4.9,60.96,-0.5,66.09,2023-11-29
Thailand,495,0.8,2.5,-0.31,0.99,-4.9,60.96,-0.5,66.09,2023-11-30
Thailand,495,0.8,2.5,-0.31,0.99,-4.9,60.96,-0.5,66.09,2023-12-01
Thailand,495,0.8,2.5,-0.31,0.99,-4.9,60.96,-0.5,66.09,2023-12-02
Thailand,495,0.8,2.5,-0.31,0.99,-4.9,60.96,-0.5,66.09,2023-12-03
Thailand,495,0.8,2.5,-0.31,0.99,-4.9,60.96,-0.5,66.09,2023-12-04
Thailand,495,0.8,2.5,-0.31,0.99,-4.9,60.96,-0.5,66.09,2023-12-05
Thailand,495,0.8,2.5,-0.31,0.99,-4.9,60.96,-0.5,66.09,2023-12-06
Thailand,495,0.8,2.5,-0.44,0.99,-4.9,60.96,-0.5,66.09,2023-12-07
Thailand,495,0.8,2.5,-0.44,0.99,-4.9,60.96,-0.5,66.09,2023-12-08
Thailand,495,0.8,2.5,-0.44,0.99,-4.9,60.96,-0.5,66.09,2023-12-09
Thailand,495,0.8,2.5,-0.44,0.99,-4.9,60.96,-0.5,66.09,2023-12-10
Thailand,495,0.8,2.5,-0.44,0.99,-4.9,60.96,-0.5,66.09,2023-12-11
Thailand,495,0.8,2.5,-0.44,0.99,-4.9,60.96,-0.5,66.09,2023-12-12
Thailand,495,0.8,2.5,-0.44,0.99,-4.9,60.96,-0.5,66.09,2023-12-13
Thailand,495,0.8,2.5,-0.44,0.99,-4.9,60.96,-0.5,66.09,2023-12-14
Thailand,495,0.8,2.5,-0.44,0.99,-4.9,60.96,-0.5,66.09,2023-12-15
Thailand,495,0.8,2.5,-0.44,0.99,-4.9,60.96,-0.5,66.09,2023-12-16
Thailand,495,0.8,2.5,-0.44,0.99,-4.9,60.96,-0.5,66.09,2023-12-17
Thailand,495,0.8,2.5,-0.44,0.99,-4.9,60.96,-0.5,66.09,2023-12-18
Thailand,495,0.8,2.5,-0.44,0.99,-4.9,60.96,-0.5,66.09,2023-12-19
