country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Tunisia,47,0.1,8.0,8.6,15.6,-7.7,80.0,-8.6,11.85,2023-11-23
Tunisia,47,0.1,8.0,8.6,15.6,-7.7,80.0,-8.6,11.85,2023-11-24
Tunisia,47,0.1,8.0,8.6,15.6,-7.7,80.0,-8.6,11.85,2023-11-25
Tunisia,47,0.1,8.0,8.6,15.6,-7.7,80.0,-8.6,11.85,2023-11-26
Tunisia,47,0.1,8.0,8.6,15.6,-7.7,80.0,-8.6,11.85,2023-11-27
Tunisia,47,0.1,8.0,8.6,15.6,-7.7,80.0,-8.6,11.85,2023-11-28
Tunisia,47,0.1,8.0,8.6,15.6,-7.7,80.0,-8.6,11.85,2023-11-29
Tunisia,47,0.1,8.0,8.6,15.6,-7.7,80.0,-8.6,11.85,2023-11-30
Tunisia,47,0.1,8.0,8.6,15.6,-7.7,80.0,-8.6,11.85,2023-12-01
Tunisia,47,0.1,8.0,8.6,15.6,-7.7,80.0,-8.6,11.85,2023-12-02
Tunisia,47,0.1,8.0,8.6,15.6,-7.7,80.0,-8.6,11.85,2023-12-03
Tunisia,47,0.1,8.0,8.7,15.6,-7.7,80.0,-8.6,11.85,2023-12-04
Tunisia,47,0.1,8.0,8.3,15.6,-7.7,80.0,-8.6,11.85,2023-12-05
Tunisia,47,0.1,8.0,8.3,15.6,-7.7,79.4,-8.6,11.85,2023-12-06
Tunisia,47,0.1,8.0,8.3,15.6,-7.7,79.4,-8.6,11.85,2023-12-07
Tunisia,47,0.1,8.0,8.3,15.6,-7.7,79.4,-8.6,11.85,2023-12-08
Tunisia,47,0.1,8.0,8.3,15.6,-7.7,79.4,-8.6,11.85,2023-12-09
Tunisia,47,0.1,8.0,8.3,15.6,-7.7,79.4,-8.6,11.85,2023-12-10
Tunisia,47,0.1,8.0,8.3,15.6,-7.7,79.4,-8.6,11.85,2023-12-11
Tunisia,47,0.1,8.0,8.3,15.6,-7.7,79.4,-8.6,11.85,2023-12-12
Tunisia,47,0.1,8.0,8.3,15.6,-7.7,79.4,-8.6,11.85,2023-12-13
Tunisia,47,0.1,8.0,8.3,15.6,-7.7,79.4,-8.6,11.85,2023-12-14
Tunisia,47,0.1,8.0,8.3,15.6,-7.7,79.4,-8.6,11.85,2023-12-15
Tunisia,47,0.1,8.0,8.3,15.6,-7.7,79.4,-8.6,11.85,2023-12-16
Tunisia,47,0.1,8.0,8.3,15.6,-7.7,79.4,-8.6,11.85,2023-12-17
Tunisia,47,0.1,8.0,8.3,15.6,-7.7,79.4,-8.6,11.85,2023-12-18
Tunisia,47,0.1,8.0,8.3,15.6,-7.7,79.4,-8.6,11.85,2023-12-19
Tunisia,47,0.1,8.0,8.3,15.6,-7.7,79.4,-8.6,11.85,2023-12-20
Tunisia,47,0.1,8.0,8.3,15.6,-7.7,79.4,-8.6,11.85,2023-12-21
Tunisia,47,0.1,8.0,8.3,15.6,-7.7,79.4,-8.6,11.85,2023-12-22
Tunisia,47,0.1,8.0,8.3,15.6,-7.7,79.4,-8.6,11.85,2023-12-23
Tunisia,47,0.1,8.0,8.3,15.6,-7.7,79.4,-8.6,11.85,2023-12-24
Tunisia,47,0.1,8.0,8.3,15.6,-7.7,79.4,-8.6,11.85,2023-12-25
Tunisia,47,0.1,8.0,8.3,15.6,-7.7,79.4,-8.6,11.85,2023-12-26
Tunisia,47,0.1,8.0,8.3,15.6,-7.7,79.4,-8.6,11.85,2023-12-27
Tunisia,47,0.1,8.0,8.3,15.6,-7.7,79.4,-8.6,11.85,2023-12-28
Tunisia,47,0.1,8.0,8.3,15.6,-7.7,79.4,-8.6,11.85,2023-12-29
Tunisia,47,0.1,8.0,8.3,15.6,-7.7,79.4,-8.6,11.85,2023-12-30
Tunisia,47,0.1,8.0,8.3,15.6,-7.7,79.4,-8.6,11.85,2023-12-31
Tunisia,47,0.1,8.0,8.3,15.6,-7.7,79.4,-8.6,11.85,2024-01-01
Tunisia,46,0.1,8.0,8.3,15.6,-7.7,79.4,-8.6,11.85,2024-01-02
Tunisia,46,0.1,8.0,8.3,15.6,-7.7,79.4,-8.6,11.85,2024-01-03
Tunisia,46,0.1,8.0,8.3,15.6,-7.7,79.4,-8.6,11.85,2024-01-04
Tunisia,46,0.1,8.0,8.1,15.6,-7.7,79.4,-8.6,11.85,2024-01-05
Tunisia,46,0.1,8.0,8.1,15.6,-7.7,79.4,-8.6,11.85,2024-01-06
Tunisia,46,0.1,8.0,8.1,15.6,-7.7,79.4,-8.6,11.85,2024-01-07
Tunisia,46,0.1,8.0,8.1,15.6,-7.7,79.4,-8.6,11.85,2024-01-08
Tunisia,46,0.1,8.0,8.1,15.6,-7.7,79.4,-8.6,11.85,2024-01-09
Tunisia,46,0.1,8.0,8.1,15.6,-7.7,79.4,-8.6,11.85,2024-01-10
Tunisia,46,0.1,8.0,8.1,15.6,-7.7,79.4,-8.6,11.85,2024-01-11
Tunisia,46,0.1,8.0,8.1,15.6,-7.7,79.4,-8.6,11.85,2024-01-12
Tunisia,46,0.1,8.0,8.1,15.6,-7.7,79.4,-8.6,11.85,2024-01-13
Tunisia,46,0.1,8.0,8.1,15.6,-7.7,79.4,-8.6,11.85,2024-01-14
Tunisia,46,0.1,8.0,8.1,15.6,-7.7,79.4,-8.6,11.85,2024-01-15
Tunisia,46,0.1,8.0,8.1,15.6,-7.7,79.4,-8.6,11.85,2024-01-16
Tunisia,46,0.1,8.0,8.1,15.6,-7.7,79.4,-8.6,11.85,2024-01-17
Tunisia,46,0.1,8.0,8.1,15.6,-7.7,79.4,-8.6,11.85,2024-01-18
Tunisia,46,0.1,8.0,8.1,15.8,-7.7,79.4,-8.6,11.85,2024-01-19
Tunisia,46,0.1,8.0,8.1,15.8,-7.7,79.4,-8.6,11.85,2024-01-20
Tunisia,46,0.1,8.0,8.1,15.8,-7.7,79.4,-8.6,11.85,2024-01-21
Tunisia,46,0.1,8.0,8.1,15.8,-7.7,79.4,-8.6,11.85,2024-01-22
Tunisia,46,0.1,8.0,8.1,15.8,-7.7,79.4,-8.6,11.85,2024-01-23
Tunisia,46,0.1,8.0,8.1,15.8,-7.7,79.4,-8.6,11.85,2024-01-24
Tunisia,46,0.1,8.0,8.1,15.8,-7.7,79.4,-8.6,11.85,2024-01-25
Tunisia,46,0.1,8.0,8.1,15.8,-7.7,79.4,-8.6,11.85,2024-01-26
Tunisia,46,0.1,8.0,8.1,15.8,-7.7,79.4,-8.6,11.85,2024-01-27
Tunisia,46,0.1,8.0,8.1,15.8,-7.7,79.4,-8.6,11.85,2024-01-28
Tunisia,46,0.1,8.0,8.1,15.8,-7.7,79.4,-8.6,11.85,2024-01-29
Tunisia,46,0.1,8.0,8.1,15.8,-7.7,79.4,-8.6,11.85,2024-01-30
Tunisia,46,0.1,8.0,8.1,15.8,-7.7,79.4,-8.6,11.85,2024-01-31
Tunisia,46,0.1,8.0,8.1,15.8,-7.7,79.4,-8.6,11.85,2024-02-01
Tunisia,46,0.1,8.0,8.1,15.8,-7.7,79.4,-8.6,11.85,2024-02-02
Tunisia,46,0.1,8.0,8.1,15.8,-7.7,79.4,-8.6,11.85,2024-02-03
Tunisia,46,0.1,8.0,8.1,15.8,-7.7,79.4,-8.6,11.85,2024-02-04
Tunisia,46,0.1,8.0,7.8,15.8,-7.7,79.4,-8.6,11.85,2024-02-05
Tunisia,46,0.1,8.0,7.8,15.8,-7.7,79.4,-8.6,11.85,2024-02-06
Tunisia,46,0.1,8.0,7.8,15.8,-7.7,79.4,-8.6,11.85,2024-02-07
Tunisia,46,0.1,8.0,7.8,15.8,-7.7,79.4,-8.6,11.85,2024-02-08
