country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Turkmenistan,46,,,6.72,5.0,1.0,8.0,5.7,6.43,2023-11-23
Turkmenistan,46,,,6.72,5.0,1.0,8.0,5.7,6.43,2023-11-24
Turkmenistan,46,,,6.72,5.0,1.0,8.0,5.7,6.43,2023-11-25
Turkmenistan,46,,,6.72,5.0,1.0,8.0,5.7,6.43,2023-11-26
Turkmenistan,46,,,5.9,5.0,1.0,8.0,5.7,6.43,2023-11-27
Turkmenistan,46,,,5.9,5.0,1.0,8.0,5.7,6.43,2023-11-28
Turkmenistan,46,,,5.9,5.0,1.0,8.0,5.7,6.43,2023-11-29
Turkmenistan,46,,,5.9,5.0,1.0,8.0,5.7,6.43,2023-11-30
Turkmenistan,46,,,5.9,5.0,1.0,8.0,5.7,6.43,2023-12-01
Turkmenistan,46,,,5.9,5.0,1.0,8.0,5.7,6.43,2023-12-02
Turkmenistan,46,,,5.9,5.0,1.0,8.0,5.7,6.43,2023-12-03
Turkmenistan,46,,,5.9,5.0,1.0,8.0,5.7,6.43,2023-12-04
Turkmenistan,46,,,5.9,5.0,1.0,8.0,5.7,6.43,2023-12-05
Turkmenistan,46,,,5.9,5.0,1.0,8.0,5.7,6.43,2023-12-06
Turkmenistan,46,,,5.9,5.0,1.0,8.0,5.7,6.43,2023-12-07
Turkmenistan,46,,,5.9,5.0,1.0,8.0,5.7,6.43,2023-12-08
Turkmenistan,46,,,5.9,5.0,1.0,8.0,5.7,6.43,2023-12-09
Turkmenistan,46,,,5.9,5.0,1.0,8.0,5.7,6.43,2023-12-10
Turkmenistan,46,,,5.9,5.0,1.0,8.0,5.7,6.43,2023-12-11
Turkmenistan,46,,,5.9,5.0,1.0,8.0,5.7,6.43,2023-12-12
Turkmenistan,46,,,5.9,5.0,1.0,8.0,5.7,6.43,2023-12-13
Turkmenistan,46,,,5.9,5.0,1.0,8.0,5.7,6.43,2023-12-14
Turkmenistan,46,,,5.9,5.0,1.0,8.0,5.7,6.43,2023-12-15
Turkmenistan,46,,,5.9,5.0,1.0,8.0,5.7,6.43,2023-12-16
Turkmenistan,46,,,5.9,5.0,1.0,8.0,5.7,6.43,2023-12-17
Turkmenistan,46,,,5.9,5.0,1.0,8.0,5.7,6.43,2023-12-18
