country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Uganda,46,5.2,9.5,2.4,4.3,-5.3,48.6,-8.6,47.25,2023-11-23
Uganda,46,5.2,9.5,2.4,4.3,-5.3,48.6,-8.6,47.25,2023-11-24
Uganda,46,5.2,9.5,2.4,4.3,-5.3,48.6,-8.6,47.25,2023-11-25
Uganda,46,5.2,9.5,2.4,4.3,-5.3,48.6,-8.6,47.25,2023-11-26
Uganda,46,5.2,9.5,2.4,4.3,-5.3,48.6,-8.6,47.25,2023-11-27
Uganda,46,5.2,9.5,2.4,4.3,-5.3,48.6,-8.6,47.25,2023-11-28
Uganda,46,5.2,9.5,2.4,4.3,-5.3,48.6,-8.6,47.25,2023-11-29
Uganda,46,5.2,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-11-30
Uganda,46,5.2,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-12-01
Uganda,46,5.2,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-12-02
Uganda,46,5.2,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-12-03
Uganda,46,5.2,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-12-04
Uganda,46,5.2,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-12-05
Uganda,46,5.2,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-12-06
Uganda,46,5.2,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-12-07
Uganda,46,5.2,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-12-08
Uganda,46,5.2,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-12-09
Uganda,46,5.2,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-12-10
Uganda,46,5.2,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-12-11
Uganda,46,5.2,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-12-12
Uganda,46,5.2,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-12-13
Uganda,46,5.2,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-12-14
Uganda,46,1.4,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-12-15
Uganda,46,1.4,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-12-16
Uganda,46,1.4,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-12-17
Uganda,46,1.4,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-12-18
Uganda,46,1.4,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-12-19
Uganda,46,1.4,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-12-20
Uganda,46,1.4,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-12-21
Uganda,46,1.4,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-12-22
Uganda,46,1.4,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-12-23
Uganda,46,1.4,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-12-24
Uganda,46,1.4,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-12-25
Uganda,46,1.4,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-12-26
Uganda,46,1.4,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-12-27
Uganda,46,1.4,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-12-28
Uganda,46,1.4,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-12-29
Uganda,46,1.4,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-12-30
Uganda,46,1.4,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2023-12-31
Uganda,46,1.4,9.5,2.6,4.3,-5.3,48.6,-8.6,47.25,2024-01-01
