country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Ukraine,161,0.8,16.0,5.3,10.5,-16.3,78.4,5.0,41.0,2023-11-23
Ukraine,161,0.8,16.0,5.3,10.5,-16.3,78.4,5.0,41.0,2023-11-24
Ukraine,161,0.8,16.0,5.3,10.5,-16.3,78.4,5.0,41.0,2023-11-25
Ukraine,161,0.8,16.0,5.3,10.5,-16.3,78.4,5.0,41.0,2023-11-26
Ukraine,161,0.8,16.0,5.3,10.5,-16.3,78.4,5.0,41.0,2023-11-27
Ukraine,161,0.8,16.0,5.3,10.5,-16.3,78.4,5.0,41.0,2023-11-28
Ukraine,161,0.8,16.0,5.3,10.5,-16.3,78.4,5.0,41.0,2023-11-29
Ukraine,161,0.8,16.0,5.3,10.5,-16.3,78.4,5.0,41.0,2023-11-30
Ukraine,161,0.8,16.0,5.3,10.5,-16.3,78.4,5.0,41.0,2023-12-01
Ukraine,161,0.8,16.0,5.3,10.5,-16.3,78.4,5.0,41.0,2023-12-02
Ukraine,161,0.8,16.0,5.3,10.5,-16.3,78.4,5.0,41.0,2023-12-03
Ukraine,161,0.8,16.0,5.3,10.5,-16.3,78.4,5.0,41.0,2023-12-04
Ukraine,161,0.8,16.0,5.3,10.5,-16.3,78.4,5.0,41.0,2023-12-05
Ukraine,161,0.8,16.0,5.3,10.5,-16.3,78.4,5.0,41.0,2023-12-06
Ukraine,161,0.8,16.0,5.3,10.5,-16.3,78.4,5.0,41.0,2023-12-07
Ukraine,161,0.8,16.0,5.1,10.5,-16.3,78.4,5.0,41.0,2023-12-08
Ukraine,161,0.8,16.0,5.1,10.5,-16.3,78.4,5.0,41.0,2023-12-09
Ukraine,161,0.8,16.0,5.1,10.5,-16.3,78.4,5.0,41.0,2023-12-10
Ukraine,161,0.7,16.0,5.1,10.5,-16.3,78.4,5.0,41.0,2023-12-11
Ukraine,161,0.7,16.0,5.1,10.5,-16.3,78.4,5.0,41.0,2023-12-12
Ukraine,161,0.7,16.0,5.1,10.5,-16.3,78.4,5.0,41.0,2023-12-13
Ukraine,161,0.7,15.0,5.1,10.5,-16.3,78.4,5.0,41.0,2023-12-14
Ukraine,161,0.7,15.0,5.1,10.5,-16.3,78.4,5.0,41.0,2023-12-15
Ukraine,161,0.7,15.0,5.1,10.5,-16.3,78.4,5.0,41.0,2023-12-16
Ukraine,161,0.7,15.0,5.1,10.5,-16.3,78.4,5.0,41.0,2023-12-17
Ukraine,161,0.7,15.0,5.1,10.5,-16.3,78.4,5.0,41.0,2023-12-18
Ukraine,161,0.7,15.0,5.1,10.5,-16.3,78.4,5.0,41.0,2023-12-19
Ukraine,161,0.7,15.0,5.1,10.5,-16.3,78.4,5.0,41.0,2023-12-20
Ukraine,161,0.7,15.0,5.1,10.5,-16.3,78.4,5.0,41.0,2023-12-21
Ukraine,161,0.7,15.0,5.1,10.5,-16.3,78.4,5.0,41.0,2023-12-22
Ukraine,161,0.7,15.0,5.1,10.5,-16.3,78.4,5.0,41.0,2023-12-23
Ukraine,161,0.7,15.0,5.1,10.5,-16.3,78.4,5.0,41.0,2023-12-24
Ukraine,161,0.7,15.0,5.1,10.5,-16.3,78.4,5.0,41.0,2023-12-25
Ukraine,161,0.7,15.0,5.1,10.5,-16.3,78.4,5.0,41.0,2023-12-26
Ukraine,161,0.7,15.0,5.1,10.5,-16.3,78.4,5.0,41.0,2023-12-27
Ukraine,161,0.7,15.0,5.1,10.5,-16.3,78.4,5.0,41.0,2023-12-28
Ukraine,161,0.7,15.0,5.1,10.5,-16.3,78.4,5.0,41.0,2023-12-29
Ukraine,161,0.7,15.0,5.1,10.5,-16.3,78.4,5.0,41.0,2023-12-30
